x	y
gene534	0.111572226	-0.010189221
gene535	-0.216581133	-0.1579725
gene536	-0.064028368	0.16854182
gene537	0.376309275	0.155542043
gene538	-0.030494789	-0.010613189
gene539	0.157370254	-0.010613189
gene540	-0.04527575	0.052201255
gene541	-0.008066207	0.014355293
gene542	0.10329708	-0.103880027
gene543	0.105713262	-0.041067543
gene544	-0.664057136	0.07239989
gene545	0.347439421	-0.074356633
gene546	0.024365243	0.023387219
gene547	0.043092415	0.07860162
gene548	0.201663372	0.123681352
gene549	0.231383434	0.071629677
gene550	0.2368124	0.027030206
gene551	0.105945804	-0.016903108
gene552	-0.101119639	-0.000516078
gene553	0	0.010833806
gene554	0.42272996	-0.059174615
gene555	0	0.030485718
gene556	-0.056034035	-0.011781175
gene557	-0.125620834	0.07797343
gene558	0.078682204	0.154730859
gene559	-0.0177361	0.069247051
gene560	-0.029379532	0.073745256
gene561	-0.113771617	0.033925756
gene562	0.652186813	-0.100372231
gene563	0	0.03537618
gene564	-0.118997912	0.006017506
gene565	0.739562706	0.033391554
gene566	-0.099466004	0.149596053
gene567	0.004855747	0.01531741
gene568	-0.055305087	0.005518924
gene569	0	-0.05415577
gene570	0.331192357	0.04617407
gene571	0.067750189	0.014004665
gene572	0.157644638	-0.089981367
gene573	0.294436779	0.172423175
gene574	0.226899141	-0.137188756
gene575	-0.024982357	-0.114940258
gene576	0	-0.114940258
gene577	-0.068569788	-0.030057234
gene578	-0.64385619	0.012831644
gene579	0.421892759	0.022925376
gene580	0.004114152	0.02532469
gene581	0.383044187	0.230119783
gene582	-0.20147177	-0.078990376
gene583	-0.100623458	-0.04662616
gene584	-0.134726694	-0.03679022
gene585	0.065239694	-0.018052728
gene586	0.003358143	0.059162072
gene587	-0.049841111	-0.010301664
gene588	-0.645192207	0.037716622
gene589	-0.077113519	0.051572555
gene590	0.137115824	0.038395379
gene591	0.018520088	-0.154027375
gene592	0.073417525	0.156216291
gene593	-0.383623598	-0.058102955
gene594	-0.102205259	0.030716603
gene595	0.203682103	0.018615678
gene596	0.106743571	-0.102668563
gene597	-0.119371053	-0.174097227
gene598	-0.074063701	-0.017443894
gene599	0.093535132	-0.014636528
gene600	0.126728352	-0.222951714
gene601	0.070906346	0.028337556
gene602	0.298836758	-0.086704223
gene603	0.064215625	0.002441522
gene604	0.264266952	0.02777564
gene605	0.177538186	0.061895952
gene606	0.046848798	-0.064609081
gene607	-0.169558571	0.09879048
gene608	0.091220615	-0.14814015
gene609	-0.104527416	-0.010613189
gene610	0.294405833	0.146660293
gene611	-0.027034427	0.006766421
gene612	0.625748116	-0.11313099
gene613	-0.037417236	-0.020112964
gene614	-0.025250677	-0.020345702
gene615	0.196570809	0.177770298
gene616	-0.22477491	-0.025745413
gene617	-0.404106283	-0.11313099
gene618	0.034232673	0.04671085
gene619	-0.148855121	-0.007121729
gene620	0	0.093602718
gene621	0	-0.005823197
gene622	0	-0.13893013
gene623	0.510913169	0.150247845
gene624	0.179647138	-0.092639701
gene625	0.172217854	-0.073720419
gene626	-0.099339585	-0.11313099
gene627	0.087820603	-0.044425191
gene628	0.027585394	-0.037810394
gene629	0.057676416	-0.028388112
gene630	0.167790759	-0.078233288
gene631	-0.015884835	-0.013449388
gene632	0.228456915	0.105359133
gene633	-0.602552201	-0.091147888
gene634	0.215030464	0.077689359
gene635	-0.160485793	-0.058721073
gene636	-0.202044167	-0.118756817
gene637	0	-0.23014742
gene638	-0.114882854	-0.138809517
gene639	0.345944577	0.029610492
gene640	-0.140179672	-0.013537452
gene641	0.888749844	0.130178324
gene642	0.435676434	-0.081569733
gene643	0.983750648	0.231778889
gene644	-0.053031681	-0.052449252
gene645	0.063479375	0.010907025
gene646	0.016135405	0.076108664
gene647	0.119777834	-0.006728104
gene648	-0.049272771	0.168759903
gene649	0.905831468	-0.032356219
gene650	0.133052055	-0.002633457
gene651	0.747371356	0.112227825
gene652	-0.831223184	-0.060584226
gene653	0.507751157	0.072229484
gene654	-0.415710454	-0.194137161
gene655	-0.263094134	-0.116935687
gene656	0.289455404	0.083023914
gene657	0.045104346	-0.026505185
gene658	0.184833209	-0.037511709
gene659	0.185709275	0.205314208
gene660	0.556551412	0.170699187
gene661	-0.321753212	0.116112083
gene662	0	0.077689359
gene663	0.208314925	-0.133066147
gene664	-0.448624522	0.136387252
gene665	0.002774274	0.187841932
gene666	-0.016923767	0.128209982
gene667	-0.007481581	-0.044133461
gene668	0	-0.004212251
gene669	-0.010776319	-0.126186802
gene670	-0.319776046	0.010934963
gene671	0.017197594	-0.046065425
gene672	0.082370076	0.074661798
gene673	-0.338894451	0.055028654
gene674	0.030673967	-0.064530109
gene675	-0.406928742	-0.019599977
gene676	0.179858923	0.121173323
gene677	0.058600726	-0.115911734
gene678	0.023983609	0.083564717
gene679	0.185208063	0.139050887
gene680	-0.41840007	-0.025132611
gene681	-0.125284663	-0.03927279
gene682	0.026427501	0.066827178
gene683	0.155550951	-0.010528997
gene684	-0.02773305	-0.084082316
gene685	0.01627615	0.076102979
gene686	-0.725027248	0.034905615
gene687	-0.115607009	0.182436193
gene688	0	-0.016950069
gene689	0	-0.202775477
gene690	0.038136489	0.124723509
gene691	0.155693204	-0.02740994
gene692	0.904542841	-0.084232729
gene693	0.212365509	0.177123767
gene694	-0.020712282	0.120531921
gene695	-0.380340339	0.079247536
gene696	0.216553356	0.216269785
gene697	0.157191512	0.014228361
gene698	0	-0.035786699
gene699	-0.040624643	0.066425065
gene700	0.71977992	0.224725936
gene701	0.124992583	0.005248772
gene702	0.073469337	-0.002337106
gene703	0.354115699	0.020347279
gene704	-0.50592664	-0.045389558
gene705	-0.21080677	-0.052166843
gene706	-0.009905412	0.002133376
gene707	-0.14568024	-0.081071611
gene708	-0.07724753	0.041285119
gene709	0	0.081515851
gene710	0.118413433	0.08858199
gene711	0.014980019	-0.065124271
gene712	-0.095248315	0.058475889
gene713	0.128539962	-0.078760319
gene714	0.166374187	-0.171048533
gene715	0.955618888	-0.048997034
gene716	0.590198108	0.03534376
gene717	-0.074045539	0.057543275
gene718	-0.643731366	-0.042686399
gene719	0.416596349	-0.011909388
gene720	-0.239835594	-0.102784105
gene721	0	-0.17131021
gene722	-0.259489132	0.042336947
gene723	-0.127266769	0.006435825
gene724	-0.094599428	0.041087192
gene725	0.048215717	0.045213356
gene726	-0.187989119	0.077233104
gene727	-0.053210861	-0.057488966
gene728	0.010454358	-0.057488966
gene729	-0.12852323	0.015005519
gene730	-0.181474776	0.146300332
gene731	0.162276519	-0.012926174
gene732	-0.17044264	-0.091291105
gene733	-0.072916993	-0.032391146
gene734	0.5360529	-0.078158101
gene735	-0.407059442	0.005594016
gene736	-0.185615359	-0.040449766
gene737	-0.055656597	-0.031786489
gene738	-0.420189987	0.026501389
gene739	0.170367226	-0.09511454
gene740	-0.411437754	-0.05529389
gene741	0.018637541	-0.117438298
gene742	0.028072524	0.100990668
gene743	0.286379103	0.02248635
gene744	-0.857014242	0.005217709
gene745	-0.125041584	0.006988848
gene746	0.177202429	-0.044486413
gene747	0.041308199	0.074579558
gene748	-0.03795174	0.113284377
gene749	0.027148782	0.053504094
gene750	0	0.023370595
gene751	0.028639208	-0.052874235
gene752	-0.159627273	-0.035467938
gene753	0	-0.020281663
gene754	-0.152411377	-0.149447389
gene755	0	-0.13871516
gene756	-0.825390389	0.011862384
gene757	0.185054526	-0.056643988
gene758	0.163302337	0.067716545
gene759	0.083812366	-0.032164192
gene760	-0.018993738	0.091872387
gene761	-0.52003231	-0.104712533
gene762	0.383325092	0.02942376
gene763	-0.133499851	0.101414543
gene764	0.064766643	-0.126336722
gene765	0.009865972	0.174442011
gene766	-0.014931437	0.023688451
gene767	0.241614954	-0.016174888
gene768	0.17689097	-0.054802385
gene769	0.14219229	0.029299105
gene770	-0.179574625	-0.047108504
gene771	0.264966413	-0.177538186
gene772	-0.131052816	-0.096170964
gene773	0.101363658	0.061510402
gene774	0.147898695	0.045095467
gene775	-0.720819783	0.000882113
gene776	0.28192692	0.034644579
gene777	0.066192214	-0.222618142
gene778	0.174402625	-0.002380293
gene779	0.201115372	-0.147047296
gene780	0.126969692	0.0106884
gene781	0.132310453	0.059789495
gene782	-0.193827253	-0.091689919
gene783	-0.871571775	0.06377591
gene784	-0.199319735	0.111803899
gene785	-0.141427029	-0.067898397
gene786	-0.04063791	-0.116198897
gene787	0	-0.011491658
gene788	0.501394035	0.0947479
gene789	0.9603438	0.198893623
gene790	0.159074544	-0.239659576
gene791	0.497014801	-0.039888243
gene792	-0.132946025	-0.15514713
gene793	0.058674667	0.022170345
gene794	-0.045145302	-0.079018742
gene795	-0.031587836	0.103414931
gene796	-0.01794348	0.023451496
gene797	0	0.126136522
gene798	-0.426646487	-0.002755865
gene799	-0.116867459	-0.149328959
gene800	0.155094237	0.168995729
gene801	0.206728026	-0.002170446
gene802	0.24246375	0.027605515
gene803	0.159063162	-0.192224651
gene804	0.78196223	0.046656625
gene805	0.086776443	0.003948535
gene806	-0.352225861	0.006269452
gene807	0	0.092721113
gene808	0	-0.073712836
gene809	0.135504519	-0.026821197
gene810	0.445038375	0.140900361
gene811	0.099605825	0.020207633
gene812	0.029140919	-0.101587872
gene813	-0.104201705	-0.137836968
gene814	-0.524102237	0.026362684
gene815	-0.156649458	-0.116760672
gene816	0	-0.145393416
gene817	0.050224439	-0.132755209
gene818	0.062502221	-0.047398975
gene819	-0.465749342	0.134321809
gene820	0.150394502	-0.072791563
gene821	-0.415327541	-0.149653676
gene822	0.011369231	0.078682334
gene823	-0.075711307	0.069230309
gene824	0	-0.020161768
gene825	0.077971277	-0.08321645
gene826	0.059314645	0.112011404
gene827	0.051052666	0.112011404
gene828	-0.197720848	0.112011404
gene829	0.21552689	0.112011404
gene830	0.113307306	-0.123669854
gene831	0	-0.093289865
gene832	-0.197417376	0.081016193
gene833	-0.20192446	0.013977173
gene834	0.008290712	0.021486
gene835	-0.202646745	0.078002512
gene836	-0.384395238	-0.001036791
gene837	-0.163517414	-0.112272013
gene838	0.582463682	0.225420114
gene839	0	-0.121036743
gene840	0.025535092	-0.155718259
gene841	0.33210412	-0.141160547
gene842	-0.074124052	0.094218433
gene843	-0.079141834	0.084774194
