,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_178218,150.758,164.487,94.281,106.922,117.427,159.925,70.021,92.912,35.112,47.261,14.245,40.962,137.848,108.796,85.419,77.923,69.539,63.827,42.977,49.174
NM_016763,106.364,114.759,87.317,102.049,119.88,156.707,103.949,121.977,97.889,79.997,88.409,70.276,88.224,91.143,67.407,85.44,104.127,104.289,86.489,90.845
NM_009059,130.148,121.205,105.905,100.081,143.654,129.932,110.664,113.73,85.574,85.901,67.498,82.818,118.371,94.608,88.657,77.357,121.944,104.078,103.321,97.864
NM_001291068,114.112,137.479,95.735,115.423,129.895,139.091,111.673,122.738,98.114,83.409,88.197,84.63,88.881,91.227,85.735,81.831,85.286,93.1,68.389,75.027
NM_016665,133.966,106.947,116.656,100.405,140.336,126.037,110.173,105.57,107.088,120.295,92.853,84.23,41.587,35.588,35.496,28.305,94.539,110.398,80.278,100.976
NM_025387,133.961,134.786,120.545,116.695,130.918,127.645,106.019,98.917,110.726,116.364,96.379,102.684,127.891,131.006,101.224,107.222,98.957,90.287,77.729,82.637
NM_009657,134.023,155.958,109.095,130.824,111.832,144.879,91.346,127.196,141.909,119.222,118.688,113.791,67.113,59.638,51.314,53.406,55.635,154.129,53.56,118.137
NM_001005508,154.484,126.662,110.134,98.437,138.476,113.39,112.252,95.355,121.756,115.844,100.689,98.049,147.406,108.057,124.49,93.793,102.961,95.944,75.196,64.497
NM_028117,106.776,127.023,79.02,97.862,124.729,121.39,80.952,87.541,93.873,81.126,60.011,77.349,98.344,84.913,61.125,72.015,85.055,68.814,50.876,50.687
NM_133807,112.604,113.779,101.645,111.179,129.087,114.805,124.547,109.496,185.494,179.902,180.96,170.112,147.084,163.936,127.347,155.428,189.654,156.252,167.793,138.265
NM_019726,106.161,85.303,96.542,82.855,124.791,117.087,117.651,93.331,101.033,93.639,94.328,93.894,116.095,98.611,87.491,76.647,91.421,67.099,70.417,72.997
NM_025360,142.486,150.091,128.881,128.617,120.43,120.988,95.618,95.599,88.399,88.727,80.383,70.029,113.54,118.471,83.504,101.64,99.65,101.658,81.995,88.416
NM_001252454,97.893,97.108,78.567,82.553,121.864,117.006,104.585,99.147,81.125,81.043,73.457,72.206,109.953,95.816,84.432,80.162,74.041,78.29,62.132,66.494
NM_010183,87.265,106.409,111.272,111.382,114.803,123.24,140.495,126.72,119.482,98.776,126.835,131.012,135.336,157.232,135.482,145.81,118.143,140.577,126.38,126.892
NM_009000,105.155,111.983,83.662,97.427,118.085,118.922,90.425,97.243,88.907,93.43,85.136,71.272,108.713,106.503,74.084,88.985,83.37,83.366,71.315,69.837
NM_025823,105.4,118.566,77.344,82.521,121.843,114.364,90.632,82.089,96.952,89.904,79.173,81.282,82.34,65.84,55.997,43.592,106.065,117.717,80.142,85.606
NM_027136,96.189,90.008,79.515,75.515,118.5,117.134,84.784,89.518,60.701,65.34,52.517,47.396,60.439,69.875,38.599,50.902,52.819,42.284,42.769,38.687
NM_011175,125.556,140.74,108.354,122.342,116.232,118.687,99.309,97.272,85.041,97.065,64.381,89.22,49.611,27.451,42.43,24.744,60.239,78.419,49.087,63.385
NM_201645,107.171,96.7,91.694,85.069,110.868,123.213,100.683,104.41,215.033,176.702,187.819,167.837,224.714,293.744,193.066,262.577,228.11,202.253,204.234,174.632
NM_001164290,143.144,136.833,115.208,110.337,122.032,111.312,102.186,91.099,84.347,86.152,78.631,75.652,125.242,99.101,93.658,89.797,79.434,76.335,64.202,65.724
NM_013497,126.889,113.72,107.271,87.612,115.783,116.605,105.428,99.073,83.536,71.733,68.262,62.443,87.594,81.276,73.409,67.001,112.399,84.456,92.784,72.074
NM_026055,141.004,131.895,120.938,123.9,123.396,106.736,98.525,103.881,82.04,83.63,48.076,54.354,95.799,96.369,52.742,80.809,8.128,5.523,6.352,5.888
NR_130958,98.268,101.182,88.9,82.058,120.243,108.582,103.751,96,90.53,86.06,75.781,67.918,46.363,42.826,41.077,36.213,78.376,73.928,65.39,54.747
NM_153103,126.072,130.461,97.842,112.683,117.826,108.316,100.674,96.668,82.714,77.306,72.707,64.772,106.419,107.816,91.177,94.809,63.081,63.112,50.515,50.34
NM_028863,115.062,103.073,99.691,93.701,116.937,106.662,90.461,90.479,85.068,90.564,59.556,79.921,119.279,79.339,81.613,74.005,55.629,50.405,52.424,50.696
NM_001033273,121.263,136.822,94.768,114.283,111.22,110.627,88.069,93.915,81.901,84.324,65.753,72.596,113.691,95.793,86.439,80.483,61.646,57.129,49.757,47.263
NM_025828,105.217,121.911,89.387,103.474,104.661,114.982,89.027,93.94,98.276,97.837,83.464,90.12,60.679,64.627,51.16,54.488,78.804,81.924,65.824,67.573
