TCGA-2V-A95S-01A-11R-A37K-07	TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-2Y-A9GT-01A-11R-A38B-07	TCGA-2Y-A9GU-01A-11R-A38B-07
ENSG00000013725.14	1215	245	538	58
ENSG00000013810.20	2019	1902	566	1065
ENSG00000014123.10	1500	2489	1347	2353
ENSG00000014138.9	634	331	134	89
ENSG00000014164.7	2374	1184	1031	544
ENSG00000014216.16	5907	12078	2963	5820
ENSG00000014257.16	12	6	1	1
ENSG00000014641.21	4735	10699	4663	16931
ENSG00000014824.14	1190	1153	1576	2420
ENSG00000014914.21	1447	558	69	54
ENSG00000014919.13	1273	1318	1092	1499
ENSG00000015133.19	593	207	401	266
ENSG00000015153.15	1032	590	427	918
ENSG00000015171.20	1794	3289	1485	1788
ENSG00000015285.11	1073	407	513	116
ENSG00000015413.9	117	23	7	1
ENSG00000015475.19	2025	3854	1108	866
ENSG00000015479.20	30	68	81	66
ENSG00000015520.15	105	377	917	4
ENSG00000015532.10	1177	2481	663	946
ENSG00000015568.13	1	0	0	0
ENSG00000015592.16	0	1	0	1
ENSG00000015676.18	1951	3842	2210	2177
ENSG00000016082.15	0	0	0	0
ENSG00000016391.11	5196	4831	3006	1481
ENSG00000016402.13	43	18	1	14
ENSG00000016490.16	8	0	0	0
ENSG00000016602.9	0	13	0	0
ENSG00000016864.18	1473	2601	1202	889
ENSG00000017260.20	1268	3609	1566	1385
ENSG00000017427.17	40	130	803	226
ENSG00000017483.15	271	31	55	10
ENSG00000017797.13	1626	4547	1349	2070
ENSG00000018189.13	1333	1345	982	348
ENSG00000018236.15	13	13	0	1374
ENSG00000018280.17	152	117	64	40
ENSG00000018408.15	822	1190	535	554
ENSG00000018510.17	1802	4396	1341	1006
ENSG00000018607.7	0	0	0	0
ENSG00000018610.15	598	907	804	314
ENSG00000018625.15	7	169	44	107
ENSG00000018699.13	534	1309	242	412
ENSG00000018869.17	71	37	29	112
ENSG00000019102.12	28	80	32	10
ENSG00000019144.19	325	731	370	291
ENSG00000019169.10	18	131	6	7
ENSG00000019186.10	0	8	1	0
ENSG00000019485.13	211	278	207	152
ENSG00000019505.8	626	223	4	72
ENSG00000019549.13	43	206	181	114
ENSG00000019582.15	335481	72680	184995	8764
ENSG00000019991.18	1307	251	196	39
ENSG00000019995.6	315	530	862	328
ENSG00000020129.16	832	1028	384	639
ENSG00000020181.18	128	679	424	420
ENSG00000020219.9	0	1	0	0
ENSG00000020256.20	504	1237	328	549
ENSG00000020426.11	516	404	156	88
ENSG00000020577.14	1227	1238	1124	595
ENSG00000020633.19	943	170	312	70
ENSG00000020922.13	715	1013	451	354
ENSG00000021300.14	283	77	29	1
ENSG00000021355.13	4969	4292	1374	2024
ENSG00000021461.17	9	6	346	105
ENSG00000021488.13	123	1717	530	701
ENSG00000021574.13	710	1084	464	967
ENSG00000021645.20	543	26	27	443
ENSG00000021762.20	479	207	206	144
ENSG00000021776.11	732	2358	771	966
ENSG00000021826.17	54	31129	91631	60564
ENSG00000021852.13	1196	16772	26261	15843
ENSG00000022267.19	964	871	1072	187
ENSG00000022277.13	1907	3482	1464	1195
ENSG00000022355.18	0	0	0	0
ENSG00000022556.16	79	558	35	8
ENSG00000022567.10	670	186	159	728
ENSG00000022840.16	7006	6049	4127	6306
ENSG00000022976.15	222	263	223	132
ENSG00000023041.11	1673	1128	1033	1921
ENSG00000023171.18	993	282	72	47
ENSG00000023191.17	7127	7182	3090	1693
ENSG00000023228.14	3051	6151	2776	4926
ENSG00000023287.13	3156	3373	1554	1407
ENSG00000023318.8	5463	2921	3129	4423
ENSG00000023330.15	3246	6274	7553	2533
ENSG00000023445.16	43392	3258	2882	303
ENSG00000023516.9	1424	932	741	897
ENSG00000023572.10	1736	1013	375	919
ENSG00000023608.5	96	136	93	91
ENSG00000023697.13	862	1987	1774	1790
ENSG00000023734.11	2438	2867	2198	2485
ENSG00000023839.12	7190	12276	4032	10142
ENSG00000023892.11	1101	266	459	85
ENSG00000023902.14	3025	1272	868	252
ENSG00000023909.10	7020	7590	1372	1123
ENSG00000024048.11	2075	2690	1710	1738
ENSG00000024422.12	847	1518	1217	917
ENSG00000024526.17	329	739	56	323
ENSG00000024862.18	1157	1137	845	432
ENSG00000025039.15	1510	930	505	658
ENSG00000025156.13	436	545	194	148
ENSG00000025293.17	890	1513	536	563
ENSG00000025423.11	694	23939	56051	38094
ENSG00000025434.19	2534	3468	2042	3441
ENSG00000025708.14	12443	7515	4509	4443
ENSG00000025770.19	2688	3237	1046	1144
ENSG00000025772.8	1029	2448	548	511
ENSG00000025796.14	3632	7698	3689	6600
ENSG00000025800.14	1420	3233	1545	1434
ENSG00000026025.16	7289	6828	4460	2302
ENSG00000026036.22	33	22	88	52
ENSG00000026103.22	752	484	761	272
ENSG00000026297.16	1064	922	674	1229
ENSG00000026508.20	2099	5205	980	254
ENSG00000026559.14	3	7	9	134
ENSG00000026652.15	296	360	119	71
ENSG00000026751.17	1637	270	458	109
ENSG00000026950.17	2388	1744	4800	603
ENSG00000027001.10	502	533	236	352
ENSG00000027075.15	973	313	790	222
ENSG00000027644.5	7	2	3	8
ENSG00000027697.15	2428	2681	1876	1439
ENSG00000027847.14	1548	2053	767	1060
ENSG00000027869.12	1039	59	207	177
ENSG00000028116.18	218	516	178	99
ENSG00000028137.19	4183	2451	2763	1433
ENSG00000028203.18	2067	1852	1053	1053
ENSG00000028277.21	247	134	122	43
ENSG00000028310.18	1282	1086	462	534
ENSG00000028528.15	3975	6054	3208	3337
ENSG00000028839.10	603	821	265	89
ENSG00000029153.14	647	1115	416	72
ENSG00000029363.17	2499	3346	1597	2310
ENSG00000029364.12	3773	6265	3112	4085
ENSG00000029534.21	46	8	11	12
ENSG00000029559.7	14	32	15	0
ENSG00000029639.11	277	604	356	392
ENSG00000029725.17	914	1073	502	1766
ENSG00000029993.15	3298	4032	4157	4107
ENSG00000030066.13	832	1890	801	809
ENSG00000030110.13	1103	515	189	434
ENSG00000030304.14	0	0	1	0
ENSG00000030419.16	386	267	151	15
ENSG00000030582.18	14934	32855	8751	5658
ENSG00000031003.10	379	682	489	462
ENSG00000031081.11	302	430	301	281
ENSG00000031691.7	320	365	116	108
ENSG00000031698.13	8784	10687	2746	2341
ENSG00000031823.14	1920	1461	1264	1686
ENSG00000032219.19	507	1169	794	971
ENSG00000032389.13	1032	876	447	533
ENSG00000032444.17	2341	2381	1860	1925
ENSG00000032742.18	493	713	440	213
ENSG00000033011.13	646	1579	411	477
ENSG00000033030.15	1213	1206	751	801
ENSG00000033050.9	582	761	234	178
ENSG00000033100.16	2147	2901	1394	1666
ENSG00000033122.21	10	30	36	27
ENSG00000033170.17	462	127	130	61
ENSG00000033178.13	1921	1215	940	1147
ENSG00000033327.13	369	1805	256	522
ENSG00000033627.17	7874	4319	2008	2194
ENSG00000033800.14	727	1456	557	532
ENSG00000033867.16	653	531	226	106
ENSG00000034053.14	66	31	64	91
ENSG00000034152.19	3906	1713	1473	2170
ENSG00000034239.11	0	4	5	5
ENSG00000034510.6	76601	15146	7301	4343
ENSG00000034533.12	119	317	122	124
ENSG00000034677.13	3990	3360	1467	935
ENSG00000034693.15	340	930	448	548
ENSG00000034713.8	3562	3119	1447	1528
ENSG00000034971.17	0	0	0	0
ENSG00000035115.22	120	249	178	570
ENSG00000035141.8	1860	1983	680	2344
ENSG00000035403.18	1015	1666	1154	809
ENSG00000035499.13	525	727	44	132
ENSG00000035664.11	2678	1770	128	315
ENSG00000035681.9	1214	303	360	208
ENSG00000035687.10	1418	1305	610	1493
ENSG00000035720.8	102	0	4	2
ENSG00000035862.12	1506	2911	1485	1236
ENSG00000035928.16	3780	3247	1723	2490
ENSG00000036054.13	857	1734	865	852
ENSG00000036257.13	1155	2470	971	1216
ENSG00000036448.10	102	12	24	99
ENSG00000036473.8	149	12442	2136	6397
ENSG00000036530.9	4	24	15	49
ENSG00000036549.13	1087	2071	782	509
ENSG00000036565.15	14	1	2	11
ENSG00000036672.16	177	300	480	1482
ENSG00000036828.17	1	26	0	51
ENSG00000037042.9	436	1067	213	248
ENSG00000037241.7	1216	1054	389	497
ENSG00000037280.16	309	587	867	472
