	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KL-8342-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8427-01	TCGA-KO-8410-01	TCGA-KL-8325-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KO-8411-01	TCGA-KM-8443-01	TCGA-KL-8335-01	TCGA-KO-8415-01	TCGA-KL-8331-01	TCGA-KM-8439-01	TCGA-KO-8409-01	TCGA-KO-8405-01	TCGA-KN-8432-01	TCGA-KO-8417-01	TCGA-KO-8413-01	TCGA-KN-8423-01	TCGA-KL-8340-01	TCGA-KN-8437-01	TCGA-KN-8430-01	TCGA-KN-8426-01	TCGA-KM-8476-01	TCGA-KN-8429-01	TCGA-KO-8403-01	TCGA-KL-8324-01	TCGA-KL-8339-01	TCGA-KL-8328-01	TCGA-KM-8477-01	TCGA-KN-8419-01	TCGA-KL-8326-01	TCGA-KO-8406-01	TCGA-KN-8428-01	TCGA-KL-8334-01	TCGA-KO-8414-01	TCGA-KN-8424-01	TCGA-KM-8438-01	TCGA-KL-8344-01	TCGA-KN-8418-01	TCGA-KO-8404-01	TCGA-KN-8434-01	TCGA-KN-8422-01	TCGA-KN-8421-01	TCGA-KL-8341-01	TCGA-KL-8336-01	TCGA-KN-8431-01	TCGA-KM-8639-01	TCGA-KM-8442-01	TCGA-KL-8330-01	TCGA-KL-8329-01	TCGA-KM-8441-01	TCGA-KL-8333-01	TCGA-KL-8332-01	TCGA-KM-8440-01	TCGA-KO-8408-01	TCGA-KL-8343-01	TCGA-KL-8327-01	TCGA-KO-8407-01	TCGA-KN-8433-01	TCGA-KO-8416-01	TCGA-KL-8323-01	TCGA-KN-8425-01
RPL8	0.009	1.594	0.006	-0.022	-0.544	0.522	1.188	0.007	-0.885	0.065	-0.909	0.519	0.094	0.118	0.136	0	0.679	0.324	-0.8	-0.873	1.142	1.377	-0.001	0.003	0.645	3.293	-0.83	0.008	0.015	0.625	0.359	0.044	-0.003	0.575	0.007	0.011	-0.036	0.024	-0.176	0.008	0.437	-0.001	-0.009	-0.02	0.066	0.003	0.03	-0.034	0.041	0.04	-0.002	0.012	0.042	0.012	0.002	0.004	0.035	0.005	0.08	0.011	-0.565	0.019	0.171	-0.911	0.007	0
HSPA5	0.006	-0.116	0.008	0.019	-0.534	-0.315	-0.045	-0.845	0.012	0.018	0.011	0.545	0.101	-0.757	0.132	-0.003	0.597	0.3	0.053	0.01	-0.025	-0.091	0	0.005	-0.416	0.002	0.006	-0.1	0.016	-0.488	-0.009	0.024	0	-0.033	-0.024	0.012	-0.004	0.035	1.082	0	0.404	0.016	0.024	-0.612	0.059	-0.005	0.022	0.513	0.057	0.02	0.007	0.013	0.024	0.008	0.003	0.008	-0.665	0.011	-0.746	-0.683	0.516	0.02	-0.054	0.004	-0.001	0.008
NCOA4	-0.821	-0.11	-0.828	-0.908	0.725	0.603	-0.046	-0.857	-0.855	-0.769	-0.889	-0.583	-0.738	-0.781	-0.786	-0.001	-0.507	-0.346	-0.814	-0.875	-0.043	-0.07	-0.765	-0.004	-0.428	-0.071	-0.804	-0.836	-0.753	0.542	-0.739	-0.849	-0.004	-0.054	0.012	-0.917	-1.055	-0.769	-0.199	-0.821	-0.027	-0.001	-0.861	-0.659	-0.774	-0.373	-0.959	-0.664	-0.768	0.015	0.001	-0.833	-0.825	-0.726	-0.002	-0.389	-0.671	-0.871	-0.782	-0.701	-0.558	-0.836	-0.051	-0.893	-0.882	-0.485
CISD1	-0.821	-0.117	-0.828	-0.908	0.732	0.603	-0.046	-0.857	-0.855	-0.769	-0.889	-0.583	-0.738	-0.781	-0.786	-0.001	-0.507	-0.346	-0.814	-0.875	-0.043	-0.07	-0.765	-0.004	-0.428	-0.114	-0.804	-0.836	-0.753	0.542	-0.739	-0.849	-0.004	-0.054	0.012	-0.917	-1.055	-0.769	-0.199	-0.821	-0.027	-0.001	-0.823	-0.659	-0.774	-0.373	-0.959	-0.664	-0.768	0.015	0.001	-0.833	-0.825	-0.726	-0.002	-0.389	-0.671	-0.871	-0.782	-0.701	-0.558	-0.827	-0.051	-0.893	-0.882	-0.485
CARS	-0.78	0	0.005	0.012	-0.533	-0.333	1.181	0.011	0.016	0.002	0.007	-0.571	-0.744	0.125	-0.628	0.001	0.636	0.322	0.063	0.019	0.95	1.362	0.003	0.015	0.628	-0.081	0.012	0	-0.019	0.619	0.515	-0.84	0.03	0.595	-0.797	0.006	0.073	-0.052	1.195	0.024	0.41	0.006	0.023	0.02	-0.126	0.009	-0.004	0.524	0.046	0.031	0.003	0.028	0.034	0	-0.016	0.004	0.025	0.002	0.066	0.02	-0.012	0.023	0.89	0.022	0	0.471
LPCAT3	0.011	1.547	0.014	0.015	0.732	0.552	1.204	0.027	0.014	0.013	0.025	0.515	-0.017	0.112	0.107	-0.003	0.675	0.009	0.072	0.022	0.782	1.38	0.008	-0.003	0.619	0.571	0.018	0.013	0.015	0.539	0.187	0.035	-0.003	0.584	0.026	0.012	0.758	0.027	1.206	0.019	0.424	0.005	0.02	0.101	0.029	0.029	0.028	-0.038	0.002	0.036	-0.002	0.04	0.041	0.004	-0.003	0.002	0.03	0.017	-0.728	0.45	0.526	0.023	-0.018	0.022	0.014	0.023
CS	0.013	1.547	0.014	0.015	0.732	0.12	1.188	0.027	0.017	0.02	0.009	0.515	0	0.083	0.107	-0.003	0.675	0.009	0.072	0.022	0.782	1.374	0.008	-0.003	0.619	1.185	0.018	0.013	0.015	0.539	0.187	0.035	-0.003	0.584	0.026	0.012	0.16	0.027	1.206	0.019	0.425	0.004	0.02	-0.179	0.029	0.029	0.028	0.467	0.002	0.036	-0.002	0.04	0.041	0.004	-0.003	0.002	0.03	0.017	0.089	0.45	0.526	0.02	0.216	0.022	0.014	0.023
GLS2	0.013	1.547	0.014	0.015	0.732	0.12	1.188	0.027	0.017	0.02	0.009	0.515	0	0.083	0.107	-0.003	0.675	0.009	0.072	0.022	0.782	1.374	0.008	-0.003	0.619	1.185	0.018	0.013	0.015	0.539	0.187	0.035	-0.003	0.584	0.026	0.012	0.16	0.027	1.206	0.019	0.425	0.004	0.02	-0.179	0.029	0.029	0.028	0.467	0.002	0.036	-0.002	0.04	0.041	0.004	-0.003	0.002	0.03	0.017	0.089	0.45	0.526	0.02	0.216	0.022	0.014	0.023
MT1G	0	1.502	0	-0.01	0.678	-0.328	1.198	0.037	-0.001	-0.007	-0.01	0.475	0.07	0.125	0.106	0.001	0.572	0.283	0.015	-0.029	1.229	1.318	-0.012	0.002	0.617	1.309	-0.012	0.004	-0.013	0.53	-0.744	0.01	0.004	0.59	0.03	-0.019	-0.439	0.002	1.123	0.011	0.356	0.02	-0.001	-0.035	0.052	0.785	0.008	0.496	-0.741	-0.031	0.012	-0.024	0	-0.018	0.002	0	0.028	-0.021	-0.782	0.048	0.479	-0.014	0.823	-0.015	-0.042	0.184
ALOX15	-0.784	-0.14	-0.806	-0.899	-0.539	-0.139	-0.053	-0.848	-0.849	-0.747	-0.88	-0.576	-0.722	-0.743	-0.774	-0.001	-0.566	-0.349	-0.833	-0.891	-0.053	-0.087	-0.748	0	-0.426	-0.008	-0.812	-0.846	-0.738	-0.542	-0.719	-0.844	-0.002	0.01	0.036	-0.906	-0.398	-0.751	-0.229	-0.797	-0.505	0.042	-0.849	0.044	-0.768	-0.782	-0.951	-0.646	-0.711	-0.832	0.012	-0.836	-0.816	-0.729	0.001	0.005	-0.66	-0.862	-0.76	0.058	-0.559	-0.827	-0.072	-0.906	-0.867	-0.492
GPX4	0.052	1.424	0.036	0.006	0.645	0.132	1.137	0.069	-0.002	0.029	0	0.495	0.065	-0.154	0.132	0	0.533	-0.002	-0.015	-0.044	-0.018	1.239	0.02	0.007	0.597	0.543	-0.038	-0.029	0.029	0.511	0.208	0	-0.001	0.024	-0.083	0.009	0.245	0.012	0.959	0.025	0.375	0.047	0.002	0.063	0.018	0.095	0.045	0.49	0.158	-0.023	0.03	-0.046	0.012	-0.007	0.003	0	0.034	0.012	0.125	0.055	-0.008	-0.004	0.647	-0.026	0.031	0.255
SLC1A5	0.008	1.473	0.036	0.006	0.645	-0.307	1.185	0.069	-0.002	0.006	0	0.495	0.065	-0.274	0.133	0	0.533	-0.002	-0.015	-0.044	0.014	1.283	0.02	0.007	0.597	0.627	-0.038	0.002	0.029	0.519	0.208	0	-0.001	0.024	-0.083	0.009	0.141	0.023	0.981	0.04	0.375	0.05	0.002	0.041	0.018	0.1	0.057	-0.646	0.104	-0.023	0.03	-0.046	-0.002	-0.007	0.003	0	0.041	-0.007	0.125	0.055	-0.036	0.013	0.247	-0.026	0.007	0.255
SAT1	-0.35	0.568	-0.302	-0.408	0	0.005	0.446	-0.363	-0.466	-0.342	-0.396	-0.048	-0.295	-0.346	-0.329	0.004	0	-0.047	-0.389	-0.405	0.396	0.45	-0.308	0	0.02	0.5	-0.381	-0.375	-0.308	0	-0.244	-0.417	0.01	0.265	-0.05	-0.39	-0.093	-0.312	0.39	-0.332	-0.021	-0.091	-0.341	0.081	-0.568	-0.118	-0.389	-0.003	-0.379	-0.327	0.057	-0.393	-0.395	-0.299	-0.002	-0.101	-0.338	-0.351	-0.372	-0.102	-0.056	-0.335	0.369	-0.427	-0.345	-0.12
ACSL4	-0.328	0.536	-0.299	-0.408	0	0	0.446	-0.363	-0.466	-0.307	-0.396	-0.048	-0.295	-0.346	-0.338	0.004	0	-0.047	-0.39	-0.405	0.396	0.457	-0.321	0	0.015	0.5	-0.377	-0.382	-0.308	0	-0.244	-0.418	0.011	0.255	-0.05	-0.39	-0.093	-0.312	0.39	-0.332	-0.021	-0.091	-0.341	-0.222	-0.025	-0.118	-0.389	-0.003	-0.376	-0.327	0.057	-0.393	-0.395	-0.299	-0.003	-0.101	-0.338	-0.355	-0.333	-0.102	-0.056	-0.335	0.395	-0.427	-0.345	-0.12
