"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","subtype"
"TMEM260",1.12387223541106e-10,1.66606278820732,1,0.678,2.37541635676482e-06,"O","TMEM260","C1"
"SYT5",2.46695882630704e-10,1.28167464237015,0.759,0.22,5.21416417528256e-06,"O","SYT5","C1"
"GSTM5",2.7838187663151e-10,1.45738237452511,0.948,0.627,5.88387934448359e-06,"O","GSTM5","C1"
"LUZP2",5.6659466202668e-10,1.83922397996681,0.767,0.475,1.19755447765959e-05,"O","LUZP2","C1"
"QSOX2",5.67774085434821e-10,2.17453745329664,0.948,0.712,1.20004730697504e-05,"O","QSOX2","C1"
"MARF1",9.35296474312055e-10,1.676193593409,0.776,0.339,1.97684262810596e-05,"O","MARF1","C1"
"GZMB",1.81036913108779e-09,1.91943862296851,0.974,0.644,3.82639619546715e-05,"O","GZMB","C1"
"DCDC2C",2.51736362968595e-09,1.28599694668025,0.983,0.763,5.32069976770423e-05,"O","DCDC2C","C1"
"ENSMFAG00000032131",3.86280992083504e-09,1.56446933347931,0.862,0.492,8.16443504867695e-05,"O","ENSMFAG00000032131","C1"
"CDCA7",6.26560183853847e-09,1.34822086315705,0.759,0.356,0.000132429760459349,"O","CDCA7","C1"
"ENSMFAG00000041443",9.28375639031319e-09,2.0687148302287,0.853,0.508,0.00019622147506566,"O","ENSMFAG00000041443","C1"
"ENSMFAG00000037443",9.55602474699357e-09,1.59503845013816,1,0.932,0.000201976139052456,"O","ENSMFAG00000037443","C1"
"PLA2G1B",1.56730747665191e-08,2.11780109259251,0.974,0.78,0.000331266108265147,"O","PLA2G1B","C1"
"FAM92A",1.68471970015935e-08,1.39739163902044,0.776,0.356,0.00035608235582568,"O","FAM92A","C1"
"ACOT2",1.91111899387935e-08,1.4694847798083,0.862,0.627,0.000403934110546339,"O","ACOT2","C1"
"F10",2.31003825514041e-08,1.57251997900135,0.914,0.712,0.000488249685606477,"O","F10","C1"
"MORF4L1",2.61357781323351e-08,0.91853450098238,1,1,0.000552405806605035,"O","MORF4L1","C1"
"WASF2",2.90547621154102e-08,1.14916826858009,0.966,0.695,0.000614101452071309,"O","WASF2","C1"
