tumor	event	beta	hr	lower	upper	p
DLBC	PFI	0.357927601726374	1.4303620609873	0.376890280291176	5.42846481456408	0.598896606851554
ESCA	OS	-0.781459643520153	0.457737390034287	0.260848276138381	0.80323903740981	0.00645753554136599
ESCA	DSS	-0.71020082872233	0.491545471098825	0.243627806315072	0.991746196020394	0.0473554929454397
ESCA	PFI	-0.396291060723635	0.672810838626024	0.397980789545406	1.13742782682984	0.139063085603525
GBM	OS	-0.405070522256037	0.666929775807577	0.44383563310464	1.00216227063022	0.051227582456758
GBM	DSS	-0.442799181440936	0.642236167080234	0.414965890752461	0.993978790782009	0.0469150946724504
GBM	PFI	-0.405116706711489	0.666898974730327	0.441836025624014	1.00660475086482	0.0537775115210257
HNSC	OS	-0.150110315646565	0.860613032105153	0.621948925713509	1.19086111480864	0.365011144402942
HNSC	DSS	-0.410438653110245	0.663359201729294	0.430082936413538	1.0231641231537	0.0633981179646598
HNSC	PFI	-0.186627303817325	0.829752924512737	0.590345144366978	1.16624981556459	0.282597540677142
KICH	OS	-0.388764645227478	0.677893796780878	0.151508529484061	3.03309656082656	0.611077291549519
KICH	DSS	-1.47973092262159	0.227698948777753	0.0254030303692649	2.04096954264257	0.186036510239096
KICH	PFI	-0.642490491213627	0.525980840815139	0.125554204628854	2.20347734050335	0.379375991774732
KIRC	OS	-0.611972795723659	0.542280005448444	0.373900054529316	0.786487192892635	0.00125489315619208
KIRC	DSS	-1.31574455063716	0.268274504907472	0.154070582639152	0.46713141957743	3.32160332461237e-06
KIRC	PFI	-0.822044593216408	0.439532070887569	0.293962533879101	0.657187291147001	6.19307585724023e-05
KIRP	OS	-0.92766151220689	0.3954774490619	0.187489418096473	0.834193280369722	0.0148494457558599
KIRP	DSS	-0.90268066872421	0.405481240666785	0.16345209355814	1.00589128565791	0.051499689469538
KIRP	PFI	-0.493344881468873	0.610580654796401	0.334098787899534	1.11586377896022	0.108798734527028
LGG	OS	-0.702550949710302	0.495320154007364	0.32328511151136	0.758903043257708	0.0012498131437978
LGG	DSS	-0.755767931351217	0.469649817395605	0.297574956660934	0.741228205003319	0.00116985413103577
LGG	PFI	-0.344118167855498	0.708845160387803	0.509090292509604	0.986979065989027	0.0415930550535218
LIHC	OS	-0.284441291330438	0.752434528597414	0.494099123857832	1.14583833989658	0.184990580207549
LIHC	DSS	-0.316935529438543	0.72837771253208	0.417825217934665	1.26975124846683	0.26368504572523
LIHC	PFI	-0.110129833760014	0.895717833332518	0.627442535190729	1.27869946959528	0.544271054471215
LUAD	OS	-0.824553768190062	0.438430590496601	0.305874711316174	0.628431758402233	7.16149691867732e-06
LUAD	DSS	-0.60153744514613	0.547968516599038	0.347459965873184	0.864184437562923	0.00965468193336852
LUAD	PFI	-0.153697358282544	0.857531506551817	0.614805825645497	1.19608542088384	0.365304225656145
LUSC	OS	0.0117250369221673	1.01179404460974	0.73322565782737	1.3961966248442	0.943109224187955
LUSC	DSS	-0.0562878092800962	0.945267040110116	0.567069065728078	1.57569832516134	0.829065509625309
LUSC	PFI	-0.034042031738044	0.966530878811016	0.65119616350267	1.43456302732251	0.865831172759778
MESO	OS	0.380070179826002	1.46238721591339	0.829161304033522	2.57920426202192	0.189234290160379
MESO	DSS	0.269829852494087	1.30974158250989	0.621952104933975	2.75812719234647	0.477617422752598
MESO	PFI	0.280452960848082	1.32372927409546	0.710421424114459	2.46650668408753	0.377112355512183
OV	OS	-0.157506906291604	0.854270913744067	0.60132305433755	1.21362184404037	0.379282610419177
OV	DSS	-0.169408768498364	0.844163765295338	0.574617292847134	1.24015143906777	0.38801053772912
OV	PFI	-0.0503015164743257	0.950942656393191	0.689322146383669	1.31185678639842	0.759284777944645
PAAD	OS	-0.452923651684794	0.635766671487731	0.393525298558896	1.02712395379606	0.0642251289399972
PAAD	DSS	-0.639730634536492	0.52743447754255	0.300678636398609	0.925197517963299	0.025673372438195
PAAD	PFI	-0.635058567402737	0.529904452281258	0.329615087361751	0.851898894540968	0.0087500832098034
PCPG	OS	0.37359053998725	1.45294210694827	0.123907838226743	17.0371850268279	0.766135601349741
PCPG	DSS	0.37359053998725	1.45294210694827	0.123907838226743	17.0371850268279	0.766135601349741
PCPG	PFI	-0.593065807059109	0.552630426680699	0.203539311280286	1.50044915929158	0.244525807261429
PRAD	OS	-0.0605625353039621	0.941234906766946	0.232319216593584	3.81338729833272	0.932387224306242
PRAD	DSS	-1.05417393776322	0.348480174753816	0.0359597576914629	3.37706480778875	0.362969197383231
PRAD	PFI	-0.0510254452502986	0.950254490761433	0.574694674361161	1.57124058651847	0.842367369892785
READ	OS	0.210533374264848	1.2343362475996	0.374118182901368	4.07247239447847	0.729587138975129
READ	DSS	0.178992409616702	1.19601166594646	0.166906204923323	8.57034587621935	0.858611122404828
READ	PFI	-0.351264352446564	0.703797678623753	0.24979033630481	1.98298773188627	0.506289735442764
SARC	OS	0.143835122833208	1.15469371020173	0.726277960900025	1.83582269621281	0.543176254535229
SARC	DSS	0.343408207705934	1.40974411289739	0.842985258503654	2.35754830087606	0.190559666006264
SARC	PFI	0.056793451840306	1.05843716956682	0.713133890259116	1.57093816073384	0.778026836927174
