id	GO_0000122	GO_0001525	GO_0007155	GO_0007165	GO_0043547	GO_0045944
Ctrl4_1223	5.453	1.314	2.546	7.338	2.013	6.943
Ctrl4_1224	5.696	1.480	3.035	8.321	2.748	7.209
Ctrl4_1225	5.060	1.447	3.081	8.462	2.547	6.350
Ctrl4_1226	5.091	1.494	2.651	7.959	1.901	6.855
Ctrl4_1227	5.590	1.177	3.294	8.767	2.359	7.267
Ctrl4_1228	5.540	1.402	2.847	9.125	2.727	7.972
Ctrl4_1229	5.290	1.557	2.872	8.041	2.382	7.133
Ctrl4_1230	5.022	1.564	2.369	8.064	2.095	7.304
Ctrl4_1231	4.980	1.397	3.119	9.654	2.214	6.900
Ctrl4_1232	5.254	1.288	2.916	7.280	2.244	5.925
Ctrl4_1233	5.389	1.313	2.546	8.621	2.275	6.620
Ctrl4_1234	5.308	1.461	3.086	8.385	2.212	6.021
Ctrl4_1235	5.491	1.679	3.187	8.251	2.474	6.999
Ctrl4_1236	5.597	1.586	2.913	8.829	1.816	7.388
Ctrl4_1237	5.158	1.762	2.590	7.941	2.293	5.977
Ctrl4_1238	4.585	1.357	2.292	7.333	2.039	6.401
Ctrl4_1239	5.971	1.341	2.422	7.946	1.973	8.195
Ctrl4_1240	5.482	1.536	2.494	7.788	2.357	7.133
Ctrl4_1241	5.635	1.850	3.248	8.197	2.729	7.141
Ctrl4_1242	5.567	1.351	2.904	8.119	2.063	6.327
Ctrl4_1243	5.777	0.925	2.543	8.526	2.371	6.701
Ctrl4_1244	5.706	1.325	3.890	9.460	3.255	7.950
Ctrl4_1245	5.058	1.477	2.765	7.984	2.223	6.965
Ctrl4_1246	5.661	1.179	2.916	8.378	2.273	6.644
Ctrl4_1247	5.292	1.475	3.511	8.931	2.744	7.008
Ctrl4_1248	5.473	1.330	3.308	8.235	2.705	6.195
Ctrl4_1249	5.457	1.284	2.875	7.802	2.386	6.857
Ctrl4_1250	5.616	1.597	2.835	8.343	2.196	7.799
Ctrl4_1251	4.818	1.494	3.190	8.801	2.074	6.999
Ctrl4_1252	5.475	1.805	3.770	8.796	2.367	7.655
Ctrl4_1253	5.178	1.470	2.323	8.430	2.175	6.499
Ctrl4_1254	5.657	1.641	3.133	8.692	1.450	7.175
Ctrl4_1255	5.629	1.431	3.067	8.852	2.166	7.263
Ctrl1_11	6.248	1.290	2.642	7.628	2.265	7.563
Ctrl1_12	5.303	1.435	2.447	8.118	2.109	6.825
Ctrl1_13	5.471	1.321	2.564	8.971	2.667	6.206
Ctrl1_14	5.602	1.776	3.223	8.589	2.119	6.766
Ctrl1_15	5.431	1.544	3.289	7.571	2.364	6.433
Ctrl1_16	5.137	1.279	3.002	8.574	2.469	6.558
Ctrl1_17	6.461	1.424	2.610	7.362	2.462	6.621
Ctrl1_18	4.989	1.040	2.375	7.437	1.781	5.757
Ctrl1_19	5.339	1.365	2.722	8.204	2.295	7.170
Ctrl1_110	5.465	1.563	2.925	9.752	2.786	8.588
Ctrl1_111	5.083	1.418	2.931	8.043	2.485	6.554
Ctrl1_112	5.387	1.169	2.655	7.467	2.283	6.537
Ctrl1_113	5.370	1.365	2.744	8.325	2.240	6.859
Ctrl1_114	5.578	1.334	2.503	7.789	2.161	6.696
Ctrl1_115	5.393	1.465	3.100	8.018	1.962	6.533
Ctrl1_116	5.830	1.085	2.872	7.511	2.616	6.408
Ctrl1_117	5.199	1.333	3.081	7.644	2.303	6.860
Ctrl1_118	5.579	1.396	2.835	7.783	2.193	6.702
Ctrl1_119	5.158	1.490	2.860	7.633	1.995	7.015
Ctrl1_120	5.424	1.522	2.586	7.906	2.628	6.348
Ctrl1_121	4.951	1.029	3.302	8.976	2.239	6.550
Ctrl1_122	5.670	1.183	2.799	7.809	2.447	7.116
Ctrl1_123	5.642	1.343	3.038	8.923	2.242	7.149
Ctrl1_124	5.938	1.240	2.714	8.627	2.754	7.036
Ctrl1_125	4.587	1.476	2.799	7.688	1.841	5.796
Ctrl1_126	5.181	0.956	3.041	7.751	2.469	6.596
Ctrl1_127	4.835	1.274	2.551	7.866	2.028	6.257
Ctrl1_128	5.130	1.415	2.581	7.864	2.337	6.908
Ctrl1_129	4.717	1.549	3.301	9.101	2.553	6.667
Ctrl1_130	5.615	1.463	2.914	7.179	1.755	6.461
Ctrl1_131	5.532	0.852	2.776	8.430	2.282	7.019
Ctrl1_132	5.182	1.144	2.752	7.535	2.416	6.438
Ctrl1_133	4.972	1.162	2.887	7.841	2.062	6.570
Ctrl1_134	6.011	1.368	2.760	7.150	2.356	7.423
Ctrl1_135	5.378	1.269	3.145	8.418	2.371	6.860
Ctrl1_136	4.969	1.220	2.526	8.247	2.663	7.150
Ctrl1_137	5.629	1.414	2.461	7.501	2.452	6.545
Ctrl1_138	5.704	1.804	3.027	7.072	2.035	6.668
Ctrl1_139	5.252	1.350	2.761	7.780	2.163	6.662
