"Gene_Clusters","Gene"
2,"GIMAP7"
2,"ARHGAP24"
2,"HLA-DMB"
2,"IRF8"
2,"BTK"
2,"NAPA-AS1"
2,"NCF1"
2,"GAPT"
2,"RARRES3"
2,"CLIC3"
2,"LAT"
2,"RP5-887A10.1"
2,"CD1C"
2,"TSPAN13"
2,"PPP1R14A"
2,"PRSS23"
2,"PRR5"
2,"DOK3"
2,"PHACTR1"
2,"MZB1"
2,"ALOX5"
2,"VDAC3"
2,"PLEKHF1"
2,"MIS18BP1"
2,"ARL4C"
2,"TNFRSF13B"
2,"HHEX"
2,"PLD4"
2,"POU2F2"
2,"LYL1"
2,"HBP1"
2,"PQBP1"
2,"CCDC50"
2,"MED9"
2,"ITM2C"
2,"YPEL2"
2,"WDYHV1"
2,"DNAJC15"
2,"CTSH"
2,"NCF4"
2,"PTCRA"
2,"HBEGF"
2,"KYNU"
2,"PYCARD"
2,"TNFRSF17"
2,"MRPL42"
2,"PWP1"
2,"MIB2"
2,"XBP1"
2,"ACBD3"
2,"FKBP11"
2,"CAPG"
2,"CMC1"
2,"RAB9A"
2,"C12orf75"
2,"WARS2"
2,"LITAF"
2,"ARPC5L"
2,"PTGDS"
2,"CAPN2"
2,"SLA2"
3,"NKG7"
3,"GNLY"
3,"GZMA"
3,"CCL5"
3,"CST7"
3,"CTSW"
3,"GZMH"
3,"PRF1"
3,"PPBP"
3,"IL32"
3,"FGFBP2"
3,"GZMM"
3,"CD247"
3,"CD3D"
3,"CD7"
3,"CCL4"
3,"HCST"
3,"SPON2"
3,"GZMK"
3,"ANXA1"
3,"PF4"
3,"LYAR"
3,"KLRD1"
3,"KLRG1"
3,"XCL2"
3,"CD8B"
3,"SAMD3"
3,"SDPR"
3,"ZAP70"
3,"CD2"
3,"GNG11"
3,"TIGIT"
3,"CD3E"
3,"HOPX"
3,"CD8A"
3,"GIMAP4"
3,"CLU"
3,"AKR1C3"
3,"NGFRAP1"
3,"TPST2"
3,"MATK"
3,"IL2RB"
3,"TUBB1"
3,"GIMAP5"
3,"PTGDR"
3,"KLRB1"
3,"CCR7"
3,"SH2D1A"
3,"XCL1"
3,"APMAP"
3,"GPR56"
3,"LCK"
3,"FCRL6"
3,"S100B"
3,"GIMAP1"
3,"S1PR5"
3,"TTC38"
3,"RGS10"
3,"CD99"
3,"PLA2G16"
3,"FYN"
3,"SLC9A3R1"
3,"PTGER2"
3,"IFITM1"
3,"CD160"
3,"SH2D2A"
3,"TPM1"
3,"VPS26B"
3,"STOM"
3,"C1orf21"
3,"AC092580.4"
3,"GP9"
3,"GBP5"
3,"CD9"
3,"CD3G"
3,"PRKCQ-AS1"
3,"FERMT3"
3,"LAG3"
3,"GPKOW"
3,"OPTN"
3,"TMEM173"
3,"C9orf142"
3,"PYHIN1"
3,"PRMT2"
3,"FYB"
3,"BCL11B"
3,"TMIGD2"
3,"ABHD17A"
3,"TXK"
3,"PIM1"
3,"CHST12"
3,"GIMAP6"
3,"RNF125"
3,"PRKCH"
3,"RNF11"
3,"KLRC1"
3,"SLAMF7"
3,"NPRL2"
3,"CA2"
3,"RAP1B"
3,"GRAP2"
3,"CMTM3"
3,"APOBEC3G"
3,"IL10RA"
3,"TSC22D1"
3,"CDC42EP3"
3,"SIGIRR"
3,"RORA"
3,"DGKZ"
3,"DHRS7"
3,"GBP2"
3,"MLLT11"
3,"TBX21"
3,"APBA2"
3,"TNFRSF25"
3,"RCBTB2"
3,"FKBP5"
3,"IFNG"
3,"GIMAP2"
3,"RAMP1"
3,"RGS3"
3,"DIAPH1"
3,"TMEM140"
3,"PGRMC1"
3,"KIR3DL2"
3,"SH2D1B"
3,"IQGAP2"
4,"SRGN"
4,"ID2"
4,"FCGR3A"
4,"S100A4"
4,"LGALS1"
4,"CCL3"
4,"TYROBP"
4,"FCER1G"
4,"IGFBP7"
4,"ITGB2"
4,"MT2A"
4,"MYO1F"
4,"DOK2"
4,"CTSC"
4,"CD300A"
4,"CD63"
4,"FAM26F"
4,"S100A11"
4,"LINC00152"
4,"CTSD"
4,"ASCL2"
4,"MIR4435-1HG"
4,"GLIPR2"
4,"SPN"
4,"RNASE6"
4,"ABI3"
4,"S100A6"
4,"S100A10"
4,"BNIP2"
4,"TNFRSF1A"
4,"TIMP1"
4,"CX3CR1"
4,"CKLF"
4,"UPP1"
4,"RHOC"
4,"MPP1"
4,"HAVCR2"
4,"EFHD2"
4,"ANXA2"
4,"CTSA"
4,"SAMHD1"
4,"CISD3"
4,"YBX3"
4,"FLNA"
4,"LGALS3"
4,"TNFRSF1B"
4,"CEBPD"
4,"CTBP2"
4,"AOAH"
4,"EID2"
4,"CD97"
4,"RGS18"
4,"ITGAL"
4,"IFNGR2"
4,"SH3BGRL3"
4,"CHPF2"
4,"SYNGR1"
4,"C17orf59"
