"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"GAPVD1","OK","negbinomial.size",0.71597351327308,0.895009805371815,"GAPVD1",81,FALSE
"NAA16","OK","negbinomial.size",0.716233809078806,0.895227874993861,"NAA16",105,FALSE
"RNF114","OK","negbinomial.size",0.716452889289854,0.895287085621881,"RNF114",359,FALSE
"AC145212.1","OK","negbinomial.size",0.716384856426138,0.895287085621881,"AC145212.1",15,FALSE
"LINS","OK","negbinomial.size",0.716577829736584,0.895335922417098,"LINS",136,FALSE
"SLC25A26","OK","negbinomial.size",0.716939448804586,0.895456049225955,"SLC25A26",175,FALSE
"ATP2C1","OK","negbinomial.size",0.717427503665081,0.895456049225955,"ATP2C1",51,FALSE
"KDM7A","OK","negbinomial.size",0.717118116046764,0.895456049225955,"KDM7A",57,FALSE
"AIP","OK","negbinomial.size",0.71709113019997,0.895456049225955,"AIP",462,FALSE
"DLAT","OK","negbinomial.size",0.717532676192183,0.895456049225955,"DLAT",61,FALSE
"KIAA1551","OK","negbinomial.size",0.717476051829769,0.895456049225955,"KIAA1551",236,FALSE
"SF3B3","OK","negbinomial.size",0.717406377141551,0.895456049225955,"SF3B3",113,FALSE
"GAS7","OK","negbinomial.size",0.717466683293355,0.895456049225955,"GAS7",101,TRUE
"ZNF865","OK","negbinomial.size",0.71741892299336,0.895456049225955,"ZNF865",22,FALSE
"DGCR8","OK","negbinomial.size",0.717039309918108,0.895456049225955,"DGCR8",24,FALSE
"ABHD6","OK","negbinomial.size",0.717866304886141,0.895765206097006,"ABHD6",28,FALSE
"TMEM39A","OK","negbinomial.size",0.717964135892229,0.895780092017727,"TMEM39A",43,FALSE
"HIST1H4C","OK","negbinomial.size",0.718257228042816,0.896038566100069,"HIST1H4C",186,FALSE
"THUMPD2","OK","negbinomial.size",0.718632643686796,0.896399666072477,"THUMPD2",34,FALSE
"TUBGCP6","OK","negbinomial.size",0.718741136106935,0.896427767889381,"TUBGCP6",53,FALSE
"PPOX","OK","negbinomial.size",0.719567197702942,0.896480427730479,"PPOX",52,FALSE
"POLR1A","OK","negbinomial.size",0.719398108246089,0.896480427730479,"POLR1A",27,FALSE
"TRA2B","OK","negbinomial.size",0.71914142437222,0.896480427730479,"TRA2B",736,FALSE
"FBXW11","OK","negbinomial.size",0.719034681892896,0.896480427730479,"FBXW11",62,FALSE
"DOPEY1","OK","negbinomial.size",0.719584441307772,0.896480427730479,"DOPEY1",24,FALSE
"LRWD1","OK","negbinomial.size",0.719643043779425,0.896480427730479,"LRWD1",59,FALSE
"PIGB","OK","negbinomial.size",0.719588867798349,0.896480427730479,"PIGB",47,FALSE
"FLCN","OK","negbinomial.size",0.719486604980313,0.896480427730479,"FLCN",42,FALSE
"NDUFA13","OK","negbinomial.size",0.719061618897064,0.896480427730479,"NDUFA13",1217,FALSE
"ZNF432","OK","negbinomial.size",0.719160490553517,0.896480427730479,"ZNF432",18,FALSE
"UBE2T","OK","negbinomial.size",0.720496340049056,0.896750981021578,"UBE2T",45,FALSE
"PSMD2","OK","negbinomial.size",0.72070901617048,0.896750981021578,"PSMD2",258,FALSE
"BST1","OK","negbinomial.size",0.720618203054858,0.896750981021578,"BST1",196,TRUE
"MAST4","OK","negbinomial.size",0.72025342430934,0.896750981021578,"MAST4",55,FALSE
"PRKAG2","OK","negbinomial.size",0.720847565123782,0.896750981021578,"PRKAG2",135,FALSE
"BTRC","OK","negbinomial.size",0.720823625432099,0.896750981021578,"BTRC",20,FALSE
"SCYL2","OK","negbinomial.size",0.720592131640665,0.896750981021578,"SCYL2",62,FALSE
"MRPS31","OK","negbinomial.size",0.720750491345169,0.896750981021578,"MRPS31",217,FALSE
"PPM1A","OK","negbinomial.size",0.72097815735375,0.896750981021578,"PPM1A",123,FALSE
"RP11-455F5.5","OK","negbinomial.size",0.720593519166469,0.896750981021578,"RP11-455F5.5",57,FALSE
"LSM14A","OK","negbinomial.size",0.720610964917873,0.896750981021578,"LSM14A",432,FALSE
"APP","OK","negbinomial.size",0.720383127873967,0.896750981021578,"APP",110,TRUE
"MCM3AP","OK","negbinomial.size",0.720945820413258,0.896750981021578,"MCM3AP",53,FALSE
"ACPL2","OK","negbinomial.size",0.721154092982547,0.896862836210138,"ACPL2",24,FALSE
"IGSF8","OK","negbinomial.size",0.721435462650824,0.896914792424302,"IGSF8",120,FALSE
"VPS35","OK","negbinomial.size",0.721328820881638,0.896914792424302,"VPS35",235,FALSE
"TCF25","OK","negbinomial.size",0.721453900925877,0.896914792424302,"TCF25",672,FALSE
"RP11-1017G21.5","OK","negbinomial.size",0.721655636995532,0.897058646154418,"RP11-1017G21.5",16,FALSE
"TP53BP2","OK","negbinomial.size",0.722312040225915,0.897146155410011,"TP53BP2",34,FALSE
"SLC39A4","OK","negbinomial.size",0.721996323313039,0.897146155410011,"SLC39A4",108,FALSE
"LTBR","OK","negbinomial.size",0.722283971713771,0.897146155410011,"LTBR",64,TRUE
"C2CD5","OK","negbinomial.size",0.72232826244941,0.897146155410011,"C2CD5",40,FALSE
"ACVR1B","OK","negbinomial.size",0.722289831517814,0.897146155410011,"ACVR1B",17,FALSE
"DUSP6","OK","negbinomial.size",0.721956581287598,0.897146155410011,"DUSP6",246,TRUE
"TUFM","OK","negbinomial.size",0.722200072270481,0.897146155410011,"TUFM",645,FALSE
"HNMT","OK","negbinomial.size",0.722646348653717,0.897236369781695,"HNMT",124,TRUE
"PSMG4","OK","negbinomial.size",0.722655554126685,0.897236369781695,"PSMG4",171,FALSE
"ADNP","OK","negbinomial.size",0.722659020885736,0.897236369781695,"ADNP",30,FALSE
"NDC1","OK","negbinomial.size",0.723935335877164,0.897354534741916,"NDC1",25,FALSE
"CAPZA1","OK","negbinomial.size",0.724096363460951,0.897354534741916,"CAPZA1",452,FALSE
"SLC16A1","OK","negbinomial.size",0.723572640034421,0.897354534741916,"SLC16A1",26,FALSE
"FAM20B","OK","negbinomial.size",0.724183467935163,0.897354534741916,"FAM20B",27,FALSE
"ZNF669","OK","negbinomial.size",0.723221571245554,0.897354534741916,"ZNF669",42,FALSE
"SNRNP27","OK","negbinomial.size",0.724459428673987,0.897354534741916,"SNRNP27",153,FALSE
"IRF2","OK","negbinomial.size",0.723965593881617,0.897354534741916,"IRF2",275,FALSE
"PRKAA1","OK","negbinomial.size",0.723657111174542,0.897354534741916,"PRKAA1",132,FALSE
"POU5F2","OK","negbinomial.size",0.724702635356608,0.897354534741916,"POU5F2",24,FALSE
"MRS2","OK","negbinomial.size",0.72459086219982,0.897354534741916,"MRS2",105,FALSE
"RWDD2A","OK","negbinomial.size",0.724504928388602,0.897354534741916,"RWDD2A",23,FALSE
"PRDM1","OK","negbinomial.size",0.724314343011806,0.897354534741916,"PRDM1",46,FALSE
"STAM","OK","negbinomial.size",0.724439220163573,0.897354534741916,"STAM",34,FALSE
"ITPRIP","OK","negbinomial.size",0.72382975926908,0.897354534741916,"ITPRIP",43,FALSE
"TRIM66","OK","negbinomial.size",0.723162766573914,0.897354534741916,"TRIM66",17,FALSE
"MED19","OK","negbinomial.size",0.723841943717212,0.897354534741916,"MED19",124,FALSE
"MUS81","OK","negbinomial.size",0.724076233627361,0.897354534741916,"MUS81",103,FALSE
"KRT7","OK","negbinomial.size",0.722924869388553,0.897354534741916,"KRT7",15,FALSE
"LGMN","OK","negbinomial.size",0.724521088254438,0.897354534741916,"LGMN",38,FALSE
"TERF2","OK","negbinomial.size",0.724733399654432,0.897354534741916,"TERF2",23,FALSE
"DHRS13","OK","negbinomial.size",0.723485830480325,0.897354534741916,"DHRS13",43,FALSE
"ACSF2","OK","negbinomial.size",0.724730078961068,0.897354534741916,"ACSF2",34,FALSE
"MAP1LC3A","OK","negbinomial.size",0.722933734471726,0.897354534741916,"MAP1LC3A",39,FALSE
"PUM1","OK","negbinomial.size",0.725402496311943,0.89767758692014,"PUM1",88,FALSE
"C5orf66","OK","negbinomial.size",0.725424724297662,0.89767758692014,"C5orf66",14,FALSE
"EMD","OK","negbinomial.size",0.725369459790182,0.89767758692014,"EMD",249,FALSE
"ARHGAP12","OK","negbinomial.size",0.725206981243024,0.89767758692014,"ARHGAP12",25,FALSE
"TRIM8","OK","negbinomial.size",0.725351021223375,0.89767758692014,"TRIM8",169,FALSE
"ZEB2","OK","negbinomial.size",0.725638740138569,0.897755155426162,"ZEB2",213,FALSE
"PAQR8","OK","negbinomial.size",0.725659590054384,0.897755155426162,"PAQR8",53,FALSE
"SCRIB","OK","negbinomial.size",0.725757257311431,0.897769475592361,"SCRIB",17,FALSE
"SDHD","OK","negbinomial.size",0.725843532999472,0.897769702540445,"SDHD",516,FALSE
"SPG21","OK","negbinomial.size",0.726035418507634,0.897900538922866,"SPG21",465,TRUE
"RP4-673M15.1","OK","negbinomial.size",0.726209730611303,0.897928925907008,"RP4-673M15.1",16,FALSE
"KRT10","OK","negbinomial.size",0.72623058698693,0.897928925907008,"KRT10",639,FALSE
"RWDD4","OK","negbinomial.size",0.726556731973091,0.898012753468697,"RWDD4",155,FALSE
"YWHAG","OK","negbinomial.size",0.726544520985891,0.898012753468697,"YWHAG",47,FALSE
"GTPBP3","OK","negbinomial.size",0.726546570808232,0.898012753468697,"GTPBP3",60,FALSE
"PHB2","OK","negbinomial.size",0.72678132043184,0.898183883558098,"PHB2",536,FALSE
"RYBP","OK","negbinomial.size",0.727134245039325,0.898194255777076,"RYBP",59,FALSE
"UTRN","OK","negbinomial.size",0.72704916621335,0.898194255777076,"UTRN",230,FALSE
"IPO4","OK","negbinomial.size",0.726933823030729,0.898194255777076,"IPO4",45,FALSE
"TSR1","OK","negbinomial.size",0.726990221676892,0.898194255777076,"TSR1",54,FALSE
"UBQLN4","OK","negbinomial.size",0.727587775523766,0.898222484096345,"UBQLN4",23,FALSE
"HAAO","OK","negbinomial.size",0.727509651996207,0.898222484096345,"HAAO",17,FALSE
"CLASP2","OK","negbinomial.size",0.727437826117339,0.898222484096345,"CLASP2",78,FALSE
"SLC36A1","OK","negbinomial.size",0.727388072656251,0.898222484096345,"SLC36A1",16,FALSE
"CD68","OK","negbinomial.size",0.727482817907149,0.898222484096345,"CD68",587,TRUE
"CTU1","OK","negbinomial.size",0.727938239719937,0.898548764654297,"CTU1",28,FALSE
"RORC","OK","negbinomial.size",0.729041096076056,0.899141480486396,"RORC",21,FALSE
"CR1","OK","negbinomial.size",0.728925161392313,0.899141480486396,"CR1",45,FALSE
"AHI1","OK","negbinomial.size",0.728600059937974,0.899141480486396,"AHI1",41,FALSE
"PLCXD1","OK","negbinomial.size",0.728689153507345,0.899141480486396,"PLCXD1",40,FALSE
"ACOT9","OK","negbinomial.size",0.728655050672996,0.899141480486396,"ACOT9",137,FALSE
"SMC2","OK","negbinomial.size",0.729120517957643,0.899141480486396,"SMC2",54,FALSE
