"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"ISG15","OK","negbinomial.size",0.00902146739509337,0.083709222361929,"ISG15",1182,TRUE
"ZNF600","OK","negbinomial.size",0.00902274318515614,0.083709222361929,"ZNF600",33,FALSE
"ALG12","OK","negbinomial.size",0.00905539027347362,0.0839374309082515,"ALG12",76,FALSE
"SLC15A3","OK","negbinomial.size",0.00906899388460104,0.0839888705405148,"SLC15A3",69,TRUE
"RABIF","OK","negbinomial.size",0.0090859583277438,0.0840713162748113,"RABIF",154,FALSE
"RP11-138A9.2","OK","negbinomial.size",0.00910063807786344,0.0841324945708864,"RP11-138A9.2",48,FALSE
"PPP1R2","OK","negbinomial.size",0.00914517123613038,0.0844693052704761,"PPP1R2",745,FALSE
"CLMN","OK","negbinomial.size",0.00917386144432883,0.0846593160543903,"CLMN",37,TRUE
"PARP8","OK","negbinomial.size",0.00922846623224257,0.0848628270457016,"PARP8",161,FALSE
"CITED2","OK","negbinomial.size",0.00921975202169392,0.0848628270457016,"CITED2",604,FALSE
"MYBL1","OK","negbinomial.size",0.00922361912440287,0.0848628270457016,"MYBL1",60,FALSE
"CECR5","OK","negbinomial.size",0.00922716908935638,0.0848628270457016,"CECR5",149,FALSE
"RNF213","OK","negbinomial.size",0.00925346162955742,0.0850177073771143,"RNF213",600,FALSE
"NOP58","OK","negbinomial.size",0.00931162410541347,0.0854015973361932,"NOP58",262,TRUE
"CLPP","OK","negbinomial.size",0.00931082552220508,0.0854015973361932,"CLPP",319,FALSE
"SYK","OK","negbinomial.size",0.00932913390931155,0.0854870021144999,"SYK",213,TRUE
"DNPH1","OK","negbinomial.size",0.00934863879251966,0.0855905226763784,"DNPH1",280,FALSE
"GALNS","OK","negbinomial.size",0.00937571139334468,0.0857630863243845,"GALNS",36,FALSE
"PDIA5","OK","negbinomial.size",0.00951673071938797,0.0869005848877213,"PDIA5",17,FALSE
"RP11-538P18.2","OK","negbinomial.size",0.00950937764571851,0.0869005848877213,"RP11-538P18.2",18,FALSE
"SLC11A1","OK","negbinomial.size",0.0095349140010302,0.0869904489962755,"SLC11A1",238,TRUE
"ARID5A","OK","negbinomial.size",0.00956904044902636,0.0872254840930479,"ARID5A",302,FALSE
"ACTA2","OK","negbinomial.size",0.00958096482383633,0.0872579049632884,"ACTA2",40,FALSE
"NBR1","OK","negbinomial.size",0.00963103524899696,0.0876373783390404,"NBR1",158,FALSE
"AC005082.12","OK","negbinomial.size",0.00964572573994989,0.0876945318362663,"AC005082.12",20,TRUE
"LRRC8D","OK","negbinomial.size",0.00978710985179717,0.0889024229394956,"LRRC8D",89,FALSE
"ARV1","OK","negbinomial.size",0.00983609109814547,0.0892695891831688,"ARV1",93,FALSE
"NME3","OK","negbinomial.size",0.00985801290449142,0.0893907465809013,"NME3",399,FALSE
"BAK1","OK","negbinomial.size",0.00988017201334431,0.0894361404124605,"BAK1",112,FALSE
"ZNF92","OK","negbinomial.size",0.00987789079431712,0.0894361404124605,"ZNF92",118,TRUE
"FAM210B","OK","negbinomial.size",0.00990202066102799,0.0895561764555073,"FAM210B",78,TRUE
"CERK","OK","negbinomial.size",0.00991403532768693,0.0895871407254066,"CERK",148,FALSE
"C14orf119","OK","negbinomial.size",0.00992404459447938,0.0895999454815853,"C14orf119",285,FALSE
"PAOX","OK","negbinomial.size",0.00997701009399946,0.090000226003656,"PAOX",52,FALSE
"INTS6-AS1","OK","negbinomial.size",0.0100363760981801,0.0904575021191201,"INTS6-AS1",43,FALSE
"LDLRAP1","OK","negbinomial.size",0.0100711279997207,0.0906923340078477,"LDLRAP1",335,TRUE
"SBK1","OK","negbinomial.size",0.010124836816747,0.0910973238352351,"SBK1",25,FALSE
"CPD","OK","negbinomial.size",0.0101933117921374,0.0916343580762145,"CPD",18,FALSE
"FPR1","OK","negbinomial.size",0.0102056506370207,0.0916662574012504,"FPR1",287,TRUE
"ARPC4","OK","negbinomial.size",0.0102184760699729,0.0917024685522182,"ARPC4",835,FALSE
"LRRC8C","OK","negbinomial.size",0.0102578740537503,0.0918189790836979,"LRRC8C",75,FALSE
"BRE","OK","negbinomial.size",0.0102470472442264,0.0918189790836979,"BRE",193,FALSE
"NCOR2","OK","negbinomial.size",0.0102551146699612,0.0918189790836979,"NCOR2",76,TRUE
"ANXA2R","OK","negbinomial.size",0.0103032703021692,0.0920672688183554,"ANXA2R",470,TRUE
"C21orf33","OK","negbinomial.size",0.0102974979027766,0.0920672688183554,"C21orf33",282,FALSE
"C15orf61","OK","negbinomial.size",0.010347615343709,0.0923843602775662,"C15orf61",190,FALSE
"MAPKAPK3","OK","negbinomial.size",0.0103666465475533,0.0923960599981929,"MAPKAPK3",314,TRUE
"TBC1D9","OK","negbinomial.size",0.010361657412753,0.0923960599981929,"TBC1D9",21,FALSE
"THEMIS","OK","negbinomial.size",0.0103929355278757,0.0924802188099591,"THEMIS",145,FALSE
"TMEM104","OK","negbinomial.size",0.0103938258961711,0.0924802188099591,"TMEM104",30,FALSE
"OTUB1","OK","negbinomial.size",0.0104855345336281,0.0932166701761924,"OTUB1",427,FALSE
"ST3GAL5","OK","negbinomial.size",0.0105201757807724,0.0934449685195018,"ST3GAL5",126,FALSE
"NOP14","OK","negbinomial.size",0.0106008553269115,0.0937622725606726,"NOP14",35,FALSE
"SLA","OK","negbinomial.size",0.0105849013944361,0.0937622725606726,"SLA",248,FALSE
"AC132872.2","OK","negbinomial.size",0.0105763528342607,0.0937622725606726,"AC132872.2",18,FALSE
"EMR1","OK","negbinomial.size",0.0105843213396004,0.0937622725606726,"EMR1",55,TRUE
"CBR3","OK","negbinomial.size",0.0106001554116724,0.0937622725606726,"CBR3",41,FALSE
"A2M-AS1","OK","negbinomial.size",0.010624635678049,0.0938929668226228,"A2M-AS1",30,FALSE
"DYNC1H1","OK","negbinomial.size",0.0106514105026861,0.0940498803742681,"DYNC1H1",147,FALSE
"SMAD5","OK","negbinomial.size",0.0106875395780238,0.0942890547543419,"SMAD5",29,FALSE
"SUSD1","OK","negbinomial.size",0.0107980023808823,0.0951625000281365,"SUSD1",40,FALSE
"ACOT4","OK","negbinomial.size",0.0108047947864704,0.0951625000281365,"ACOT4",37,FALSE
"HERPUD1","OK","negbinomial.size",0.0108282565903022,0.0952886579946593,"HERPUD1",560,FALSE
"LDHB","OK","negbinomial.size",0.0108560350232302,0.0954525575229715,"LDHB",1781,TRUE
"MRPS9","OK","negbinomial.size",0.0108763153239126,0.0954698789543439,"MRPS9",170,FALSE
"FADS1","OK","negbinomial.size",0.0108698152508509,0.0954698789543439,"FADS1",39,TRUE
"DENND4C","OK","negbinomial.size",0.0109219921388211,0.0957901884134792,"DENND4C",46,FALSE
"PRMT10","OK","negbinomial.size",0.0109535999995187,0.0958256214722994,"PRMT10",235,FALSE
"NINJ1","OK","negbinomial.size",0.0109421858105846,0.0958256214722994,"NINJ1",410,TRUE
"KLHL28","OK","negbinomial.size",0.0109449360492111,0.0958256214722994,"KLHL28",83,FALSE
"PNMA1","OK","negbinomial.size",0.0109925876968463,0.0960860892730204,"PNMA1",86,TRUE
"KLHL18","OK","negbinomial.size",0.0110334167570295,0.0963622026317454,"KLHL18",63,FALSE
"BBX","OK","negbinomial.size",0.0110551198611567,0.0964709539013742,"BBX",381,FALSE
"CWC15","OK","negbinomial.size",0.0111013376387171,0.096793268308145,"CWC15",445,FALSE
"HTATIP2","OK","negbinomial.size",0.0111203944960187,0.0968784242309804,"HTATIP2",331,FALSE
"BST2","OK","negbinomial.size",0.0111306020782723,0.0968864094092017,"BST2",1185,TRUE
"DNAJB14","OK","negbinomial.size",0.0111673406263758,0.0971251276495802,"DNAJB14",121,FALSE
"NKAP","OK","negbinomial.size",0.0111874717462464,0.0971736555663536,"NKAP",171,FALSE
"FLJ00104","OK","negbinomial.size",0.0111915573777513,0.0971736555663536,"FLJ00104",20,FALSE
"CPSF3L","OK","negbinomial.size",0.0112086747730449,0.097241314919561,"CPSF3L",198,TRUE
"MARCKSL1","OK","negbinomial.size",0.0113414982310105,0.0982301856752301,"MARCKSL1",486,FALSE
"FAM8A1","OK","negbinomial.size",0.0113380451065852,0.0982301856752301,"FAM8A1",43,FALSE
"NDRG2","OK","negbinomial.size",0.011372562756073,0.0984174974442565,"NDRG2",56,FALSE
"TMEM156","OK","negbinomial.size",0.0113843513782429,0.0984378243551555,"TMEM156",80,TRUE
"RP11-544A12.8","OK","negbinomial.size",0.0115060920446625,0.0994080595209119,"RP11-544A12.8",51,FALSE
"TIMMDC1","OK","negbinomial.size",0.0115476194511004,0.0996842513543665,"TIMMDC1",250,FALSE
"EI24","OK","negbinomial.size",0.0115681351301096,0.0996991455375052,"EI24",205,FALSE
"KCTD10","OK","negbinomial.size",0.0115684662543519,0.0996991455375052,"KCTD10",31,FALSE
"RNF145","OK","negbinomial.size",0.0115846979732039,0.0997565899790008,"RNF145",214,FALSE
"RCL1","OK","negbinomial.size",0.0116637319568856,0.100354287827065,"RCL1",57,FALSE
"MMP23B","OK","negbinomial.size",0.011698782833372,0.100572883253424,"MMP23B",21,TRUE
"ZDHHC18","OK","negbinomial.size",0.0117344009538088,0.10079599105957,"ZDHHC18",41,FALSE
"C14orf64","OK","negbinomial.size",0.011758393185636,0.100918949909311,"C14orf64",142,TRUE
"ZCCHC7","OK","negbinomial.size",0.0117743022088763,0.100972387692568,"ZCCHC7",177,FALSE
"GALK1","OK","negbinomial.size",0.0118263385161833,0.101335298312868,"GALK1",141,TRUE
"RNF187","OK","negbinomial.size",0.0118661446696313,0.10152250558135,"RNF187",374,FALSE
"CEP72","OK","negbinomial.size",0.0118676576815944,0.10152250558135,"CEP72",16,FALSE
"SYNE1","OK","negbinomial.size",0.0119103806987939,0.101804467153297,"SYNE1",144,FALSE
"TESC","OK","negbinomial.size",0.0119402056433076,0.10197581035906,"TESC",212,TRUE
"MAGED2","OK","negbinomial.size",0.0120133337452979,0.102516402860857,"MAGED2",286,FALSE
"ALDH2","OK","negbinomial.size",0.0120334597199867,0.102604184758807,"ALDH2",294,TRUE
"DUSP10","OK","negbinomial.size",0.0120609990630363,0.102754982213515,"DUSP10",59,FALSE
"MLLT6","OK","negbinomial.size",0.0120766422943534,0.102804265996341,"MLLT6",146,FALSE
"MYL12B","OK","negbinomial.size",0.012090881337456,0.102841525764267,"MYL12B",1850,FALSE
"DHTKD1","OK","negbinomial.size",0.0121172517814014,0.102897965453138,"DHTKD1",27,FALSE
"KCTD11","OK","negbinomial.size",0.0121160516092302,0.102897965453138,"KCTD11",14,FALSE
"COPS4","OK","negbinomial.size",0.0121317073512257,0.102936895247015,"COPS4",220,FALSE
"ZDHHC21","OK","negbinomial.size",0.0121691442132429,0.103170598256664,"ZDHHC21",40,FALSE
"ATM","OK","negbinomial.size",0.0121909018959345,0.103271100707396,"ATM",385,FALSE
"MRPL19","OK","negbinomial.size",0.012204957461817,0.103306247087522,"MRPL19",203,FALSE
"BYSL","OK","negbinomial.size",0.0122508273973148,0.103526440923175,"BYSL",20,FALSE
"SERF2","OK","negbinomial.size",0.0122410196972517,0.103526440923175,"SERF2",2259,TRUE
"RP11-327P2.5","OK","negbinomial.size",0.0122668842515657,0.103557807740858,"RP11-327P2.5",37,FALSE
"PDXDC1","OK","negbinomial.size",0.0122744006873514,0.103557807740858,"PDXDC1",65,FALSE
"SOCS1","OK","negbinomial.size",0.0123014711229392,0.103702296580445,"SOCS1",142,TRUE
"EIF2AK3","OK","negbinomial.size",0.0123452874833928,0.103736741385596,"EIF2AK3",18,FALSE
"MANF","OK","negbinomial.size",0.012345348682348,0.103736741385596,"MANF",340,FALSE
"SLC35A1","OK","negbinomial.size",0.012321593198051,0.103736741385596,"SLC35A1",78,FALSE
"CHAMP1","OK","negbinomial.size",0.0123450890404966,0.103736741385596,"CHAMP1",44,FALSE
"BEND5","OK","negbinomial.size",0.0124193515729345,0.104274555718648,"BEND5",43,TRUE
"CLIC1","OK","negbinomial.size",0.012458072355706,0.104515509674419,"CLIC1",1702,TRUE
"TPMT","OK","negbinomial.size",0.0124750682330834,0.104520518394944,"TPMT",171,FALSE
"TIAM1","OK","negbinomial.size",0.0124787155160822,0.104520518394944,"TIAM1",46,FALSE
"LAMTOR3","OK","negbinomial.size",0.0125175525539588,0.104677656802472,"LAMTOR3",92,FALSE
"CTC1","OK","negbinomial.size",0.012515766371388,0.104677656802472,"CTC1",44,FALSE
"ISG20","OK","negbinomial.size",0.0125480503453487,0.104848612981808,"ISG20",1218,TRUE
"RAB3GAP1","OK","negbinomial.size",0.0125635027043615,0.104893679904789,"RAB3GAP1",88,FALSE
"ARL6IP1","OK","negbinomial.size",0.0126358689801005,0.105413473379591,"ARL6IP1",506,FALSE
"TOX","OK","negbinomial.size",0.012705257687773,0.105907615641964,"TOX",40,FALSE
"CALHM2","OK","negbinomial.size",0.0127286829079734,0.106018135275037,"CALHM2",193,TRUE
"TMEM229B","OK","negbinomial.size",0.0128035185342128,0.106556337809075,"TMEM229B",29,FALSE
"SCCPDH","OK","negbinomial.size",0.0128377539146233,0.106756058868972,"SCCPDH",132,FALSE
"THEM4","OK","negbinomial.size",0.0129574765965661,0.107656709684485,"THEM4",145,TRUE
"DUSP22","OK","negbinomial.size",0.0129770314608168,0.107656709684485,"DUSP22",190,FALSE
"DNMT1","OK","negbinomial.size",0.0129702610271039,0.107656709684485,"DNMT1",197,FALSE
"BBS2","OK","negbinomial.size",0.013011794252597,0.107859292898316,"BBS2",43,FALSE
"LTB4R","OK","negbinomial.size",0.0130962713943503,0.108473326529218,"LTB4R",104,TRUE
"ITGA5","OK","negbinomial.size",0.0131299192521193,0.10866571266754,"ITGA5",55,FALSE
"DDX1","OK","negbinomial.size",0.0131868168028841,0.109050059968656,"DDX1",164,FALSE
"RPL9","OK","negbinomial.size",0.0132273366664929,0.1092119293414,"RPL9",2579,TRUE
"THOC3","OK","negbinomial.size",0.0132170923555987,0.1092119293414,"THOC3",109,FALSE
"MRPS12","OK","negbinomial.size",0.0132791647727869,0.109553109375492,"MRPS12",365,FALSE
"NOC2L","OK","negbinomial.size",0.013307347281467,0.109698828024615,"NOC2L",254,FALSE
"NUP85","OK","negbinomial.size",0.0133733833575789,0.110156115049631,"NUP85",63,FALSE
"GIMAP8","OK","negbinomial.size",0.0133946902242704,0.110244538010017,"GIMAP8",83,FALSE
"FAM98A","OK","negbinomial.size",0.0134561396264697,0.110575747852503,"FAM98A",34,TRUE
"HNRNPH3","OK","negbinomial.size",0.0134544774159416,0.110575747852503,"HNRNPH3",476,FALSE
"ACTN4","OK","negbinomial.size",0.0134833288488033,0.110711931681355,"ACTN4",158,FALSE
"ITCH","OK","negbinomial.size",0.0135234931687806,0.110954356226628,"ITCH",53,FALSE
"SNRNP35","OK","negbinomial.size",0.0136026475732468,0.111516044727844,"SNRNP35",126,FALSE
"UBL4A","OK","negbinomial.size",0.0136311750587289,0.111662131588708,"UBL4A",152,FALSE
"AHNAK","OK","negbinomial.size",0.0137318006092718,0.112398129319848,"AHNAK",725,FALSE
"CHMP6","OK","negbinomial.size",0.013758153222991,0.112525507301451,"CHMP6",152,FALSE
"COPG1","OK","negbinomial.size",0.0137986614601768,0.112768371243514,"COPG1",119,FALSE
"LAMP1","OK","negbinomial.size",0.0138334883933815,0.112964461210792,"LAMP1",537,FALSE
"PLA2G12A","OK","negbinomial.size",0.0138852165088283,0.113137213469944,"PLA2G12A",119,TRUE
"OTUD6B","OK","negbinomial.size",0.0139197396319464,0.113137213469944,"OTUD6B",42,FALSE
"SHMT2","OK","negbinomial.size",0.0138659359012311,0.113137213469944,"SHMT2",155,FALSE
"C16orf13","OK","negbinomial.size",0.0139135183552621,0.113137213469944,"C16orf13",471,FALSE
"BSG","OK","negbinomial.size",0.0138881930292549,0.113137213469944,"BSG",658,FALSE
"C19orf66","OK","negbinomial.size",0.0139064972008653,0.113137213469944,"C19orf66",447,FALSE
"TRIM11","OK","negbinomial.size",0.01395214150059,0.113312252000119,"TRIM11",99,FALSE
"WDR45","OK","negbinomial.size",0.0140095566696123,0.113690005409119,"WDR45",216,TRUE
"FBXO6","OK","negbinomial.size",0.0140859162204483,0.114213900901084,"FBXO6",145,TRUE
"SELL","OK","negbinomial.size",0.0141115401158044,0.114213900901084,"SELL",1247,TRUE
"TCTN1","OK","negbinomial.size",0.0140963052616046,0.114213900901084,"TCTN1",43,FALSE
"LENG1","OK","negbinomial.size",0.0141179246510834,0.114213900901084,"LENG1",260,FALSE
"MPV17","OK","negbinomial.size",0.0142016484525097,0.114802162839357,"MPV17",164,FALSE
"AP3S2","OK","negbinomial.size",0.0142240922012089,0.114894526316194,"AP3S2",43,FALSE
"APPL1","OK","negbinomial.size",0.0143157496431973,0.115456022644441,"APPL1",152,FALSE
"HDAC5","OK","negbinomial.size",0.0143139428841243,0.115456022644441,"HDAC5",111,TRUE
"DLG1","OK","negbinomial.size",0.0143418585415565,0.115487954340811,"DLG1",93,FALSE
"CD27","OK","negbinomial.size",0.0143339454707919,0.115487954340811,"CD27",632,TRUE
"CDC42SE2","OK","negbinomial.size",0.0144727242656117,0.116400389821705,"CDC42SE2",615,FALSE
"CCDC107","OK","negbinomial.size",0.0144774938241994,0.116400389821705,"CCDC107",451,FALSE
"ARSG","OK","negbinomial.size",0.0145866653764089,0.11718778624437,"ARSG",61,FALSE
"TOR1B","OK","negbinomial.size",0.0146734414163304,0.117737378013009,"TOR1B",40,FALSE
"CORO1B","OK","negbinomial.size",0.0146776554868538,0.117737378013009,"CORO1B",438,TRUE
"MRPS33","OK","negbinomial.size",0.0147407003997683,0.118152208892224,"MRPS33",261,TRUE
"CTD-3184A7.4","OK","negbinomial.size",0.0148063582467004,0.118587330104909,"CTD-3184A7.4",153,FALSE
"YTHDC1","OK","negbinomial.size",0.0149608191506359,0.119640661121803,"YTHDC1",168,FALSE
"TMEM204","OK","negbinomial.size",0.0149496455588389,0.119640661121803,"TMEM204",206,TRUE
"NOP10","OK","negbinomial.size",0.014976551425372,0.11967469598757,"NOP10",780,TRUE
"PRKCE","OK","negbinomial.size",0.0150015508388613,0.119782673926222,"PRKCE",19,FALSE
"CBWD6","OK","negbinomial.size",0.0150337154774975,0.119947654934463,"CBWD6",20,FALSE
"C6orf25","OK","negbinomial.size",0.0150634997671951,0.120093406400849,"C6orf25",19,TRUE
"SMPDL3A","OK","negbinomial.size",0.0151256843350467,0.12049704831617,"SMPDL3A",39,TRUE
"MTERFD2","OK","negbinomial.size",0.0151959411097749,0.12080894440292,"MTERFD2",240,FALSE
"CCDC88C","OK","negbinomial.size",0.0151995910104173,0.12080894440292,"CCDC88C",221,FALSE
"PIGU","OK","negbinomial.size",0.015193999036149,0.12080894440292,"PIGU",62,FALSE
"HES1","OK","negbinomial.size",0.0152342280669773,0.120899946942496,"HES1",47,TRUE
"METTL3","OK","negbinomial.size",0.0152331446116475,0.120899946942496,"METTL3",93,FALSE
"DHX32","OK","negbinomial.size",0.0152676153209212,0.121072770012598,"DHX32",26,FALSE
"CTSS","OK","negbinomial.size",0.0152805590478667,0.121083335677169,"CTSS",1379,TRUE
"TGFBR2","OK","negbinomial.size",0.015355211384079,0.121582493783733,"TGFBR2",189,FALSE
"FHL1","OK","negbinomial.size",0.0154021969612608,0.121861995380901,"FHL1",85,TRUE
"MIDN","OK","negbinomial.size",0.0154292894896886,0.121983798937432,"MIDN",283,TRUE
"MAP3K6","OK","negbinomial.size",0.0154711097928086,0.122030346854647,"MAP3K6",42,FALSE
"CFLAR","OK","negbinomial.size",0.0154785059583084,0.122030346854647,"CFLAR",521,FALSE
"DCP2","OK","negbinomial.size",0.0154808544015972,0.122030346854647,"DCP2",162,FALSE
"CYB561","OK","negbinomial.size",0.0154819858926638,0.122030346854647,"CYB561",62,FALSE
"TCP11L1","OK","negbinomial.size",0.0155231613719769,0.122262482467504,"TCP11L1",15,FALSE
"RMDN3","OK","negbinomial.size",0.0155623860530512,0.122478914536768,"RMDN3",106,TRUE
"MMP24-AS1","OK","negbinomial.size",0.0156964759794673,0.12344106449011,"MMP24-AS1",321,FALSE
"NSG1","OK","negbinomial.size",0.0157218632896106,0.123521689762339,"NSG1",145,TRUE
"NSMAF","OK","negbinomial.size",0.0157705978924716,0.123521689762339,"NSMAF",80,FALSE
"RP1-197B17.3","OK","negbinomial.size",0.0157378973815667,0.123521689762339,"RP1-197B17.3",27,FALSE
"PUS1","OK","negbinomial.size",0.0157777992676865,0.123521689762339,"PUS1",61,FALSE
"C16orf72","OK","negbinomial.size",0.0157446129671705,0.123521689762339,"C16orf72",30,FALSE
"CHD3","OK","negbinomial.size",0.0157694227269049,0.123521689762339,"CHD3",128,FALSE
"SOAT1","OK","negbinomial.size",0.015795965366544,0.12357113791622,"SOAT1",95,FALSE
"SCNM1","OK","negbinomial.size",0.0158473892648626,0.123835874830724,"SCNM1",324,FALSE
"CHRNB1","OK","negbinomial.size",0.0158535570482372,0.123835874830724,"CHRNB1",94,FALSE
"LRRC59","OK","negbinomial.size",0.0158687327504984,0.123861635570507,"LRRC59",166,TRUE
"MGST2","OK","negbinomial.size",0.0159678001454026,0.1244485948552,"MGST2",92,TRUE
"RNF5","OK","negbinomial.size",0.0159592772361146,0.1244485948552,"RNF5",389,FALSE
"RAB33A","OK","negbinomial.size",0.016038369458421,0.124905240263192,"RAB33A",69,FALSE
"TPRG1L","OK","negbinomial.size",0.0161427672482987,0.125532425828574,"TPRG1L",49,FALSE
"CRY1","OK","negbinomial.size",0.0161429788105214,0.125532425828574,"CRY1",30,FALSE
"C17orf72","OK","negbinomial.size",0.0162151711222252,0.125999854294012,"C17orf72",18,FALSE
"AGTRAP","OK","negbinomial.size",0.0162858856932883,0.126361023816674,"AGTRAP",403,TRUE
"IKBKAP","OK","negbinomial.size",0.0162794915325379,0.126361023816674,"IKBKAP",41,FALSE
"ATP10D","OK","negbinomial.size",0.0163062361795682,0.126404133384473,"ATP10D",31,FALSE
"LHPP","OK","negbinomial.size",0.016315685034091,0.126404133384473,"LHPP",101,FALSE
"MAP4K4","OK","negbinomial.size",0.0163558195142986,0.126620999179737,"MAP4K4",112,FALSE
"C3orf33","OK","negbinomial.size",0.0163912539214896,0.126801183897102,"C3orf33",27,FALSE
"RP11-110G21.1","OK","negbinomial.size",0.0164103004823617,0.126854420630146,"RP11-110G21.1",29,FALSE
"EIF1AY","OK","negbinomial.size",0.0164981766173059,0.127439248715012,"EIF1AY",375,FALSE
"PDE4A","OK","negbinomial.size",0.0165820416675277,0.127992250561791,"PDE4A",45,FALSE
"FAM228B","OK","negbinomial.size",0.0165951053651328,0.127998342268939,"FAM228B",68,FALSE
"MNDA","OK","negbinomial.size",0.0166109733243138,0.128026038304467,"MNDA",333,TRUE
"JAKMIP1","OK","negbinomial.size",0.0166421892330437,0.128116603255808,"JAKMIP1",32,TRUE
"RGMB","OK","negbinomial.size",0.016647295494018,0.128116603255808,"RGMB",20,FALSE
"PSMD14","OK","negbinomial.size",0.0166779563470721,0.128239344384613,"PSMD14",272,FALSE
"CHSY1","OK","negbinomial.size",0.0166882052860756,0.128239344384613,"CHSY1",32,FALSE
"DOPEY2","OK","negbinomial.size",0.0167001370995689,0.128239344384613,"DOPEY2",66,FALSE
"UBALD1","OK","negbinomial.size",0.0167371895600279,0.128240567767796,"UBALD1",94,FALSE
"BZRAP1-AS1","OK","negbinomial.size",0.0167277898821055,0.128240567767796,"BZRAP1-AS1",103,FALSE
"PSMG1","OK","negbinomial.size",0.0167174853134478,0.128240567767796,"PSMG1",130,FALSE
"ZNF639","OK","negbinomial.size",0.0167556940453809,0.12828808921089,"ZNF639",89,FALSE
"FAM200B","OK","negbinomial.size",0.0167732726787371,0.128328457442312,"FAM200B",262,FALSE
"ACADS","OK","negbinomial.size",0.0167920160244039,0.128377670896249,"ACADS",72,FALSE
"RAB30","OK","negbinomial.size",0.0168424638926521,0.12866902085903,"RAB30",30,FALSE
"PBDC1","OK","negbinomial.size",0.0169252625010577,0.129112390169005,"PBDC1",201,FALSE
"CDK10","OK","negbinomial.size",0.0169242754735245,0.129112390169005,"CDK10",109,FALSE
"COPRS","OK","negbinomial.size",0.016965945083833,0.129328125244306,"COPRS",72,FALSE
"STMN3","OK","negbinomial.size",0.0169855730283545,0.129383166939139,"STMN3",281,TRUE
"WIPF1","OK","negbinomial.size",0.0170092360573429,0.129468842048155,"WIPF1",549,FALSE
"FOLR2","OK","negbinomial.size",0.0170398137678526,0.129606986120472,"FOLR2",19,FALSE
"EIF4A1","OK","negbinomial.size",0.0170575114824404,0.129647033337382,"EIF4A1",1807,TRUE
"C10orf128","OK","negbinomial.size",0.0171763298394864,0.130435087410997,"C10orf128",58,FALSE
"MARCH2","OK","negbinomial.size",0.0171862111721049,0.130435087410997,"MARCH2",146,TRUE
"FOXP1","OK","negbinomial.size",0.0173025170260248,0.13112692408967,"FOXP1",438,TRUE
"DIP2A","OK","negbinomial.size",0.0173014281644852,0.13112692408967,"DIP2A",130,FALSE
"RP11-65I12.1","OK","negbinomial.size",0.0174045262244761,0.131327351279911,"RP11-65I12.1",36,FALSE
"ARHGEF9","OK","negbinomial.size",0.0174000893389224,0.131327351279911,"ARHGEF9",33,FALSE
"MICU3","OK","negbinomial.size",0.017359952324286,0.131327351279911,"MICU3",38,FALSE
"NTAN1","OK","negbinomial.size",0.017372897487517,0.131327351279911,"NTAN1",169,FALSE
"CYB5B","OK","negbinomial.size",0.0174015408118106,0.131327351279911,"CYB5B",253,TRUE
"STAT5A","OK","negbinomial.size",0.0173768583454642,0.131327351279911,"STAT5A",131,FALSE
"ACOT7","OK","negbinomial.size",0.0174312857922165,0.131434163587298,"ACOT7",23,FALSE
"PEX16","OK","negbinomial.size",0.0175449886600238,0.132195911666711,"PEX16",318,FALSE
"DENND1B","OK","negbinomial.size",0.0176991534546524,0.133192679399639,"DENND1B",61,FALSE
"PRPF6","OK","negbinomial.size",0.0177028244771672,0.133192679399639,"PRPF6",276,FALSE
"RDH11","OK","negbinomial.size",0.0177676708122459,0.133584189783778,"RDH11",201,FALSE
"SSBP2","OK","negbinomial.size",0.0180375876762762,0.135495003199286,"SSBP2",130,FALSE
"USP28","OK","negbinomial.size",0.0180478096896632,0.135495003199286,"USP28",64,FALSE
"TSPAN15","OK","negbinomial.size",0.0181635025370172,0.136091298308164,"TSPAN15",23,TRUE
"MRE11A","OK","negbinomial.size",0.0181663873460841,0.136091298308164,"MRE11A",53,FALSE
"PLCB2","OK","negbinomial.size",0.0181436422416468,0.136091298308164,"PLCB2",123,TRUE
"VWA8","OK","negbinomial.size",0.0182398295468119,0.136543390175272,"VWA8",24,FALSE
"DDOST","OK","negbinomial.size",0.0183101718892665,0.136918551454149,"DDOST",499,FALSE
"MCM7","OK","negbinomial.size",0.0183252485707703,0.136918551454149,"MCM7",80,FALSE
"XPO4","OK","negbinomial.size",0.018329334275987,0.136918551454149,"XPO4",55,FALSE
"ZC3H11A","OK","negbinomial.size",0.0183932383394634,0.137297558628435,"ZC3H11A",117,FALSE
"SH3KBP1","OK","negbinomial.size",0.0184518441373879,0.137636502621374,"SH3KBP1",431,FALSE
"CYP2R1","OK","negbinomial.size",0.0185413284208899,0.138205127071508,"CYP2R1",62,FALSE
"EBP","OK","negbinomial.size",0.018571422029265,0.138330563515125,"EBP",298,FALSE
"ARHGAP10","OK","negbinomial.size",0.0186156432327209,0.13836345518946,"ARHGAP10",34,FALSE
"BPGM","OK","negbinomial.size",0.0186026984869903,0.13836345518946,"BPGM",118,FALSE
"RAB30-AS1","OK","negbinomial.size",0.0186149189223937,0.13836345518946,"RAB30-AS1",71,FALSE
"RAPGEF2","OK","negbinomial.size",0.0187980615939677,0.139421185136483,"RAPGEF2",16,FALSE
