,cancer-uterus,cancer-skin,cancer-prostate,cancer-lung,cancer-liver,cancer-kidney,cancer-Head & Neck,cancer-Colon & Rectum,cancer-breast,cancer-bladder,cancer-blood,cancer-brain,cancer-pancreas,cvd-stroke-blood-1,cvd-stroke-blood-2,cvd-infarct-blood,cvd-heart-failure-blood,cvd-CAD-blood,cvd-CAD-plaque,ndd-parkinson-blood-1,ndd-parkinson-blood-2,ndd-MCI-blood,ndd-AD-brain,ndd-AD-blood,t2d-diabetes-islets-1,t2d-diabetes-liver,t2d-diabetes-islets-2,t2d-IR-adipose-tissue,aging-danio-brain,aging-danio-skin,aging-danio-liver,aging-notho-brain,aging-notho-skin,aging-notho-liver,aging-mouse-brain,aging-mouse-skin,aging-mouse-liver,aging-mouse-blood,aging-human-skin,aging-human-blood,aging-human-fibroblasts
DNA repair,0.335202903,0.086770043,0.127350709,0.513361927,0.337512372,0.1586935,0.400197954,0.468822171,0.334543055,0.446717255,-0.024744309,0.208841966,0.249422633,-0.139227978,-0.024084461,-0.240844606,0.000329924,-0.121741999,0.077532168,0.007588255,0.136588585,-0.014846585,0.021774992,-0.034971956,0.004124051,-0.080171561,-0.053447707,0.172880238,0.227977565,0.120752227,0.049818542,-0.354668426,-0.325635104,-0.435169911,0.092048829,-0.281095348,0.013196965,-0.17947872,-0.232926427,0.035301881,-0.564830089
regulation of response to external stimulus,-0.233916199,-0.062025734,-0.176014517,-0.408446057,0.018805675,0.218244804,0.064830089,-0.295612009,-0.37743319,-0.09056417,-0.011052458,-0.105410756,0.25321676,0.24678324,0.358792478,0.087099967,-0.149125701,0.211151435,0.237545365,-0.03282745,-0.153744639,0.163972286,0.25717585,0.164467173,0.150280435,0.183272847,0.231771693,0.079181788,0.104750907,0.182942923,0.047344111,0.263939294,0.207357308,0.454965358,0.219729462,0.388815572,0.142197295,0.289178489,0.031177829,0.186407126,0.2147806
regulation of defense response,-0.178159023,0.026064005,-0.122731772,-0.251402177,-0.234905972,0.299241175,0.091388981,-0.124381392,-0.071263609,-0.125701089,-0.191355988,0.083140878,0.184757506,0.443418014,0.254701419,0.139557902,-0.130979875,0.304190036,0.467502474,0.120752227,0.000989772,0.13460904,0.210491587,0.224018476,0.127350709,0.093368525,0.155394259,0.128010558,0.233916199,0.115473441,0.027713626,0.410095678,0.322665787,0.443418014,0.327614649,0.404157044,0.312108215,0.1586935,0.134938964,0.215440449,0.252721874
regulation of organelle organization,-0.073573078,0.256021115,-0.056746948,0.042890135,0.131309799,0.145166612,0.170900693,0.107885186,0.019795447,0.000989772,0.046189376,-0.027053778,0.160343121,0.201583636,0.02243484,0.097987463,0.073903002,-0.011547344,0.058396569,-0.041240515,0.140877598,0.141537446,0.14582646,0.165951831,0.026723854,0.092048829,-0.030023095,-0.005278786,-0.08413065,0.214120752,0.146486308,-0.220059386,-0.107555262,-0.014186737,-0.03926097,0.001649621,0.184097658,0.019135599,-0.19069614,0.030353019,-0.092378753
locomotion,-0.254371495,-0.119432531,-0.158363576,-0.225668096,0.027383702,0.063675355,0.248762785,-0.132959419,-0.107555262,-0.058726493,0.010557572,0.091059056,0.222038931,0.374463873,0.30287034,0.200923788,-0.121082151,0.206202573,0.252721874,-0.039920818,0.227317717,0.107225338,0.232596503,0.127350709,0.124051468,0.030353019,0.125371165,-0.070603761,-0.210821511,0.222038931,0.164632135,0.086110195,0.082481029,0.262619597,-0.025734081,0.172220389,0.17551963,0.463213461,-0.025734081,0.036291653,0.137248433
inflammatory response,-0.379742659,-0.092378753,-0.413064995,-0.532167601,-0.48399868,0.454635434,0.248762785,-0.326294952,-0.19630485,-0.528208512,-0.29165292,0.511382382,0.055097328,0.592873639,0.063675355,0.490597163,-0.047179149,0.406136589,0.648960739,0.287033982,0.354008578,0.380732432,0.470141867,0.536456615,0.389805345,0.153414715,0.209501815,0.243154075,0.479379743,0.218079842,0.545364566,0.431540746,0.623226658,0.544704718,0.535796767,0.652589904,0.548993731,0.586275157,-0.029033322,0.333883207,0.189046519
mitotic cell cycle phase transition,0.386836028,0.219234576,0.000659848,0.448366876,0.224183438,0.410095678,0.421313098,0.351204223,0.391619927,0.363741339,-0.193170571,0.220059386,0.435334873,0.088089739,-0.046849225,-0.176179479,-0.083470802,0.021445068,0.15061036,0.041405477,-0.108050148,0.02886836,-0.131309799,-0.106895414,0.026558891,0.01121742,0.140547674,0.033487298,-0.036126691,0.047014187,-0.163807324,-0.507918179,-0.177334213,-0.574727813,-0.103101287,-0.478225008,-0.123721544,-0.129165292,0.070603761,-0.01682613,-0.517321016
establishment of protein localization,-0.046189376,0.042065325,0.149455625,0.001649621,0.065489937,0.124381392,0.01682613,-0.055757176,0.075387661,-0.086770043,-0.104420983,0.016496206,0.110029693,0.149455625,0.002474431,0.028208512,-0.127680633,0.100296932,0.060376113,0.001649621,0.043549984,-0.055097328,-0.021774992,0.06169581,0.056994391,-0.061035962,0.080171561,0.064830089,-0.010062686,-0.079841636,-0.035961729,0.11860772,0.088419663,0.098482349,0.163972286,0.014186737,0.003299241,0.048828769,0.136093698,-0.059221379,0.157703728
positive regulation of immune response,-0.148795777,0.081821181,-0.025404157,-0.226327945,-0.204717915,0.360772022,0.18591224,-0.126031013,-0.066644672,-0.209501815,-0.168426262,0.248597823,0.133619268,0.442428242,0.234576048,0.20917189,-0.155724183,0.214120752,0.452820851,0.083965688,0.242329264,0.15786869,0.310293632,0.304354998,0.323655559,0.126855823,0.115143517,0.210161663,0.140547674,0.263774332,0.063840317,0.304354998,0.346420323,0.434675025,0.348234906,0.271197625,0.448201914,0.276971297,-0.092708677,0.177004289,0.252556912
positive regulation of macromolecule biosynthetic process,-0.104915869,0.038931046,-0.048168921,-0.031342791,-0.005938634,0.057076872,-0.003959089,0.055097328,-0.01682613,-0.069284065,0.16265259,0.039590894,0.015176509,0.191685912,0.205872649,-0.056746948,0.036291653,0.141867371,-0.029033322,0.183437809,0.047509073,0.131309799,0.17551963,0.053777631,0.087924777,0.127350709,0.056417024,0.000329924,0.094028373,0.029363246,0.111844276,0.031672715,0.074892775,0.213790828,0.129990102,-0.018145826,0.186077202,-0.012867041,-0.091718905,-0.013526889,-0.040580666
positive regulation of nitrogen compound metabolic process,-0.105245793,0.012207192,-0.065324975,-0.043879908,-0.01600132,0.068624216,-0.004948862,0.03282745,-0.03365226,-0.092378753,0.145496536,0.029363246,0.012372154,0.221049159,0.262289673,-0.035301881,0.069284065,0.162322666,-0.014516661,0.163807324,0.083470802,0.146981194,0.148465853,0.111019466,0.085945233,0.12900033,0.032992412,0.051468162,0.098482349,0.080006598,0.134114154,0.027878588,0.052457935,0.21395579,0.141702408,-0.016166282,0.196964698,-0.012207192,-0.074067964,0.020455295,-0.058891455
immune effector process,-0.148135929,0.218079842,0.160343121,-0.203233256,-0.042560211,0.259320356,0.395579017,-0.143516991,0.055757176,0.127350709,-0.182118113,0.083140878,0.056417024,0.469482019,-0.110854503,0.030353019,-0.202243484,0.361596833,0.435499835,0.029693171,0.193335533,0.233916199,0.256680963,0.309468822,0.372154404,0.009897724,0.312768063,0.10656549,0.248762785,0.365225998,0.055097328,0.229297262,0.276806335,0.275816562,0.467502474,0.236225668,0.312108215,0.357967667,0.051468162,0.075882547,0.056417024
positive regulation of transferase activity,-0.079511712,0.112834048,-0.064005279,-0.041900363,0.036621577,0.1682613,0.27482679,0.131309799,0.064995051,-0.077202243,-0.125041241,0.180138568,0.243154075,0.318706697,0.013196965,0.164632135,-0.096997691,0.238865061,0.091388981,-0.077862092,0.133619268,0.037281425,0.025404157,0.030353019,0.113988783,0.133619268,0.223028703,0.073243154,-0.082810953,0.154734411,0.258660508,-0.044539756,0.082481029,0.166611679,0.013856813,0.015176509,-0.093698449,0.191685912,0.035301881,0.084460574,0.070933685
positive regulation of intracellular signal transduction,-0.34938964,-0.03282745,-0.212966018,-0.269548004,-0.174199934,0.214285714,0.156878918,-0.233751237,-0.228967338,-0.211976245,-0.042065325,0.205212801,0.067799406,0.462883537,0.340151765,0.25717585,0.030023095,0.251402177,0.132794457,-0.065489937,0.101451666,0.199274167,0.167931376,0.278290993,0.173540086,0.277796107,0.120092379,0.070933685,0.003959089,0.266743649,0.2291323,0.339656879,0.232101617,0.472286374,0.318046849,0.406961399,0.384196635,0.206367535,-0.022104916,0.076707357,0.245133619
positive regulation of RNA metabolic process,-0.104915869,0.012537116,-0.110194655,-0.057406796,-0.025734081,0.035301881,-0.016166282,0.055097328,-0.042560211,-0.093038601,0.148465853,0.038931046,0.028373474,0.200263939,0.258660508,-0.073573078,0.076212471,0.124051468,-0.014186737,0.185417354,0.068954141,0.155394259,0.19795447,0.068954141,0.029693171,0.094358298,0.04486968,0.050808314,0.126690861,0.070933685,0.042230287,0.021115144,0.047509073,0.2147806,0.158033652,-0.043549984,0.178488948,-0.035961729,-0.091718905,-0.012867041,-0.068624216
max,0.386836028,0.256021115,0.160343121,0.513361927,0.337512372,0.454635434,0.421313098,0.468822171,0.391619927,0.446717255,0.191026064,0.511382382,0.435334873,0.592873639,0.358792478,0.490597163,0.076212471,0.406136589,0.648960739,0.287033982,0.354008578,0.380732432,0.470141867,0.536456615,0.389805345,0.277796107,0.312768063,0.243154075,0.479379743,0.365225998,0.545364566,0.431540746,0.623226658,0.544704718,0.535796767,0.652589904,0.548993731,0.586275157,0.136093698,0.333883207,0.252721874
min,-0.379742659,-0.119432531,-0.413064995,-0.532167601,-0.48399868,0.014846585,-0.016166282,-0.326294952,-0.37743319,-0.528208512,-0.29165292,-0.105410756,0.012372154,-0.139227978,-0.110854503,-0.240844606,-0.282415045,-0.121741999,-0.029033322,-0.077862092,-0.153744639,-0.077532168,-0.131309799,-0.106895414,-0.094688222,-0.080171561,-0.092048829,-0.070603761,-0.210821511,-0.123721544,-0.163807324,-0.507918179,-0.378093039,-0.574727813,-0.103101287,-0.478225008,-0.123721544,-0.186407126,-0.232926427,-0.059221379,-0.564830089
