"list1","list2"
"Module_22","Eaf1,Klhdc10,Klhdc2,Mllt1,Nrros,Tceb1,Tceb3"
"Module_23","Bzw1,Eif2b1,Eif2b3,Eif2b4,Eif2b5,Eif2s1,Eif2s2"
"Module_24","Ak4,Entpd4,Entpd6,Nme1,Nme2,Rrm1,Rrm2"
"Module_25","Ctps1,Polr1c,Polr1d,Polr3d,Polr3h,Slc7a6os,Ssb"
"Module_26","Gart,Mthfd1,Mthfd2,Pyroxd1,Shmt1,Shmt2,Umps"
"Module_27","Ankle2,Cry1,Cry2,Csnk1d,Csnk1e,Rgs1,Ssna1"
"Module_28","Dcaf4,Ddx10,Ddx18,Ddx27,Ddx49,Ddx54,Ddx56"
"Module_29","Gars,Ncl,Pabpc1,Pabpc4,Rbm46,Rtn3,Syncrip"
"Module_30","Mettl23,Otud6b,Rnf145,Rnft1,Ubxn2a,Vcpkmt,Yod1"
"Module_31","Bysl,Ltv1,Nob1,Riok1,Riok3,Tsr1"
"Module_32","Gm16286,Gnb2l1,Naa10,Naa15,Naa16,Naa25"
"Module_33","Cct3,Cct6b,Cct7,Hspe1,Mat2a,Tcp1"
"Module_34","Atp5g1,Atp6ap1,Atp6ap2,Ccdc115,Ppa1,Tmem199"
"Module_35","Farp2,Nrp1,Plxna1,Plxnd1,Sema4b,Sema7a"
"Module_36","Dot1l,Phf6,Smyd2,Smyd3,Smyd5,Whsc1"
"Module_37","Aimp2,Iars,Lars,Rpl5,Yars2"
"Module_38","D2Wsu81e,Gpatch4,Nolc1,Pinx1,Trub2"
"Module_39","Dnajc16,Dnajc2,Dnajc21,Dnajc25,Npm1"
"Module_40","Mad2l2,Pcna,Trim25,Usp19,Usp33"
"Module_41","Dnmt3a,Dnmt3b,H2afy,H2afy2,Uhrf1"
"Module_42","Cdca7,Fgf13,Notch1,Notch2,Rbpj"
"Module_43","Lin7a,Mpp6,Mpp7,Pard6b,Prkci"
"Module_44","Cd28,Il12rb1,Irf4,Nfat5,Swap70"
"Module_45","H1f0,Hist1h1a,Hist1h1b,Hist1h1c,Hist1h1e"
"Module_46","Bccip,Cdk4,Cdk6,Foxk2,Pitpnb"
"Module_47","4833403I15Rik,Bag2,Cct8,Enpep"
"Module_48","Aasdhppt,Acaca,Acly,Fasn"
"Module_49","Fau,Otud7b,Tnip2,Usp40"
"Module_50","Alkbh8,Gm17296,Rnmtl1,Trmt2a"
"Module_51","Ddx3x,Eif4a1,Eif4a2,Zfp36l2"
"Module_52","Hells,Nudt10,Nudt4,Polr3b"
"Module_53","Cars,Eef1b,Eef1e1,Pelo"
"Module_54","Eef1g,Ipo5,Nfx1,Ranbp6"
"Module_55","Grpel1,Grpel2,Pam16,Timm50"
"Module_56","Eea1,Kpna2,Ranbp1,Xpot"
"Module_57","Col4a3,Colgalt1,P4ha1,Plod3"
"Module_58","Grsf1,Kif20b,Use1,Zw10"
"Module_59","Crabp1,Crabp2,Rdh11,Tdg"
"Module_60","Ctu2,Hmgcs1,Scap,Srebf2"
"Module_61","Cyp20a1,Hsd17b7,Msmo1,Sqle"
"Module_62","Elp2,Elp5,Ikbkap,Kti12"
"Module_63","Drg1,Rwdd1,Rwdd4,Zc3h15"
"Module_64","Lsg1,Noa1,Rpl24,Thada"
"Module_65","Eif4b,Larp7,Rbm34,Slbp"
"Module_66","Carm1,Gstcd,Prmt3,Prmt7"
"Module_67","LRWD1,Pole,Pole4,Prim1"
"Module_68","Papd4,Zcchc2,Zcchc7,Zcchc9"
"Module_69","Asns,Cad,Gfpt2,Ppat"
"Module_70","Batf,Fosl1,Jund,Paics"
"Module_71","A630001G21Rik,Cdc27,Trim27"
"Module_72","Aars,Anapc10,Tpst1"
"Module_73","Abcb6,Ciapin1,Nubp1"
"Module_74","Grap,Lcp2,Ptpn22"
"Module_75","Adam10,Adam17,Slc2a1"
"Module_76","Pa2g4,Sdcbp,Vat1"
"Module_77","Acsl4,Agpat5,Dgkd"
"Module_78","Chtop,Fyttd1,Upf3b"
"Module_79","Lats1,Lats2,Wwp2"
"Module_80","Chek1,Rad51d,Sfr1"
"Module_81","Itpkc,Pip5k1a,Plch1"
"Module_82","Cd27,Gzmb,Il2"
"Module_83","Gng12,Gpr68,Rasgrf1"
"Module_84","Rgp1,Smcr8,Vps54"
"Module_85","Snx3,Usp10,Usp42"
"Module_86","Atad3,Fabp5,H2-T23"
"Module_87","Nemf,Spata5,Tcf25"
"Module_88","Arl6,Rab11fip3,Rab11fip4"
"Module_89","Atp12a,Atp1a1,Atp1b3"
"Module_90","Bsg,Slc3a2,Slc7a5"
"Module_91","Hmga1,Pros1,Tgfb1"
"Module_92","Bach2,Mafg,Mafk"
"Module_93","Timm10b,Timm17a,Timm8b"
"Module_94","Nudc,Rangap1,Zwint"
"Module_95","Larp1,Telo2,Tti1"
"Module_96","Ing2,Jade3,Mllt10"
"Module_97","E2f4,Tbr1,Tfdp1"
"Module_98","Dhdds,Fdft1,Fdps"
"Module_99","Nufip1,Znhit3,Znhit6"
"Module_100","Fxr1,Fxr2,Stau1"
"Module_101","Cox10,Cox15,Nmes1"
"Module_102","Dohh,Eif5a,Slmo2"
"Module_103","Med1,Med19,Med9"
"Module_104","Nop2,Nsun2,Nsun5"
"Module_105","Mcph1,Rnf11,Rnf181"
"Module_106","Hgh1,Hk2,Trap1"
"Module_107","Kdm5b,Kdm5c,Kdm5d"
"Module_108","Pdia6,Shq1,Txndc9"
"Module_109","Rfwd2,Tbl2,Wdr77"
"Module_110","Dph2,Fam86a,Nle1"
"Module_111","Dst,Itga5,Itgb1"
"Module_112","Nptn,Slc16a1,Slc16a10"
"Module_113","Aamp,Pmfbp1"
"Module_114","Glmn,Trpc4ap"
"Module_115","Cblb,Spry1"
"Module_116","Hdlbp,Vimp"
"Module_117","Baiap2,Wasl"
"Module_118","Il2rg,Jak2"
"Module_119","Il2ra,Tfap4"
"Module_120","Cd69,Relb"
"Module_121","Pdf,Rpl17"
"Module_122","Upf1,Wibg"
"Module_123","Etf1,Zdhhc5"
"Module_124","Cdc123,Eif2s3x"
"Module_125","Eif3b,Trmt6"
"Module_126","Cdr2,Ktn1"
"Module_127","Abce1,G3bp2"
"Module_128","Gltscr2,Nifk"
"Module_129","Adss,Impdh2"
"Module_130","Alcam,Cd6"
"Module_131","Alpl,Minpp1"
"Module_132","Naa50,Tex30"
"Module_133","Cct2,Gpn1"
"Module_134","Apopt1,Appbp2"
"Module_135","Ift20,Ift27"
"Module_136","Faap100,Usp1"
"Module_137","Ecd,Rpap3"
"Module_138","Lonp2,Pecr"
"Module_139","Tomm40,Yme1l1"
"Module_140","Nol9,Senp6"
"Module_141","Mterf3,Sqstm1"
"Module_142","Smarcad1,Topbp1"
"Module_143","Cks1b,Cks2"
"Module_144","Gde1,Xpr1"
"Module_145","Icam1,Kcnn4"
"Module_146","Eomes,Nfil3"
"Module_147","Id1,Id3"
"Module_148","Caprin1,G3bp1"
"Module_149","Arhgap44,Bst2"
"Module_150","Asf1b,Ubn2"
"Module_151","Atg16l2,Gabarapl2"
"Module_152","Hook1,Hook2"
"Module_153","Slc35f2,Tgfbr1"
"Module_154","B4galt5,Cd82"
"Module_155","Bcat1,Mfsd2a"
"Module_156","Blzf1,Gorasp1"
"Module_157","Btf3,Naca"
"Module_158","Mul1,Tomm70a"
"Module_159","Dync1li2,Nudcd3"
"Module_160","Erlin1,Os9"
"Module_161","Ormdl2,Ormdl3"
"Module_162","Elovl1,Hsd17b12"
"Module_163","Cyp51a1,Dhcr24"
"Module_164","Hmgcr,Ubiad1"
"Module_165","Ctnna1,Ctnna2"
"Module_166","Gigyf2,Tnrc6a"
"Module_167","Serbp1,Snd1"
"Module_168","Dctd,Dctpp1"
"Module_169","Uevld,Vps37a"
"Module_170","Lag3,Tbx21"
"Module_171","Lman1,Trappc6a"
"Module_172","Hmg20b,Polrmt"
"Module_173","Slc38a1,Slc38a2"
"Module_174","Rabggta,Rabggtb"
"Module_175","Ipo4,Ttc27"
"Module_176","Pwp1,Tyw1"
"Module_177","Pomp,Psmg1"
"Module_178","Pfdn5,Pfdn6"
"Module_179","Map2k3,Mapkapk5"
"Module_180","Chaf1a,Chaf1b"
"Module_181","Chka,Etnk1"
"Module_182","Cnnm4,Cox11"
"Module_183","Cox19,Sco2"
"Module_184","Igtp,Iigp1"
"Module_185","Impad1,Isyna1"
"Module_186","Marcks,Marcksl1"
"Module_187","Ncln,Nomo1"
"Module_188","Nudt5,Nudt9"
"Module_189","Pisd,Pla2g6"
"Module_190","Slc39a10,Slc39a6"
"Module_191","Txlna,Txlng"
"Module_192","Abcf1,Nufip2"
"Module_193","Katna1,Katnal1"
"Module_194","Alas1,Sptlc1"
"Module_195","Hdac7,Sap30"
"Module_196","Mbd3,Mecp2"
"Module_197","Kdm4a,Kdm4c"
"Module_198","Atad1,Nvl"
"Module_199","Hspd1,Prnp"
"Module_200","Hemk1,Lss"
"Module_201","Amd2,Srm"
"Module_202","Atxn7l3,Chd1"
"Module_203","Nadk,Txnrd1"
"Module_204","Mapre2,Rab8b"
"Module_205","Dhps,Fpgs"
"Module_206","Btaf1,Eif2ak1"
"Module_207","Ksr1,Pin1"
"Module_208","Dusp11,Lsm12"
