nodeName	altName	nodeAttr[nodesPresent, ]
Nufip1	NA	99
Nufip2	NA	192
Nvl	NA	198
Odc1	NA	9
Orc3	NA	11
Orc4	NA	11
Ormdl2	NA	161
Ormdl3	NA	161
Os9	NA	160
Otud6b	NA	30
Otud7b	NA	49
P4ha1	NA	57
Pa2g4	NA	76
Pabpc1	NA	29
Pabpc4	NA	29
Paics	NA	70
Paip2b	NA	14
Pam16	NA	55
Papd4	NA	68
Papolg	NA	16
Pard6b	NA	43
Pcna	NA	40
Pdap1	NA	8
Pdcd1	NA	19
Pdcd11	NA	2
Pdf	NA	121
Pdia6	NA	108
Pecr	NA	138
Pelo	NA	53
Pfdn5	NA	178
Pfdn6	NA	178
Phf6	NA	36
Pin1	NA	207
Pinx1	NA	38
Pip5k1a	NA	81
Pisd	NA	189
Pitpnb	NA	46
Pla2g6	NA	189
Plagl2	NA	15
Plch1	NA	81
Plod3	NA	57
Plxna1	NA	35
Plxnd1	NA	35
Pmfbp1	NA	113
Pno1	NA	2
Pole	NA	67
Pole4	NA	67
Polr1a	NA	10
Polr1b	NA	10
Polr1c	NA	25
Polr1d	NA	25
Polr1e	NA	10
Polr3b	NA	52
Polr3d	NA	25
Polr3h	NA	25
Polrmt	NA	172
Pomp	NA	177
Pop1	NA	2
Pou2f2	NA	18
Ppa1	NA	34
Ppan	NA	5
Ppat	NA	69
Ppid	NA	8
Prim1	NA	67
Prkci	NA	43
Prmt3	NA	66
Prmt7	NA	66
Prnp	NA	199
Pros1	NA	91
Prpf3	NA	16
Psmb5	NA	9
Psmb6	NA	9
Psmb7	NA	9
Psmc2	NA	9
Psmc5	NA	9
Psmd4	NA	9
Psme3	NA	9
Psmg1	NA	177
Ptcd1	NA	13
Ptpn22	NA	74
Pum1	NA	14
Pus7	NA	2
Pwp1	NA	176
Pwp2	NA	2
Pyroxd1	NA	26
Qars	NA	1
Rab11fip3	NA	88
Rab11fip4	NA	88
Rab8b	NA	204
Rabggta	NA	174
Rabggtb	NA	174
Rad51d	NA	80
Ranbp1	NA	56
Ranbp6	NA	54
Rangap1	NA	94
Rasgrf1	NA	83
Rbm19	NA	2
Rbm28	NA	5
Rbm34	NA	65
Rbm46	NA	29
Rbpj	NA	42
Rcl1	NA	2
Rdh11	NA	59
Relb	NA	120
Rexo4	NA	1
Rfwd2	NA	109
Rgp1	NA	84
Rgs1	NA	27
Riok1	NA	31
Riok3	NA	31
Rlim	NA	4
Rnf11	NA	105
Rnf115	NA	4
Rnf126	NA	4
Rnf145	NA	30
Rnf181	NA	105
Rnf25	NA	4
Rnft1	NA	30
Rnmtl1	NA	50
Rpap3	NA	137
Rpl13	NA	1
Rpl14	NA	1
Rpl17	NA	121
Rpl19	NA	1
Rpl21	NA	1
Rpl22	NA	1
Rpl22l1	NA	1
Rpl23	NA	1
Rpl23a	NA	1
Rpl24	NA	64
Rpl26	NA	1
Rpl27	NA	1
Rpl27a	NA	3
Rpl28	NA	1
Rpl3	NA	3
Rpl30	NA	1
Rpl31	NA	1
Rpl32	NA	1
Rpl34	NA	1
Rpl35	NA	1
Rpl35a	NA	1
Rpl36	NA	1
Rpl36a	NA	1
Rpl37	NA	1
Rpl37a	NA	1
Rpl38	NA	1
Rpl39	NA	1
Rpl3l	NA	3
Rpl4	NA	1
Rpl5	NA	37
Rpl6	NA	1
Rpl7	NA	1
Rpl7a	NA	1
Rpl8	NA	1
Rplp0	NA	1
Rplp2	NA	1
Rps10	NA	1
Rps14	NA	1
Rps15	NA	1
Rps17	NA	1
Rps18	NA	1
Rps19	NA	6
Rps19bp1	NA	7
Rps2	NA	3
Rps20	NA	3
