probe_id gsym biotype
ASHG19A3A000384 LINC00635 lincRNA
ASHG19A3A007286 LINC00635 lincRNA
ASHG19A3A021375 LINC00635 lincRNA
ASHG19A3A055289 LINC00635 lincRNA
ASHG19A3A011299 LINC00662 lincRNA
ASHG19A3A011300 LINC00662 lincRNA
ASHG19A3A011301 LINC00662 lincRNA
ASHG19A3A055152 LINC00662 lincRNA
ASHG19A3A036909 LINC00964 lincRNA
ASHG19A3A036910 LINC00964 lincRNA
ASHG19A3A055243 LINC00964 lincRNA
ASHG19A3L0001996 LINC00964 lincRNA
ASHG19A3A046680 LINC00982 antisense
ASHG19A3A046691 LINC00982 antisense
ASHG19A3A046755 LINC00982 antisense
ASHG19A3A055058 LINC00982 antisense
ASHG19A3A007530 LINC01138 lincRNA
ASHG19A3A050879 LINC01138 lincRNA
ASHG19A3A050902 LINC01138 lincRNA
ASHG19A3A050979 LINC01138 lincRNA
ASHG19A3A051497 LINC01138 lincRNA
ASHG19A3A007453 LINC01140 lincRNA
ASHG19A3A007454 LINC01140 lincRNA
ASHG19A3A025459 LINC01140 lincRNA
ASHG19A3A025469 LINC01140 lincRNA
ASHG19A3A039081 LINC01505 lincRNA
ASHG19A3A039082 LINC01505 lincRNA
ASHG19A3A039083 LINC01505 lincRNA
ASHG19A3A055251 LINC01505 lincRNA
CUST_264_PI426073487 LINC01505 lincRNA
ASHG19A3A050756 LINC01588 lincRNA
ASHG19A3A050757 LINC01588 lincRNA
ASHG19A3A050758 LINC01588 lincRNA
ASHG19A3A050759 LINC01588 lincRNA
ASHG19A3A050760 LINC01588 lincRNA
ASHG19A3A009655 LINC02086 lincRNA
ASHG19A3H0000069 LINC02086 lincRNA
ASHG19A3H0000070 LINC02086 lincRNA
CUST_69_PI426075208 LINC02086 lincRNA
CUST_70_PI426075208 LINC02086 lincRNA
ASHG19A3A028729 LINC02240 lincRNA
ASHG19A3A028730 LINC02240 lincRNA
ASHG19A3A028732 LINC02240 lincRNA
ASHG19A3A028737 LINC02240 lincRNA
ASHG19A3A007797 LINC02532 lincRNA
ASHG19A3A030337 LINC02532 lincRNA
ASHG19A3A030338 LINC02532 lincRNA
ASHG19A3A030339 LINC02532 lincRNA
ASHG19A3A000293 LMCD1-AS1 antisense
ASHG19A3A020671 LMCD1-AS1 antisense
ASHG19A3A020672 LMCD1-AS1 antisense
ASHG19A3A055185 LMCD1-AS1 antisense
ASHG19A3A007483 LRRC75A-AS1 antisense
ASHG19A3A007484 LRRC75A-AS1 antisense
ASHG19A3A007485 LRRC75A-AS1 antisense
ASHG19A3A007486 LRRC75A-AS1 antisense
ASHG19A3A007487 LRRC75A-AS1 antisense
ASHG19A3A007488 LRRC75A-AS1 antisense
ASHG19A3A009168 LRRC75A-AS1 antisense
ASHG19A3A009169 LRRC75A-AS1 lincRNA
ASHG19A3A045357 MALAT1 lincRNA
ASHG19A3A046594 MALAT1 lincRNA
ASHG19A3A046595 MALAT1 lincRNA
ASHG19A3A055099 MALAT1 lincRNA
