SYMBOL,ENTREZID,gene_id,gene_type
CLEC4G,339390,ENSG00000182566,protein_coding
CLEC4M,10332,ENSG00000104938,protein_coding
CLEC5A,23601,ENSG00000258227,protein_coding
CLEC6A,93978,ENSG00000205846,protein_coding
CLEC7A,64581,ENSG00000172243,protein_coding
CLEC9A,283420,ENSG00000197992,protein_coding
CLECL1,160365,ENSG00000184293,protein_coding
CLGN,1047,ENSG00000153132,protein_coding
CLHC1,130162,ENSG00000162994,protein_coding
CLIC1,1192,ENSG00000213719,protein_coding
CLIC2,1193,ENSG00000155962,protein_coding
CLIC3,9022,ENSG00000169583,protein_coding
CLIC4,25932,ENSG00000169504,protein_coding
CLIC5,53405,ENSG00000112782,protein_coding
CLIC6,54102,ENSG00000159212,protein_coding
CLINT1,9685,ENSG00000113282,protein_coding
CLIP1,6249,ENSG00000130779,protein_coding
CLIP2,7461,ENSG00000106665,protein_coding
CLIP3,25999,ENSG00000105270,protein_coding
CLIP4,79745,ENSG00000115295,protein_coding
CLK1,1195,ENSG00000013441,protein_coding
CLK2,1196,ENSG00000176444,protein_coding
CLK3,1198,ENSG00000179335,protein_coding
CLK4,57396,ENSG00000113240,protein_coding
CLLU1,574028,ENSG00000257127,protein_coding
CLLU1OS,574016,ENSG00000205057,protein_coding
CLMN,79789,ENSG00000165959,protein_coding
CLMP,79827,ENSG00000166250,protein_coding
CLN3,1201,ENSG00000188603,protein_coding
CLN3,1201,ENSG00000261832,protein_coding
CLN5,1203,ENSG00000102805,protein_coding
CLN6,54982,ENSG00000128973,protein_coding
CLN8,2055,ENSG00000182372,protein_coding
CLNK,116449,ENSG00000109684,protein_coding
CLNS1A,1207,ENSG00000074201,protein_coding
CLOCK,9575,ENSG00000134852,protein_coding
CLP1,10978,ENSG00000172409,protein_coding
CLPB,81570,ENSG00000162129,protein_coding
CLPP,8192,ENSG00000125656,protein_coding
CLPS,1208,ENSG00000137392,protein_coding
CLPSL1,340204,ENSG00000204140,protein_coding
CLPSL2,389383,ENSG00000196748,protein_coding
CLPTM1,1209,ENSG00000104853,protein_coding
CLPTM1L,81037,ENSG00000049656,protein_coding
CLPX,10845,ENSG00000166855,protein_coding
CLRN1,7401,ENSG00000163646,protein_coding
CLRN2,645104,ENSG00000249581,protein_coding
CLRN3,119467,ENSG00000180745,protein_coding
CLSPN,63967,ENSG00000092853,protein_coding
CLSTN1,22883,ENSG00000171603,protein_coding
CLSTN2,64084,ENSG00000158258,protein_coding
CLSTN3,9746,ENSG00000139182,protein_coding
CLTA,1211,ENSG00000122705,protein_coding
CLTB,1212,ENSG00000175416,protein_coding
CLTC,1213,ENSG00000141367,protein_coding
CLTCL1,8218,ENSG00000070371,protein_coding
CLU,1191,ENSG00000120885,protein_coding
CLUAP1,23059,ENSG00000103351,protein_coding
CLUH,23277,ENSG00000132361,protein_coding
CLUL1,27098,ENSG00000079101,protein_coding
CLVS1,157807,ENSG00000177182,protein_coding
CLVS2,134829,ENSG00000146352,protein_coding
CLYBL,171425,ENSG00000125246,protein_coding
CMA1,1215,ENSG00000092009,protein_coding
CMAS,55907,ENSG00000111726,protein_coding
CMBL,134147,ENSG00000164237,protein_coding
CMC1,152100,ENSG00000187118,protein_coding
CMC2,56942,ENSG00000103121,protein_coding
CMC4,100272147,ENSG00000182712,protein_coding
CMIP,80790,ENSG00000153815,protein_coding
CMKLR1,1240,ENSG00000174600,protein_coding
CMPK1,51727,ENSG00000162368,protein_coding
CMPK2,129607,ENSG00000134326,protein_coding
CMSS1,84319,ENSG00000184220,protein_coding
CMTM1,113540,ENSG00000089505,protein_coding
CMTM2,146225,ENSG00000140932,protein_coding
CMTM3,123920,ENSG00000140931,protein_coding
CMTM4,146223,ENSG00000183723,protein_coding
CMTM5,116173,ENSG00000166091,protein_coding
CMTM6,54918,ENSG00000091317,protein_coding
CMTM7,112616,ENSG00000153551,protein_coding
CMTM8,152189,ENSG00000170293,protein_coding
CMTR1,23070,ENSG00000137200,protein_coding
CMTR2,55783,ENSG00000180917,protein_coding
CMYA5,202333,ENSG00000164309,protein_coding
CNBD1,168975,ENSG00000176571,protein_coding
CNBD2,140894,ENSG00000149646,protein_coding
CNBP,7555,ENSG00000169714,protein_coding
CNDP1,84735,ENSG00000150656,protein_coding
CNDP2,55748,ENSG00000133313,protein_coding
CNEP1R1,255919,ENSG00000205423,protein_coding
CNFN,84518,ENSG00000105427,protein_coding
CNGA1,1259,ENSG00000198515,protein_coding
CNGA2,1260,ENSG00000183862,protein_coding
CNGA3,1261,ENSG00000144191,protein_coding
CNGA4,1262,ENSG00000132259,protein_coding
CNGB1,1258,ENSG00000070729,protein_coding
CNGB3,54714,ENSG00000170289,protein_coding
CNIH1,10175,ENSG00000100528,protein_coding
CNIH2,254263,ENSG00000174871,protein_coding
CNIH3,149111,ENSG00000143786,protein_coding
CNIH4,29097,ENSG00000143771,protein_coding
CNKSR1,10256,ENSG00000142675,protein_coding
CNKSR2,22866,ENSG00000149970,protein_coding
CNKSR3,154043,ENSG00000153721,protein_coding
CNN1,1264,ENSG00000130176,protein_coding
CNN2,1265,ENSG00000064666,protein_coding
CNN3,1266,ENSG00000117519,protein_coding
CNNM1,26507,ENSG00000119946,protein_coding
CNNM2,54805,ENSG00000148842,protein_coding
CNNM3,26505,ENSG00000168763,protein_coding
CNNM4,26504,ENSG00000158158,protein_coding
CNOT1,23019,ENSG00000125107,protein_coding
CNOT10,25904,ENSG00000182973,protein_coding
CNOT11,55571,ENSG00000158435,protein_coding
CNOT2,4848,ENSG00000111596,protein_coding
CNOT3,4849,ENSG00000088038,protein_coding
CNOT4,4850,ENSG00000080802,protein_coding
CNOT6,57472,ENSG00000113300,protein_coding
CNOT6L,246175,ENSG00000138767,protein_coding
CNOT7,29883,ENSG00000198791,protein_coding
CNOT8,9337,ENSG00000155508,protein_coding
CNP,1267,ENSG00000173786,protein_coding
CNPPD1,27013,ENSG00000115649,protein_coding
CNPY1,285888,ENSG00000146910,protein_coding
CNPY2,10330,ENSG00000257727,protein_coding
CNPY3,10695,ENSG00000137161,protein_coding
CNPY4,245812,ENSG00000166997,protein_coding
CNR1,1268,ENSG00000118432,protein_coding
CNR2,1269,ENSG00000188822,protein_coding
CNRIP1,25927,ENSG00000119865,protein_coding
CNST,163882,ENSG00000162852,protein_coding
CNTD1,124817,ENSG00000176563,protein_coding
CNTD2,79935,ENSG00000105219,protein_coding
CNTF,1270,ENSG00000242689,protein_coding
CNTFR,1271,ENSG00000122756,protein_coding
CNTLN,54875,ENSG00000044459,protein_coding
CNTN1,1272,ENSG00000018236,protein_coding
CNTN2,6900,ENSG00000184144,protein_coding
CNTN3,5067,ENSG00000113805,protein_coding
CNTN4,152330,ENSG00000144619,protein_coding
CNTN5,53942,ENSG00000149972,protein_coding
CNTN6,27255,ENSG00000134115,protein_coding
CNTNAP1,8506,ENSG00000108797,protein_coding
CNTNAP2,26047,ENSG00000174469,protein_coding
CNTNAP3,79937,ENSG00000106714,protein_coding
CNTNAP3B,728577,ENSG00000154529,protein_coding
CNTNAP4,85445,ENSG00000152910,protein_coding
CNTNAP5,129684,ENSG00000155052,protein_coding
CNTRL,11064,ENSG00000119397,protein_coding
CNTROB,116840,ENSG00000170037,protein_coding
COA1,55744,ENSG00000106603,protein_coding
COA3,28958,ENSG00000183978,protein_coding
COA4,51287,ENSG00000181924,protein_coding
COA5,493753,ENSG00000183513,protein_coding
COA6,388753,ENSG00000168275,protein_coding
COA7,65260,ENSG00000162377,protein_coding
COASY,80347,ENSG00000068120,protein_coding
COBL,23242,ENSG00000106078,protein_coding
COBLL1,22837,ENSG00000082438,protein_coding
COCH,1690,ENSG00000100473,protein_coding
COG1,9382,ENSG00000166685,protein_coding
COG2,22796,ENSG00000135775,protein_coding
COG3,83548,ENSG00000136152,protein_coding
COG4,25839,ENSG00000103051,protein_coding
COG5,10466,ENSG00000164597,protein_coding
COG6,57511,ENSG00000133103,protein_coding
COG7,91949,ENSG00000168434,protein_coding
COG8,84342,ENSG00000213380,protein_coding
COIL,8161,ENSG00000121058,protein_coding
COL10A1,1300,ENSG00000123500,protein_coding
COL11A1,1301,ENSG00000060718,protein_coding
COL11A2,1302,ENSG00000204248,protein_coding
COL12A1,1303,ENSG00000111799,protein_coding
COL13A1,1305,ENSG00000197467,protein_coding
COL14A1,7373,ENSG00000187955,protein_coding
COL15A1,1306,ENSG00000204291,protein_coding
COL16A1,1307,ENSG00000084636,protein_coding
COL17A1,1308,ENSG00000065618,protein_coding
COL18A1,80781,ENSG00000182871,protein_coding
COL19A1,1310,ENSG00000082293,protein_coding
COL1A1,1277,ENSG00000108821,protein_coding
COL1A2,1278,ENSG00000164692,protein_coding
COL20A1,57642,ENSG00000101203,protein_coding
COL21A1,81578,ENSG00000124749,protein_coding
COL22A1,169044,ENSG00000169436,protein_coding
COL23A1,91522,ENSG00000050767,protein_coding
COL24A1,255631,ENSG00000171502,protein_coding
COL25A1,84570,ENSG00000188517,protein_coding
COL26A1,136227,ENSG00000160963,protein_coding
COL27A1,85301,ENSG00000196739,protein_coding
COL28A1,340267,ENSG00000215018,protein_coding
COL2A1,1280,ENSG00000139219,protein_coding
COL3A1,1281,ENSG00000168542,protein_coding
COL4A1,1282,ENSG00000187498,protein_coding
COL4A2,1284,ENSG00000134871,protein_coding
COL4A3,1285,ENSG00000169031,protein_coding
COL4A3BP,10087,ENSG00000113163,protein_coding
COL4A4,1286,ENSG00000081052,protein_coding
COL4A5,1287,ENSG00000188153,protein_coding
COL4A6,1288,ENSG00000197565,protein_coding
COL5A1,1289,ENSG00000130635,protein_coding
COL5A2,1290,ENSG00000204262,protein_coding
COL5A3,50509,ENSG00000080573,protein_coding
COL6A1,1291,ENSG00000142156,protein_coding
COL6A2,1292,ENSG00000142173,protein_coding
COL6A3,1293,ENSG00000163359,protein_coding
COL6A5,256076,ENSG00000172752,protein_coding
COL6A6,131873,ENSG00000206384,protein_coding
COL7A1,1294,ENSG00000114270,protein_coding
COL8A1,1295,ENSG00000144810,protein_coding
COL8A2,1296,ENSG00000171812,protein_coding
COL9A1,1297,ENSG00000112280,protein_coding
COL9A2,1298,ENSG00000049089,protein_coding
COL9A3,1299,ENSG00000092758,protein_coding
COLCA2,120376,ENSG00000214290,protein_coding
COLEC10,10584,ENSG00000184374,protein_coding
COLEC11,78989,ENSG00000118004,protein_coding
COLEC12,81035,ENSG00000158270,protein_coding
COLGALT1,79709,ENSG00000130309,protein_coding
COLGALT2,23127,ENSG00000198756,protein_coding
COLQ,8292,ENSG00000206561,protein_coding
COMMD1,150684,ENSG00000173163,protein_coding
COMMD10,51397,ENSG00000145781,protein_coding
COMMD2,51122,ENSG00000114744,protein_coding
COMMD3,23412,ENSG00000148444,protein_coding
COMMD3-BMI1,100532731,ENSG00000269897,protein_coding
COMMD4,54939,ENSG00000140365,protein_coding
COMMD5,28991,ENSG00000170619,protein_coding
COMMD6,170622,ENSG00000188243,protein_coding
COMMD7,149951,ENSG00000149600,protein_coding
COMMD8,54951,ENSG00000169019,protein_coding
COMMD9,29099,ENSG00000110442,protein_coding
COMP,1311,ENSG00000105664,protein_coding
COMT,1312,ENSG00000093010,protein_coding
COMTD1,118881,ENSG00000165644,protein_coding
COPA,1314,ENSG00000122218,protein_coding
COPB1,1315,ENSG00000129083,protein_coding
COPB2,9276,ENSG00000184432,protein_coding
COPE,11316,ENSG00000105669,protein_coding
COPG1,22820,ENSG00000181789,protein_coding
COPG2,26958,ENSG00000158623,protein_coding
COPRS,55352,ENSG00000172301,protein_coding
COPS2,9318,ENSG00000166200,protein_coding
COPS3,8533,ENSG00000141030,protein_coding
COPS4,51138,ENSG00000138663,protein_coding
COPS5,10987,ENSG00000121022,protein_coding
COPS6,10980,ENSG00000168090,protein_coding
COPS7A,50813,ENSG00000111652,protein_coding
COPS7B,64708,ENSG00000144524,protein_coding
COPS8,10920,ENSG00000198612,protein_coding
COPZ1,22818,ENSG00000111481,protein_coding
COPZ2,51226,ENSG00000005243,protein_coding
COQ10A,93058,ENSG00000135469,protein_coding
COQ10B,80219,ENSG00000115520,protein_coding
COQ2,27235,ENSG00000173085,protein_coding
COQ3,51805,ENSG00000132423,protein_coding
COQ4,51117,ENSG00000167113,protein_coding
COQ5,84274,ENSG00000110871,protein_coding
COQ6,51004,ENSG00000119723,protein_coding
COQ7,10229,ENSG00000167186,protein_coding
COQ9,57017,ENSG00000088682,protein_coding
CORIN,10699,ENSG00000145244,protein_coding
CORO1A,11151,ENSG00000102879,protein_coding
CORO1B,57175,ENSG00000172725,protein_coding
CORO1C,23603,ENSG00000110880,protein_coding
CORO2A,7464,ENSG00000106789,protein_coding
CORO2B,10391,ENSG00000103647,protein_coding
CORO6,84940,ENSG00000167549,protein_coding
CORO7,79585,ENSG00000262246,protein_coding
CORO7-PAM16,100529144,ENSG00000103426,protein_coding
CORT,1325,ENSG00000241563,protein_coding
COTL1,23406,ENSG00000103187,protein_coding
COX10,1352,ENSG00000006695,protein_coding
COX11,1353,ENSG00000166260,protein_coding
COX14,84987,ENSG00000178449,protein_coding
COX15,1355,ENSG00000014919,protein_coding
COX16,51241,ENSG00000133983,protein_coding
COX17,10063,ENSG00000138495,protein_coding
COX18,285521,ENSG00000163626,protein_coding
COX19,90639,ENSG00000240230,protein_coding
COX20,116228,ENSG00000203667,protein_coding
COX4I1,1327,ENSG00000131143,protein_coding
COX4I2,84701,ENSG00000131055,protein_coding
COX5A,9377,ENSG00000178741,protein_coding
COX5B,1329,ENSG00000135940,protein_coding
COX6A1,1337,ENSG00000111775,protein_coding
COX6A2,1339,ENSG00000156885,protein_coding
COX6B1,1340,ENSG00000126267,protein_coding
COX6B2,125965,ENSG00000160471,protein_coding
COX6C,1345,ENSG00000164919,protein_coding
COX7A1,1346,ENSG00000161281,protein_coding
COX7A2,1347,ENSG00000112695,protein_coding
COX7A2L,9167,ENSG00000115944,protein_coding
COX7B,1349,ENSG00000131174,protein_coding
COX7B2,170712,ENSG00000170516,protein_coding
COX7C,1350,ENSG00000127184,protein_coding
COX8A,1351,ENSG00000176340,protein_coding
COX8C,341947,ENSG00000187581,protein_coding
CP,1356,ENSG00000047457,protein_coding
CPA1,1357,ENSG00000091704,protein_coding
CPA2,1358,ENSG00000158516,protein_coding
CPA3,1359,ENSG00000163751,protein_coding
CPA4,51200,ENSG00000128510,protein_coding
CPA5,93979,ENSG00000158525,protein_coding
CPA6,57094,ENSG00000165078,protein_coding
CPAMD8,27151,ENSG00000160111,protein_coding
CPB1,1360,ENSG00000153002,protein_coding
CPB2,1361,ENSG00000080618,protein_coding
CPD,1362,ENSG00000108582,protein_coding
CPE,1363,ENSG00000109472,protein_coding
CPEB1,64506,ENSG00000214575,protein_coding
CPEB2,132864,ENSG00000137449,protein_coding
CPEB3,22849,ENSG00000107864,protein_coding
CPEB4,80315,ENSG00000113742,protein_coding
CPED1,79974,ENSG00000106034,protein_coding
CPLX1,10815,ENSG00000168993,protein_coding
CPLX2,10814,ENSG00000145920,protein_coding
CPLX3,594855,ENSG00000213578,protein_coding
CPLX4,339302,ENSG00000166569,protein_coding
CPM,1368,ENSG00000135678,protein_coding
CPN1,1369,ENSG00000120054,protein_coding
CPN2,1370,ENSG00000178772,protein_coding
CPNE1,8904,ENSG00000214078,protein_coding
CPNE2,221184,ENSG00000140848,protein_coding
CPNE3,8895,ENSG00000085719,protein_coding
CPNE4,131034,ENSG00000196353,protein_coding
CPNE5,57699,ENSG00000124772,protein_coding
CPNE6,9362,ENSG00000100884,protein_coding
CPNE7,27132,ENSG00000178773,protein_coding
CPNE8,144402,ENSG00000139117,protein_coding
CPNE9,151835,ENSG00000144550,protein_coding
CPO,130749,ENSG00000144410,protein_coding
CPOX,1371,ENSG00000080819,protein_coding
CPPED1,55313,ENSG00000103381,protein_coding
CPQ,10404,ENSG00000104324,protein_coding
CPS1,1373,ENSG00000021826,protein_coding
CPSF1,29894,ENSG00000071894,protein_coding
CPSF2,53981,ENSG00000165934,protein_coding
CPSF3,51692,ENSG00000119203,protein_coding
CPSF4,10898,ENSG00000160917,protein_coding
CPSF4L,642843,ENSG00000187959,protein_coding
CPSF6,11052,ENSG00000111605,protein_coding
CPSF7,79869,ENSG00000149532,protein_coding
CPT1A,1374,ENSG00000110090,protein_coding
CPT1B,1375,ENSG00000205560,protein_coding
CPT1C,126129,ENSG00000169169,protein_coding
CPT2,1376,ENSG00000157184,protein_coding
CPTP,80772,ENSG00000224051,protein_coding
CPVL,54504,ENSG00000106066,protein_coding
CPXCR1,53336,ENSG00000147183,protein_coding
CPXM1,56265,ENSG00000088882,protein_coding
CPXM2,119587,ENSG00000121898,protein_coding
CPZ,8532,ENSG00000109625,protein_coding
CR1,1378,ENSG00000203710,protein_coding
CR1L,1379,ENSG00000197721,protein_coding
CR2,1380,ENSG00000117322,protein_coding
CRABP1,1381,ENSG00000166426,protein_coding
CRABP2,1382,ENSG00000143320,protein_coding
CRACR2A,84766,ENSG00000130038,protein_coding
CRACR2B,283229,ENSG00000177685,protein_coding
CRADD,8738,ENSG00000169372,protein_coding
CRAT,1384,ENSG00000095321,protein_coding
CRB1,23418,ENSG00000134376,protein_coding
CRB2,286204,ENSG00000148204,protein_coding
CRB3,92359,ENSG00000130545,protein_coding
CRBN,51185,ENSG00000113851,protein_coding
CRCP,27297,ENSG00000241258,protein_coding
CRCT1,54544,ENSG00000169509,protein_coding
CREB1,1385,ENSG00000118260,protein_coding
CREB3,10488,ENSG00000107175,protein_coding
CREB3L1,90993,ENSG00000157613,protein_coding
CREB3L2,64764,ENSG00000182158,protein_coding
CREB3L3,84699,ENSG00000060566,protein_coding
CREB3L4,148327,ENSG00000143578,protein_coding
CREB5,9586,ENSG00000146592,protein_coding
CREBBP,1387,ENSG00000005339,protein_coding
CREBL2,1389,ENSG00000111269,protein_coding
CREBRF,153222,ENSG00000164463,protein_coding
CREBZF,58487,ENSG00000137504,protein_coding
CREG1,8804,ENSG00000143162,protein_coding
CREG2,200407,ENSG00000175874,protein_coding
CRELD1,78987,ENSG00000163703,protein_coding
CRELD2,79174,ENSG00000184164,protein_coding
CREM,1390,ENSG00000095794,protein_coding
CRH,1392,ENSG00000147571,protein_coding
CRHBP,1393,ENSG00000145708,protein_coding
CRHR1,1394,ENSG00000120088,protein_coding
CRHR2,1395,ENSG00000106113,protein_coding
CRIM1,51232,ENSG00000150938,protein_coding
CRIP1,1396,ENSG00000257341,protein_coding
CRIP1,1396,ENSG00000213145,protein_coding
CRIP2,1397,ENSG00000182809,protein_coding
CRIP3,401262,ENSG00000146215,protein_coding
CRIPAK,285464,ENSG00000179979,protein_coding
CRIPT,9419,ENSG00000119878,protein_coding
CRISP1,167,ENSG00000124812,protein_coding
CRISP2,7180,ENSG00000124490,protein_coding
CRISP3,10321,ENSG00000096006,protein_coding
CRISPLD1,83690,ENSG00000121005,protein_coding
CRISPLD2,83716,ENSG00000103196,protein_coding
CRK,1398,ENSG00000167193,protein_coding
CRKL,1399,ENSG00000099942,protein_coding
CRLF1,9244,ENSG00000006016,protein_coding
CRLF2,64109,ENSGR0000205755,protein_coding
CRLF2,64109,ENSG00000205755,protein_coding
CRLF3,51379,ENSG00000176390,protein_coding
CRLS1,54675,ENSG00000088766,protein_coding
CRMP1,1400,ENSG00000072832,protein_coding
CRNKL1,51340,ENSG00000101343,protein_coding
CRNN,49860,ENSG00000143536,protein_coding
CROCC,9696,ENSG00000058453,protein_coding
CROT,54677,ENSG00000005469,protein_coding
CRP,1401,ENSG00000132693,protein_coding
CRTAC1,55118,ENSG00000095713,protein_coding
CRTAM,56253,ENSG00000109943,protein_coding
CRTAP,10491,ENSG00000170275,protein_coding
CRTC1,23373,ENSG00000105662,protein_coding
CRTC2,200186,ENSG00000160741,protein_coding
CRTC3,64784,ENSG00000140577,protein_coding
CRX,1406,ENSG00000105392,protein_coding
CRY1,1407,ENSG00000008405,protein_coding
CRY2,1408,ENSG00000121671,protein_coding
CRYAA,1409,ENSG00000160202,protein_coding
CRYAA,1409,ENSG00000276076,protein_coding
CRYAB,1410,ENSG00000109846,protein_coding
CRYBA1,1411,ENSG00000108255,protein_coding
CRYBA2,1412,ENSG00000163499,protein_coding
CRYBA4,1413,ENSG00000196431,protein_coding
CRYBB1,1414,ENSG00000100122,protein_coding
CRYBB2,1415,ENSG00000244752,protein_coding
CRYBB3,1417,ENSG00000100053,protein_coding
CRYBG3,131544,ENSG00000080200,protein_coding
CRYGA,1418,ENSG00000168582,protein_coding
CRYGB,1419,ENSG00000182187,protein_coding
CRYGC,1420,ENSG00000163254,protein_coding
CRYGD,1421,ENSG00000118231,protein_coding
CRYGN,155051,ENSG00000127377,protein_coding
CRYGS,1427,ENSG00000213139,protein_coding
CRYL1,51084,ENSG00000165475,protein_coding
CRYM,1428,ENSG00000103316,protein_coding
CRYZ,1429,ENSG00000116791,protein_coding
CRYZL1,9946,ENSG00000205758,protein_coding
CS,1431,ENSG00000062485,protein_coding
CSAD,51380,ENSG00000139631,protein_coding
CSAG1,158511,ENSG00000198930,protein_coding
CSDC2,27254,ENSG00000172346,protein_coding
CSDE1,7812,ENSG00000009307,protein_coding
CSE1L,1434,ENSG00000124207,protein_coding
CSF1,1435,ENSG00000184371,protein_coding
CSF1R,1436,ENSG00000182578,protein_coding
CSF2,1437,ENSG00000164400,protein_coding
CSF2RA,1438,ENSGR0000198223,protein_coding
CSF2RA,1438,ENSG00000198223,protein_coding
CSF2RB,1439,ENSG00000100368,protein_coding
CSF3,1440,ENSG00000108342,protein_coding
CSF3R,1441,ENSG00000119535,protein_coding
CSGALNACT1,55790,ENSG00000147408,protein_coding
CSGALNACT2,55454,ENSG00000169826,protein_coding
CSH1,1442,ENSG00000136488,protein_coding
CSH2,1443,ENSG00000213218,protein_coding
CSHL1,1444,ENSG00000204414,protein_coding
CSK,1445,ENSG00000103653,protein_coding
CSMD1,64478,ENSG00000183117,protein_coding
CSMD2,114784,ENSG00000121904,protein_coding
CSMD3,114788,ENSG00000164796,protein_coding
CSN1S1,1446,ENSG00000126545,protein_coding
CSN2,1447,ENSG00000135222,protein_coding
CSN3,1448,ENSG00000171209,protein_coding
CSNK1A1,1452,ENSG00000113712,protein_coding
CSNK1A1L,122011,ENSG00000180138,protein_coding
CSNK1D,1453,ENSG00000141551,protein_coding
CSNK1E,1454,ENSG00000213923,protein_coding
CSNK1G1,53944,ENSG00000169118,protein_coding
CSNK1G2,1455,ENSG00000133275,protein_coding
CSNK1G3,1456,ENSG00000151292,protein_coding
CSNK2A1,1457,ENSG00000101266,protein_coding
CSNK2A2,1459,ENSG00000070770,protein_coding
CSNK2A3,283106,ENSG00000254598,protein_coding
CSNK2B,1460,ENSG00000204435,protein_coding
CSPG4,1464,ENSG00000173546,protein_coding
CSPG5,10675,ENSG00000114646,protein_coding
CSPP1,79848,ENSG00000104218,protein_coding
CSRNP1,64651,ENSG00000144655,protein_coding
CSRNP2,81566,ENSG00000110925,protein_coding
CSRNP3,80034,ENSG00000178662,protein_coding
CSRP1,1465,ENSG00000159176,protein_coding
CSRP2,1466,ENSG00000175183,protein_coding
CSRP3,8048,ENSG00000129170,protein_coding
CST1,1469,ENSG00000170373,protein_coding
CST11,140880,ENSG00000125831,protein_coding
CST2,1470,ENSG00000170369,protein_coding
CST3,1471,ENSG00000101439,protein_coding
CST4,1472,ENSG00000101441,protein_coding
CST5,1473,ENSG00000170367,protein_coding
CST6,1474,ENSG00000175315,protein_coding
CST7,8530,ENSG00000077984,protein_coding
CST8,10047,ENSG00000125815,protein_coding
CST9,128822,ENSG00000173335,protein_coding
CST9L,128821,ENSG00000101435,protein_coding
CSTA,1475,ENSG00000121552,protein_coding
CSTB,1476,ENSG00000160213,protein_coding
CSTF1,1477,ENSG00000101138,protein_coding
CSTF2,1478,ENSG00000101811,protein_coding
CSTF2T,23283,ENSG00000177613,protein_coding
CSTF3,1479,ENSG00000176102,protein_coding
CSTL1,128817,ENSG00000125823,protein_coding
CT45A1,541466,ENSG00000268940,protein_coding
CT45A10,102723631,ENSG00000269586,protein_coding
CT45A2,728911,ENSG00000271449,protein_coding
CT45A3,441519,ENSG00000269096,protein_coding
CT45A5,441521,ENSG00000228836,protein_coding
CT45A6,541465,ENSG00000278289,protein_coding
CT45A7,101060211,ENSG00000273696,protein_coding
CT45A8,102723737,ENSG00000278085,protein_coding
CT45A9,102723680,ENSG00000270946,protein_coding
CT47A1,728096,ENSG00000236371,protein_coding
CT47A10,728036,ENSG00000224089,protein_coding
CT47A11,255313,ENSG00000226929,protein_coding
CT47A12,100507170,ENSG00000226685,protein_coding
CT47A2,728090,ENSG00000242362,protein_coding
CT47A3,728082,ENSG00000236126,protein_coding
CT47A4,728075,ENSG00000230594,protein_coding
CT47A5,728072,ENSG00000237957,protein_coding
CT47A6,728062,ENSG00000226023,protein_coding
CT47A7,653282,ENSG00000228517,protein_coding
CT47A8,728049,ENSG00000230347,protein_coding
CT47A9,728042,ENSG00000226600,protein_coding
CT47B1,643311,ENSG00000236446,protein_coding
CT55,54967,ENSG00000169551,protein_coding
CT62,196993,ENSG00000225362,protein_coding
CT83,203413,ENSG00000204019,protein_coding
CTAG1A,246100,ENSG00000268651,protein_coding
CTAG1B,1485,ENSG00000184033,protein_coding
CTAG2,30848,ENSG00000126890,protein_coding
CTAGE1,64693,ENSG00000212710,protein_coding
CTAGE15,441294,ENSG00000271079,protein_coding
CTAGE4,100128553,ENSG00000225932,protein_coding
CTAGE6,340307,ENSG00000271321,protein_coding
CTAGE8,100142659,ENSG00000244693,protein_coding
CTAGE9,643854,ENSG00000236761,protein_coding
CTBP1,1487,ENSG00000159692,protein_coding
CTBP2,1488,ENSG00000175029,protein_coding
CTBS,1486,ENSG00000117151,protein_coding
CTC1,80169,ENSG00000178971,protein_coding
CTCF,10664,ENSG00000102974,protein_coding
CTCFL,140690,ENSG00000124092,protein_coding
CTDNEP1,23399,ENSG00000175826,protein_coding
CTDP1,9150,ENSG00000060069,protein_coding
CTDSP1,58190,ENSG00000144579,protein_coding
CTDSP2,10106,ENSG00000175215,protein_coding
CTDSPL,10217,ENSG00000144677,protein_coding
CTDSPL2,51496,ENSG00000137770,protein_coding
CTF1,1489,ENSG00000150281,protein_coding
CTGF,1490,ENSG00000118523,protein_coding
CTH,1491,ENSG00000116761,protein_coding
CTHRC1,115908,ENSG00000164932,protein_coding
CTIF,9811,ENSG00000134030,protein_coding
CTLA4,1493,ENSG00000163599,protein_coding
CTNNA1,1495,ENSG00000044115,protein_coding
CTNNA2,1496,ENSG00000066032,protein_coding
CTNNA3,29119,ENSG00000183230,protein_coding
CTNNAL1,8727,ENSG00000119326,protein_coding
CTNNB1,1499,ENSG00000168036,protein_coding
CTNNBIP1,56998,ENSG00000178585,protein_coding
CTNNBL1,56259,ENSG00000132792,protein_coding
CTNND1,1500,ENSG00000198561,protein_coding
CTNND2,1501,ENSG00000169862,protein_coding
CTNS,1497,ENSG00000040531,protein_coding
CTPS1,1503,ENSG00000171793,protein_coding
CTPS2,56474,ENSG00000047230,protein_coding
CTR9,9646,ENSG00000198730,protein_coding
CTRB1,1504,ENSG00000168925,protein_coding
CTRB2,440387,ENSG00000168928,protein_coding
CTRC,11330,ENSG00000162438,protein_coding
CTRL,1506,ENSG00000141086,protein_coding
CTSA,5476,ENSG00000064601,protein_coding
CTSB,1508,ENSG00000164733,protein_coding
CTSC,1075,ENSG00000109861,protein_coding
CTSD,1509,ENSG00000117984,protein_coding
CTSE,1510,ENSG00000196188,protein_coding
CTSF,8722,ENSG00000174080,protein_coding
CTSG,1511,ENSG00000100448,protein_coding
CTSH,1512,ENSG00000103811,protein_coding
CTSK,1513,ENSG00000143387,protein_coding
CTSL,1514,ENSG00000135047,protein_coding
CTSO,1519,ENSG00000256043,protein_coding
