"id","color","group1_s1","group1_s2","group2_s1","group2_s2","group2_s3","group3_s1","group3_s2","group3_s3"
"FAM81B","black",-0.855,-0.765,-0.388,2.182,-1.118,-0.388,-1.331,-1.162
"EDN2","black",1.223,1.243,-2.111,-2.323,-2.229,0.156,-1.637,0.718
"GNA14","black",3.62,0.236,-0.573,-0.034,2.627,-0.845,1.096,1.691
"CLDN8","black",1.34,-0.659,-0.103,-3.178,-3.445,3.65,0.541,2.302
"UCHL1","black",1.426,-0.272,0.654,-0.406,-0.007,-0.142,-0.358,-0.006
"CST9L","black",-1.049,-1.285,-0.796,4.559,-1.135,-1.364,-0.178,-1.164
"FGD3","black",-2.472,-1.635,-0.691,-0.943,-2.283,-1.491,-2.263,-2.408
"RIPK4","black",2.043,1.306,0.313,-2.329,-0.921,-0.845,-1.258,0.434
"GNMT","black",0.022,-1.155,-0.127,0.763,-1.375,2.923,2.992,2.485
"NEIL3","black",-0.936,0.778,0.935,-0.065,0.903,0.596,0.354,1.122
"AKR7A3","black",-1.56,1.79,-1.542,1.223,1.252,0.743,2.022,-0.871
"LRRC6","black",0.385,-2.726,0.048,-0.764,0.294,-2.11,-0.959,-2.502
"C20orf26","black",-1.291,-0.571,0.183,2.928,2.389,-0.841,0.688,-1.113
"CXCL11","black",-1.315,-0.15,3.503,1.597,0.394,1.47,-1.799,2.693
"SPINK4","black",-0.619,3.465,-0.873,0.124,-0.848,-1.328,-0.32,-0.344
"NXN","black",1.373,1.329,1.314,-1.8,-0.01,-0.187,-0.337,0.153
"KIT","black",0.254,1.901,1.302,-1.677,-1.586,-0.609,-1.105,0.145
"SLC22A4","black",-0.384,-2.094,-1.779,1.976,-0.323,-1.24,1.661,2.123
"NEK10","black",-0.059,-2.503,-2.353,-2.006,-1.864,-2.403,-1.619,-1.772
"RMND1","black",-1.125,-0.527,-0.856,1.136,-0.767,-1.199,-0.543,-0.926
"LDHB","black",0.373,-1.357,1.031,-0.297,-0.745,-0.675,-0.659,1.028
"AFF3","black",-1.376,1.755,1.066,1.073,-1.844,-0.392,-0.842,-0.76
"ZNF695","black",1.798,1.592,0.977,1.407,0.189,0.722,0.38,1.504
"PIP","black",0.208,-0.208,0.97,0.902,-0.133,0.216,0.14,0.145
"CEP55","black",-0.133,1.106,0.935,1.119,0.11,0.74,-0.561,1.201
"LRRC48","black",-0.583,-2.182,-0.938,0.607,-0.391,-1.469,-0.442,-1.331
"C6orf211","black",-0.933,-1.473,-1.112,2.106,-0.721,-1.88,-1.182,-1.248
"KRT6B","black",-3.395,-3.045,-4.811,-1.98,-0.41,-4.566,0.25,0.278
"FZD9","black",1.025,-0.577,-0.512,-1.021,-0.473,-0.362,0.032,1.01
"FOXC1","black",0.572,-1.371,-0.832,-0.869,-0.623,-0.478,-0.836,-0.039
"TTC18","black",-0.813,0.827,0.549,1.93,0.279,-0.16,1.367,-1.106
"TEX14","black",-1.05,-0.832,-0.574,0.241,0.283,-0.853,-1.088,-0.731
"KLRG2","black",-0.148,3.707,1.031,1.516,0.286,2.782,2.11,0.332
"GZMB","black",-0.401,0.198,1.888,1.84,-0.323,1.069,-1.777,1.373
"PRRT2","black",-2.297,-0.652,-0.739,0.025,0.725,-1.635,0.248,-1.202
"NOVA1","black",-0.557,-0.873,1.294,3.631,-0.958,-0.979,-0.518,-0.703
"KRT7","black",0.755,1.032,0.434,-3.185,-2.818,1.106,0.665,0.818
"AGTR1","black",0.16,2.922,-0.966,-2.609,-0.456,-2.007,-0.802,-2.035
"KCNK1","black",1.736,0.197,1.312,0.838,0.976,0.562,1.455,1.928
"NMU","black",-0.004,2.882,2.354,-0.972,1.712,2.111,3.159,5.542
"KCNJ15","black",0.899,-0.552,0.17,-1.409,1.155,0.002,0.583,-0.154
"PGLYRP2","black",-1.264,-1.919,-2.154,2.003,-1.92,-3.809,-1.527,-1.997
"DACH1","black",-3.895,2.339,-0.485,0.345,1.27,-3.826,0.469,-4.469
"DYNLRB2","black",-0.201,-0.256,-0.82,1.606,0.254,-2.554,0.369,-1.577
"CEACAM7","black",1.952,1.146,0.566,0.86,3.037,0.945,2.232,0.691
"EPHB1","black",0.302,0.216,0.715,-0.893,-0.555,-0.172,0.212,-0.977
"C1orf106","black",1.936,-0.171,0.061,3.152,-0.289,1.45,0.12,2.255
"OCA2","black",-0.334,-0.324,0.312,-0.705,-0.806,-0.295,-0.908,2.666
"C8orf46","black",-1.13,-1.439,-0.654,-0.607,-0.605,-0.576,-0.159,-0.882
"GPM6B","red",-0.866,-0.377,0.33,-2.174,-0.693,-0.503,0.041,-0.538
"ID4","red",1.494,-1.982,-2.808,-2.656,-1.64,-1.258,-0.719,-1.522
"KIAA1257","red",-0.897,-2.113,-1.342,2.778,2.655,-1.974,2.942,-0.826
"EGFL6","red",0.327,2.122,2.686,-0.777,0.437,-0.086,-0.8,0.473
"STARD10","red",0.116,-0.413,1.129,1.147,0.755,-0.061,1.422,0.352
"DLX6","blue",-0.076,-0.54,0.279,-0.503,0.05,-0.174,0.238,0.201
"DNALI1","blue",-3.381,-2.932,0.112,0.053,0.455,-3.877,-1.44,-4.609
"EEF1A2","blue",-0.095,-0.48,-0.975,-2.697,3.397,-1.9,2.882,-2.239
"CNTD1","blue",-0.97,-0.182,-0.326,2.154,0.407,0.677,-0.623,-1.7
"LAD1","blue",0.978,1.182,0.766,1.26,-0.687,0.786,1.216,1.52
