"","type","gene","immune_cells","cor","p.value","pvalue"
"cor1826","LGG","CD96","Mast.cells.resting",0.0501851229273577,0.395333219932197,"p≥0.05"
"cor1926","LGG","CD96","Mast.cells.activated",-0.0600396232172654,0.309073518612923,"p≥0.05"
"cor2026","LGG","CD96","Eosinophils",0.00884985875629411,0.880923586058289,"p≥0.05"
"cor2128","LGG","CD96","Neutrophils",-0.00468094775540891,0.936848353639871,"p≥0.05"
"cor249","DLBC","CD96","B.cells.naive",0.251308430147849,0.225597728171015,"p≥0.05"
"cor1132","DLBC","CD96","B.cells.memory",-0.00919977462747383,0.965187643493762,"p≥0.05"
"cor250","DLBC","CD96","Plasma.cells",-0.0365211211070738,0.862404401437021,"p≥0.05"
"cor329","DLBC","CD96","T.cells.CD8",-0.0537623408351172,0.798542456635516,"p≥0.05"
"cor428","DLBC","CD96","T.cells.CD4.naive",NA,NA,NA
"cor527","DLBC","CD96","T.cells.CD4.memory.resting",0.249344154785889,0.229366431220189,"p≥0.05"
"cor627","DLBC","CD96","T.cells.CD4.memory.activated",-0.0075578090340563,0.971398160449327,"p≥0.05"
"cor727","DLBC","CD96","T.cells.follicular.helper",0.131322635146671,0.531501102645799,"p≥0.05"
"cor827","DLBC","CD96","T.cells.regulatory..Tregs.",0.104422984046007,0.619367975325763,"p≥0.05"
"cor927","DLBC","CD96","T.cells.gamma.delta",-0.494491168860868,0.011979407319362,"p<0.05"
"cor1027","DLBC","CD96","NK.cells.resting",0.0950661348303903,0.651253375424391,"p≥0.05"
"cor1133","DLBC","CD96","NK.cells.activated",-0.135538448725047,0.518286813609019,"p≥0.05"
"cor1229","DLBC","CD96","Monocytes",0.229248680980701,0.270321725356414,"p≥0.05"
"cor1327","DLBC","CD96","Macrophages.M0",-0.311966022996767,0.128976089359078,"p≥0.05"
"cor1427","DLBC","CD96","Macrophages.M1",-0.259785475673545,0.209807922327964,"p≥0.05"
"cor1527","DLBC","CD96","Macrophages.M2",0.277954607897245,0.17852501625056,"p≥0.05"
"cor1627","DLBC","CD96","Dendritic.cells.resting",0.105197374712387,0.616757772702598,"p≥0.05"
"cor1727","DLBC","CD96","Dendritic.cells.activated",-0.178042474422384,0.394508269019505,"p≥0.05"
"cor1827","DLBC","CD96","Mast.cells.resting",0.100719254613926,0.631913527710946,"p≥0.05"
"cor1927","DLBC","CD96","Mast.cells.activated",NA,NA,NA
"cor2027","DLBC","CD96","Eosinophils",NA,NA,NA
"cor2129","DLBC","CD96","Neutrophils",0.0790138058803998,0.707340087886013,"p≥0.05"
"cor251","KICH","CD96","B.cells.naive",-0.00725464597082246,0.967008233839108,"p≥0.05"
"cor1134","KICH","CD96","B.cells.memory",-0.00924576700967566,0.957960399076709,"p≥0.05"
"cor252","KICH","CD96","Plasma.cells",-0.206918383913181,0.23300719435341,"p≥0.05"
"cor330","KICH","CD96","T.cells.CD8",-0.170300837523847,0.328028546052017,"p≥0.05"
"cor429","KICH","CD96","T.cells.CD4.naive",-0.107882430660983,0.537322807516786,"p≥0.05"
"cor528","KICH","CD96","T.cells.CD4.memory.resting",0.0607327029046878,0.728913714809428,"p≥0.05"
"cor628","KICH","CD96","T.cells.CD4.memory.activated",NA,NA,NA
"cor728","KICH","CD96","T.cells.follicular.helper",0.00840880660159012,0.961763058201217,"p≥0.05"
"cor828","KICH","CD96","T.cells.regulatory..Tregs.",-0.0343836241932131,0.844542437255024,"p≥0.05"
"cor928","KICH","CD96","T.cells.gamma.delta",-0.276512954759193,0.107837050280007,"p≥0.05"
"cor1028","KICH","CD96","NK.cells.resting",0.0823663625586691,0.638076607176296,"p≥0.05"
"cor1135","KICH","CD96","NK.cells.activated",-0.0628898762767126,0.719666263879196,"p≥0.05"
"cor1230","KICH","CD96","Monocytes",0.0974370819805652,0.577637838671526,"p≥0.05"
"cor1328","KICH","CD96","Macrophages.M0",0.104577452467137,0.549931662260306,"p≥0.05"
"cor1428","KICH","CD96","Macrophages.M1",0.0636632343876548,0.716360430145062,"p≥0.05"
"cor1528","KICH","CD96","Macrophages.M2",-0.0863411214080387,0.621890548751322,"p≥0.05"
"cor1628","KICH","CD96","Dendritic.cells.resting",-0.215066990045704,0.214707073913914,"p≥0.05"
"cor1728","KICH","CD96","Dendritic.cells.activated",0.194392903195958,0.263143052286212,"p≥0.05"
"cor1828","KICH","CD96","Mast.cells.resting",0.176277603299847,0.311080052336083,"p≥0.05"
"cor1928","KICH","CD96","Mast.cells.activated",-0.190223922419019,0.273717752560507,"p≥0.05"
"cor2028","KICH","CD96","Eosinophils",0.182477030478994,0.294093679527133,"p≥0.05"
"cor2130","KICH","CD96","Neutrophils",-0.079870872531816,0.648324127777243,"p≥0.05"
"cor253","UCS","CD96","B.cells.naive",-0.00675549521963673,0.960223222932878,"p≥0.05"
"cor1136","UCS","CD96","B.cells.memory",0.111024188376541,0.410968654478045,"p≥0.05"
"cor254","UCS","CD96","Plasma.cells",0.14669164988334,0.276213521744252,"p≥0.05"
"cor331","UCS","CD96","T.cells.CD8",0.0344496571751889,0.799184605743412,"p≥0.05"
"cor430","UCS","CD96","T.cells.CD4.naive",-0.0143070665188543,0.91587727911732,"p≥0.05"
"cor529","UCS","CD96","T.cells.CD4.memory.resting",-0.0399423684323535,0.767997624636125,"p≥0.05"
"cor629","UCS","CD96","T.cells.CD4.memory.activated",-0.236052949592849,0.0771022546646627,"p≥0.05"
"cor729","UCS","CD96","T.cells.follicular.helper",0.153954014213887,0.252868865527825,"p≥0.05"
"cor829","UCS","CD96","T.cells.regulatory..Tregs.",-0.04106592817631,0.761661177430047,"p≥0.05"
"cor929","UCS","CD96","T.cells.gamma.delta",0.0256031305800112,0.850055308310318,"p≥0.05"
"cor1029","UCS","CD96","NK.cells.resting",-0.0793971288650594,0.557147989195159,"p≥0.05"
"cor1137","UCS","CD96","NK.cells.activated",-0.111972802493917,0.406957554768128,"p≥0.05"
"cor1231","UCS","CD96","Monocytes",-0.0179494153806812,0.894570275980726,"p≥0.05"
"cor1329","UCS","CD96","Macrophages.M0",0.121795443776953,0.366775499124793,"p≥0.05"
"cor1429","UCS","CD96","Macrophages.M1",0.0181983652838763,0.893116494243186,"p≥0.05"
"cor1529","UCS","CD96","Macrophages.M2",-0.226455998886915,0.0902821642932739,"p≥0.05"
"cor1629","UCS","CD96","Dendritic.cells.resting",0.0136881743992203,0.91950393925238,"p≥0.05"
"cor1729","UCS","CD96","Dendritic.cells.activated",0.114435011195574,0.396652972655275,"p≥0.05"
"cor1829","UCS","CD96","Mast.cells.resting",0.0675001118846792,0.617854069779796,"p≥0.05"
"cor1929","UCS","CD96","Mast.cells.activated",0.0165333173544886,0.902846213478162,"p≥0.05"
"cor2029","UCS","CD96","Eosinophils",-0.114700536260477,0.39555094924522,"p≥0.05"
"cor2131","UCS","CD96","Neutrophils",-0.263016314423005,0.0480765767742768,"p<0.05"
"cor255","ACC","CD96","B.cells.naive",0.091243767584365,0.46976154845201,"p≥0.05"
"cor1138","ACC","CD96","B.cells.memory",-0.187001329891345,0.135806106157742,"p≥0.05"
"cor256","ACC","CD96","Plasma.cells",0.0201980927621009,0.873118338555711,"p≥0.05"
"cor332","ACC","CD96","T.cells.CD8",0.0714453388280455,0.571694430489394,"p≥0.05"
"cor431","ACC","CD96","T.cells.CD4.naive",0.0406706648751215,0.747704040234941,"p≥0.05"
"cor530","ACC","CD96","T.cells.CD4.memory.resting",-0.116692413463049,0.354592803480886,"p≥0.05"
"cor630","ACC","CD96","T.cells.CD4.memory.activated",0.0607145336517268,0.630913108672102,"p≥0.05"
"cor730","ACC","CD96","T.cells.follicular.helper",0.0865230488933799,0.493140214781181,"p≥0.05"
"cor830","ACC","CD96","T.cells.regulatory..Tregs.",0.165907177620715,0.186565551684691,"p≥0.05"
"cor930","ACC","CD96","T.cells.gamma.delta",NA,NA,NA
"cor1030","ACC","CD96","NK.cells.resting",0.0302396554223291,0.811009397416193,"p≥0.05"
"cor1139","ACC","CD96","NK.cells.activated",0.272516218484207,0.0280765260454044,"p<0.05"
"cor1232","ACC","CD96","Monocytes",0.231133361492097,0.0639583291437043,"p≥0.05"
"cor1330","ACC","CD96","Macrophages.M0",-0.233413447920488,0.0613084910925697,"p≥0.05"
"cor1430","ACC","CD96","Macrophages.M1",0.0461913639686111,0.714830817669083,"p≥0.05"
"cor1530","ACC","CD96","Macrophages.M2",-0.101391915793328,0.421592922403848,"p≥0.05"
"cor1630","ACC","CD96","Dendritic.cells.resting",0.040187586701959,0.750602956967883,"p≥0.05"
"cor1730","ACC","CD96","Dendritic.cells.activated",-0.0228329671660063,0.856731081905902,"p≥0.05"
"cor1830","ACC","CD96","Mast.cells.resting",0.058021231095146,0.646167583850022,"p≥0.05"
"cor1930","ACC","CD96","Mast.cells.activated",0.0508097449081635,0.687718841380777,"p≥0.05"
"cor2030","ACC","CD96","Eosinophils",0.0768152575746185,0.543063084587571,"p≥0.05"
"cor2132","ACC","CD96","Neutrophils",-0.0599355402590671,0.635309828139761,"p≥0.05"
"cor257","PCPG","CD96","B.cells.naive",0.0129454199818854,0.884687161263464,"p≥0.05"
"cor1140","PCPG","CD96","B.cells.memory",0.0438330518581189,0.623224324801551,"p≥0.05"
"cor258","PCPG","CD96","Plasma.cells",-0.085791095144691,0.335612487818382,"p≥0.05"
"cor333","PCPG","CD96","T.cells.CD8",0.203695376210386,0.0211007531000831,"p<0.05"
"cor432","PCPG","CD96","T.cells.CD4.naive",0.00203036476612634,0.981853172242108,"p≥0.05"
"cor531","PCPG","CD96","T.cells.CD4.memory.resting",-0.0939272812983743,0.291619833648475,"p≥0.05"
"cor631","PCPG","CD96","T.cells.CD4.memory.activated",0.0690459134257822,0.438678256294519,"p≥0.05"
"cor731","PCPG","CD96","T.cells.follicular.helper",-0.0591312423759269,0.507323224549051,"p≥0.05"
"cor831","PCPG","CD96","T.cells.regulatory..Tregs.",-0.0679153138353261,0.446229196007729,"p≥0.05"
"cor931","PCPG","CD96","T.cells.gamma.delta",NA,NA,NA
"cor1031","PCPG","CD96","NK.cells.resting",0.00234349402601398,0.979055104015715,"p≥0.05"
"cor1141","PCPG","CD96","NK.cells.activated",-0.144548646387242,0.103546101961903,"p≥0.05"
"cor1233","PCPG","CD96","Monocytes",0.109176922995402,0.219916715157722,"p≥0.05"
"cor1331","PCPG","CD96","Macrophages.M0",0.0446437012417886,0.616807083816588,"p≥0.05"
"cor1431","PCPG","CD96","Macrophages.M1",0.0831034348743692,0.351026927057372,"p≥0.05"
"cor1531","PCPG","CD96","Macrophages.M2",0.129833326572707,0.144104118769365,"p≥0.05"
"cor1631","PCPG","CD96","Dendritic.cells.resting",0.0659747858165695,0.459358289301781,"p≥0.05"
"cor1731","PCPG","CD96","Dendritic.cells.activated",0.0387383524062457,0.664188179444901,"p≥0.05"
"cor1831","PCPG","CD96","Mast.cells.resting",0.0773234842138118,0.3856498133354,"p≥0.05"
"cor1931","PCPG","CD96","Mast.cells.activated",-0.297355284572813,0.000652902613085144,"p<0.05"
"cor2031","PCPG","CD96","Eosinophils",-0.00119327643462031,0.989334236937154,"p≥0.05"
"cor2133","PCPG","CD96","Neutrophils",-0.160625953975099,0.0701056097883687,"p≥0.05"
"cor259","UVM","CD96","B.cells.naive",0.0494268983712799,0.677945204168865,"p≥0.05"
"cor1142","UVM","CD96","B.cells.memory",0.13556088444944,0.252818705935063,"p≥0.05"
"cor260","UVM","CD96","Plasma.cells",0.251703469717446,0.0317016601180213,"p<0.05"
"cor334","UVM","CD96","T.cells.CD8",-0.0651156189443559,0.58415406567891,"p≥0.05"
"cor433","UVM","CD96","T.cells.CD4.naive",-0.0776654247874878,0.513686584450885,"p≥0.05"
"cor532","UVM","CD96","T.cells.CD4.memory.resting",0.0247521385025536,0.835335128970384,"p≥0.05"
"cor632","UVM","CD96","T.cells.CD4.memory.activated",0.00245961308513615,0.983523056156198,"p≥0.05"
"cor732","UVM","CD96","T.cells.follicular.helper",-0.0239570986563292,0.840553540895359,"p≥0.05"
"cor832","UVM","CD96","T.cells.regulatory..Tregs.",0.0461388364866668,0.698302491588269,"p≥0.05"
"cor932","UVM","CD96","T.cells.gamma.delta",-0.100704623637321,0.396589488668181,"p≥0.05"
"cor1032","UVM","CD96","NK.cells.resting",-0.132742075936959,0.262911371027784,"p≥0.05"
"cor1143","UVM","CD96","NK.cells.activated",0.0514844878928941,0.665321058167187,"p≥0.05"
"cor1234","UVM","CD96","Monocytes",-0.0036427906031736,0.975598977986055,"p≥0.05"
"cor1332","UVM","CD96","Macrophages.M0",-0.0920960226995221,0.438377153752671,"p≥0.05"
"cor1432","UVM","CD96","Macrophages.M1",-0.125440579021068,0.290306247455388,"p≥0.05"
"cor1532","UVM","CD96","Macrophages.M2",-0.0413358264948708,0.728421375236004,"p≥0.05"
"cor1632","UVM","CD96","Dendritic.cells.resting",-0.0540878692260301,0.649480739607391,"p≥0.05"
"cor1732","UVM","CD96","Dendritic.cells.activated",0.105368077457191,0.374971211023034,"p≥0.05"
"cor1832","UVM","CD96","Mast.cells.resting",0.0441374332423829,0.71079966383245,"p≥0.05"
"cor1932","UVM","CD96","Mast.cells.activated",0.0296140320406088,0.803585255236739,"p≥0.05"
"cor2032","UVM","CD96","Eosinophils",0.0237155313801578,0.842140488955853,"p≥0.05"
"cor2134","UVM","CD96","Neutrophils",-0.0528096701833426,0.657239140257104,"p≥0.05"
