samID	pca1.A	pca1.B	ICI.score	subtype
HNSC-A5HZ-01	-15.2782493780035	4.2905066156129	-19.5687559936163	A
HNSC-A8ZA-01	-12.1503654243044	1.35127408787131	-13.5016395121757	A
HNSC-A71D-01	-11.9513496919006	1.96681023568862	-13.9181599275892	A
HNSC-7632-01	-18.3628213566055	2.2426862076673	-20.6055075642728	A
HNSC-A6K1-01	-13.0180221161182	2.361642110522	-15.3796642266402	A
HNSC-A6EQ-01	-5.78405205811281	1.2779172881003	-7.06196934621311	A
HNSC-A6DA-01	-19.4487562276198	3.35869903567375	-22.8074552632935	A
HNSC-A45P-01	-16.0843066573764	3.58273458915369	-19.6670412465301	A
HNSC-7411-01	-15.4933931408323	3.06393466525906	-18.5573278060914	A
HNSC-A7JC-01	-20.6709784063402	5.15665093696066	-25.8276293433008	A
HNSC-A71A-01	-4.25695632388388	-1.4010078174574	-2.85594850642648	A
HNSC-5355-01	0.780831075608848	3.16872038268579	-2.38788930707694	A
HNSC-6228-01	-5.47450282911772	0.822086462367352	-6.29658929148508	A
HNSC-A6EK-01	-8.67641951129994	2.12880371996692	-10.8052232312669	A
HNSC-A633-01	-12.6267160363914	0.61570391078516	-13.2424199471766	A
HNSC-A7JK-01	-21.0736456643904	1.80135632513161	-22.875001989522	A
HNSC-A4CG-01	-11.3978419581091	0.175793063468344	-11.5736350215775	A
HNSC-A6JN-01	-13.272461607101	2.58796737748215	-15.8604289845831	A
HNSC-A45Q-01	-23.0957002400903	0.903299671348795	-23.9989999114391	A
HNSC-A6IH-01	-16.3872977998333	3.01570950791487	-19.4030073077482	A
HNSC-6225-01	-17.3318213666315	3.03672321693149	-20.368544583563	A
HNSC-6935-01	-7.28034833032728	-0.607587724290704	-6.67276060603657	A
HNSC-5979-01	-11.5722859703348	1.79125141757767	-13.3635373879125	A
HNSC-A6JY-01	-16.854648557872	3.5223810958412	-20.3770296537132	A
HNSC-7255-01	-17.3732284719084	2.60719686983453	-19.9804253417429	A
HNSC-8502-01	-5.09657763364045	0.898869860319302	-5.99544749395975	A
HNSC-A6EP-01	-5.88347221492612	-10.5092900965988	4.6258178816727	A
HNSC-A6DJ-01	-7.3075923401833	2.8904822318278	-10.1980745720111	A
HNSC-5365-01	-6.60803567436651	2.65807003413525	-9.26610570850176	A
HNSC-6945-01	-18.6609340911018	3.70745391807784	-22.3683880091796	A
