,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
NK CD56bright cells,2.45993085547854e-15,5.55039494184939e-18,1.70220820619662e-24,2.08969357429153e-26,7.88648971327427e-05,4.14111712789604e-08,0.00156857932025203,5.3215768281301e-05,0.913182177328743,0.0140996779611627,0,9.66961916203700e-09,0.00748165608083181,1,1.89036545507817e-23,0.000420565447935891,0.0201396901455374,1,4.02540755891574e-13,3.73602069055528e-11,3.83334170500306e-26,1,1.89151134265308e-09,2.39348598217034e-28
NK CD56dim cells,2.26792676693843e-63,6.39410998561267e-11,5.32204333274866e-40,6.61025923989518e-104,5.33031614501954e-17,1.74340985839852e-19,4.38774831333591e-15,2.32741456869324e-14,1.90809970673441e-17,1.22303039022477e-38,8.79056287457909e-11,0,4.16417700383376e-21,1.62352158862283e-47,8.22443180253421e-46,1.60335208552497e-16,1,6.50071791155815e-09,6.83216111155505e-12,2.63168018150262e-35,5.43470211597912e-40,1.36669399662128e-06,2.71075538078981e-40,3.31025471413762e-19
NK cells,0.034871671313657,1.93622420115925e-10,9.99651609846483e-14,2.14380649055682e-08,1.14126928302501e-24,0.0067348139280259,1.22920284129869e-09,0.312300929445323,1.43679928605162e-24,0.000292212371352635,0.000128994070359169,2.2880093427658e-23,0,4.85075916905112e-24,0.30388213518981,1,1,3.33406876701078e-05,4.65682590598948e-10,0.276127371049062,2.60091627760374e-06,0.0633832316535489,1,0.000178524926087795
pDC,2.82402560982456e-24,0.519998943603569,2.65973753546001e-21,1.12361798920057e-24,1.40816796630408e-06,0.037677784934355,5.69864041225401e-05,0.144190140074158,7.72186851499689e-12,5.70141154537622e-05,0.786664779683272,6.70876689513568e-50,2.41331301942842e-26,0,0.000748532652118983,0.982789500829062,1,1.3794862729423e-19,1,4.37875797109471e-17,1.31582725036319e-06,0.00170587989920727,3.9894024342565e-07,1
T cells,4.18933402733538e-87,2.48390227660708e-54,2.68594165044697e-38,8.66376453125541e-158,2.33463569921435e-22,5.93505257712212e-30,3.48732144054082e-17,3.79682834567785e-43,8.25094769009535e-08,3.14655316763339e-24,9.59576373136129e-26,3.44118485461683e-48,0.00779184962025155,1.03962868349859e-05,0,1.05531756435843e-98,1.48853498167561e-08,2.47151293330378e-14,5.12514595290653e-50,4.49168431949831e-37,5.33889230611343e-129,0.346105575618503,6.72870602685124e-77,5.0288016598361e-53
T helper cells,6.64021536677205e-47,5.71432080979693e-19,1.24398754138096e-18,2.23713190473662e-54,9.50602357557884e-07,1.34163398600272e-24,4.25738181545739e-06,6.06915429646844e-30,3.87730239402567e-08,1.02332030262522e-16,5.60753930581188e-06,9.95870860574517e-19,0.808967016213273,0.0289055735537959,3.86563210387704e-101,0,1.49457377399289e-18,3.27600632063601e-15,5.71858428509492e-23,1.06758212447786e-20,1.61810218708645e-60,1,4.39113463469838e-49,3.7549900722079e-24
Tcm,0.000780140420447646,0.00153586852562582,0.0945176240903382,0.000690452869978935,0.995740695980154,7.83509043666926e-05,0.638692759311123,1.67780543107684e-08,0.086212932016656,0.0164505001730842,0.000379994153689385,0.370334788133156,0.370879220704488,0.0813336934311267,1.37827313118112e-10,8.79161043525229e-21,0,4.61343344936609e-68,1,1,6.0225753280837e-08,1,0.00170587989920727,0.00278774994540651
Tem,3.57719923941849e-11,1.32730162053856e-06,0.000676650483744933,2.46321274232106e-16,4.7786205323975e-05,0.00247554798319527,0.00156091487103536,2.72976534719981e-11,6.85740653156224e-08,0.000331635370528755,0.415656311892861,5.7528477093435e-11,3.96912948453664e-07,7.8827787025274e-22,1.68130131517264e-16,2.1552673162079e-17,1.76085246159011e-70,0,0.0283143337114171,4.89241245015953e-13,6.64011176268723e-18,1,2.34953611235168e-11,4.61847123010946e-08
TFH,2.92925127743628e-16,2.64930916527528e-54,7.47244744654582e-20,1.02854195017051e-30,9.73931260461247e-28,2.56614263520658e-13,4.39559382339047e-22,1.04482825522594e-20,1.95792954749558e-18,3.385272425367e-09,2.89597666109046e-15,5.13696324177072e-14,3.88068825499124e-12,0.0376847465623277,2.08339266378314e-52,2.94772385829635e-25,0.321151203875754,0.000555183013949355,0,2.51637455432692e-09,7.49154324009353e-53,1,1.02485898636083e-24,5.30834453647975e-20
Tgd,2.05402850506836e-39,1.74697569281988e-08,1.75484899066181e-25,8.64783537063675e-55,3.79353635807289e-05,8.54017390840013e-08,8.86606701376583e-07,6.70635539945798e-13,7.89850533777553e-06,4.44702121005123e-05,2.96509578615499e-13,1.1748572238851e-37,0.00684513443710127,2.66997437261873e-19,1.96143420065428e-39,5.89824378164566e-23,0.772178308680597,3.54522641315908e-15,2.1507474823307e-11,0,6.51655088232749e-27,1,6.61066013353881e-38,9.32058274871313e-11
Th1 cells,1.33791054316126e-87,2.45151499381605e-58,5.65045698676947e-33,3.41213476356499e-88,5.02637395590742e-36,1.46598696941917e-27,1.25111872725904e-22,8.70822183944896e-64,5.9801472259426e-13,2.67062122694556e-26,1.8167496232242e-28,2.31263919828899e-42,2.82708291043885e-08,1.35652293851875e-08,1.94141538404125e-131,6.29611745948036e-63,5.79093781546509e-10,3.95244747779002e-20,2.97283461908473e-55,3.07384475581485e-29,0,1,3.53975093650857e-92,3.80799915430221e-70
Th17 cells,3.12132896133678e-06,0.259285898708444,0.0103229670841562,0.00287935321310438,2.40264774536235e-05,8.1149602353943e-11,5.88704163623466e-06,0.35018818069164,0.00048238246188322,1.1882030943098e-10,0.666717367099855,1.42363957981384e-08,0.00134857939688402,2.4578201652546e-05,0.00910804146364482,0.71689735028435,0.477315665953213,0.605072186567432,0.769148927120415,0.279795741831919,0.89295836684774,0,1,1
Th2 cells,2.26743795974976e-75,2.24560670618265e-21,4.18817406334426e-14,3.41651720265438e-55,1.46746319462043e-17,3.0091357097008e-12,3.6983845962614e-16,7.32913157842286e-58,4.02885930274609e-09,1.24856420299649e-14,1.60297571411278e-11,1.14862516135162e-42,0.153639313861059,4.07081881046582e-09,2.53913434975518e-79,1.7996453420895e-51,2.40815168371635e-05,1.83557508777475e-13,4.97504362311082e-27,2.84942247135293e-40,1.30618115738324e-94,0.494785767057499,0,2.7068397300141e-38
TReg,1.47825689334227e-49,1.87005705456763e-31,6.32323871312112e-18,2.61404765446417e-39,1.02882784255503e-19,1.07934735101534e-17,2.95141540274157e-09,1.62876194912817e-27,0.120452110296311,2.14760557678404e-15,1.10298893187573e-30,1.91344203129342e-21,2.28878110368968e-06,0.0435814642213177,1.98766864025142e-55,1.8497488040433e-26,4.16082081403957e-05,4.35704833029194e-10,2.99906470987557e-22,7.5777095517993e-13,1.44790842368905e-72,0.0937730893301793,1.15676911539064e-40,0
