,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
NK CD56bright cells,0.0909079041307747,0.278764123853385,0.251532196987067,0.356198428410016,0.282372140608274,0.362855725728216,0.267945531742905,0.239592761359424,0.302515637947651,0.305109753072409,1,0.207933217352846,0.563966498558753,0.0500763781542996,0.367075797126055,0.297594915826746,0.0419136015726728,0.332914832157971,0.227507795917623,0.0858187703888769,0.41914272638949,-0.197685652480612,0.156362787565246,0.323173304083542
NK CD56dim cells,0.532767405227703,0.224161552478467,0.257054594227858,0.733944716081111,0.170346425706956,-0.193399604198467,0.562178795528132,0.310273894902327,0.289038340839392,0.254312864184691,0.207933217352846,1,0.204675580852346,0.180317356297828,0.496753955826839,0.179422250123069,-0.23401942240315,0.0689342996472077,0.229390844603574,0.540696595033951,0.262035795676667,0.162132879282047,0.373557392890114,0.134787470862002
NK cells,-0.065213681259784,0.541156687032222,0.402769721174033,0.403928009341392,0.51315393381361,0.42219853647299,0.325461439825468,0.43032383569969,0.450399395284832,0.484351995894316,0.563966498558753,0.204675580852346,1,-0.0564914330468133,0.427374724041495,0.269549225780831,-0.00949800346686571,0.339558342882173,0.325542540846207,0.0305112487435333,0.504897903641019,-0.135970300834366,-0.0186144646460269,0.308157783454346
pDC,0.286211817000371,-0.308834493662594,0.133530104775103,0.103178407349819,-0.191162908394569,-0.122473009266919,0.0187402044637069,-0.222306943114723,-0.244554275048896,-0.373680343506544,0.0500763781542996,0.180317356297828,-0.0564914330468133,1,-0.166776030217137,-0.37986412054593,0.0926580376657242,0.214129084883122,-0.123665857675216,0.359404519373744,-0.14188370106459,0.234448118840404,0.181524800755961,-0.0259398301127668
T cells,0.367179847596729,0.692669366876436,0.3614637455723,0.674182503383895,0.600113092975384,0.31178009340472,0.643832432202431,0.633064737871467,0.591658872159938,0.594251154592619,0.367075797126055,0.496753955826839,0.427374724041495,-0.166776030217137,1,0.670531331657964,-0.018737002657883,0.184936397152134,0.530437622694952,0.160296549773963,0.646818693205764,0.0154357369871957,0.179454479986591,0.383961822520934
T helper cells,0.0840455970473669,0.683323206096705,0.233343024895741,0.333913358318683,0.497181851736961,0.402016238872567,0.410799777151035,0.570589156209298,0.48100637015963,0.502514798997373,0.297594915826746,0.179422250123069,0.269549225780831,-0.37986412054593,0.670531331657964,1,0.229315327018813,0.212539037959768,0.482708886360105,-0.111752464900268,0.635031748747997,-0.186386361005028,0.153676546609569,0.387124299881478
Tcm,-0.13889638909936,0.223962820666954,0.0245828780289175,-0.219163752692634,0.0328876408055253,0.11718572363905,-0.0418518718180656,0.0407782223843835,0.144536737403478,0.00900549929358238,0.0419136015726728,-0.23401942240315,-0.00949800346686571,0.0926580376657242,-0.018737002657883,0.229315327018813,1,0.551545328649539,0.080621888992109,-0.2045855761478,0.0941168875014923,-0.019856713313745,0.0560429628329911,-0.0202368706982119
Tem,0.0649669199166466,0.291972630625055,0.322772443062822,0.191361351097714,0.327890208622994,0.221944798854549,0.257437108704816,0.196211613046935,0.111318362297103,0.194702389835343,0.332914832157971,0.0689342996472077,0.339558342882173,0.214129084883122,0.184936397152134,0.212539037959768,0.551545328649539,1,0.151076681824491,0.0983135083006631,0.346242433238892,-0.0804537044614341,0.0851242182482899,0.188548850404649
TFH,-0.0655953897731867,0.669984698361087,0.269509789822517,0.34795316657434,0.599002735773221,0.492962236714516,0.47757509280105,0.435704909531123,0.575955351323028,0.382570615956166,0.227507795917623,0.229390844603574,0.325542540846207,-0.123665857675216,0.530437622694952,0.482708886360105,0.080621888992109,0.151076681824491,1,0.0196403697581318,0.514796373064664,0.0278309513139902,-0.0573933126833955,0.176924177632936
Tgd,0.46539496769249,-0.0996612607195876,0.0618184373745315,0.410965385660436,-0.0903138169106915,-0.349581050894948,0.222784048785881,-0.0157406899207204,-0.0260254533796996,-0.138942022219612,0.0858187703888769,0.540696595033951,0.0305112487435333,0.359404519373744,0.160296549773963,-0.111752464900268,-0.2045855761478,0.0983135083006631,0.0196403697581318,1,0.00276883682520848,0.201263406545133,0.372949903868173,-0.00795100491394224
Th1 cells,0.177613887471228,0.735323457783072,0.404796446544068,0.441055178795179,0.721497279263421,0.530364649987439,0.610144351576646,0.734246871340271,0.51591886596032,0.617590383984724,0.41914272638949,0.262035795676667,0.504897903641019,-0.14188370106459,0.646818693205764,0.635031748747997,0.0941168875014923,0.346242433238892,0.514796373064664,0.00276883682520848,1,-0.334699329774822,0.09755857439383,0.564397152632412
Th17 cells,0.107993424338108,-0.0947043201124451,-0.232899024285602,0.103154739916152,-0.13112916731124,-0.233069985666048,-0.00661741295256248,-0.330387691704134,0.0148731228102555,-0.309941761131406,-0.197685652480612,0.162132879282047,-0.135970300834366,0.234448118840404,0.0154357369871957,-0.186386361005028,-0.019856713313745,-0.0804537044614341,0.0278309513139902,0.201263406545133,-0.334699329774822,1,-0.118719229962517,-0.325277694430449
Th2 cells,0.484214133129809,-0.047098096477002,0.00863844584437108,0.161507359292489,-0.110023403620266,-0.201982621573985,0.26854212520952,0.312939603011403,0.104585013593958,-0.00510852866162026,0.156362787565246,0.373557392890114,-0.0186144646460269,0.181524800755961,0.179454479986591,0.153676546609569,0.0560429628329911,0.0851242182482899,-0.0573933126833955,0.372949903868173,0.09755857439383,-0.118719229962517,1,0.206915582748188
TReg,0.14269813777566,0.386188838636635,0.524307750927727,0.33481122490087,0.359937426385339,0.221487909640362,0.356979126145675,0.467391564974865,0.278625707206459,0.399933133236585,0.323173304083542,0.134787470862002,0.308157783454346,-0.0259398301127668,0.383961822520934,0.387124299881478,-0.0202368706982119,0.188548850404649,0.176924177632936,-0.00795100491394224,0.564397152632412,-0.325277694430449,0.206915582748188,1
