,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
NK CD56bright cells,0.129562720358561,-0.0918707723102262,0.0962041947887184,0.273491696929286,0.0744596256145546,0.00365765846280824,0.205893221201177,-0.131203423535823,0.0685105951791891,0.0119542320834855,1,0.0498187531449512,0.25200049052414,-0.10455153603293,0.0641058161578669,-0.435389764956449,-0.367689720942103,-0.00840537914435992,0.096621301691429,-0.387395145267702,0.0282369614591409,0.210022938888625,-0.207230980042429,0.192366854248344
NK CD56dim cells,0.238474711653878,0.0668723525310192,0.0935650520809938,0.268887794545547,0.193417241546477,-0.0445271408101355,0.155023491233426,0.00118512827865704,-0.0194674117781363,0.100140786922479,0.0498187531449512,1,0.319375866227955,0.201155854422093,0.158067876355124,-0.253859875928261,-0.292186931304441,0.208278498985763,0.160941783224826,-0.219233172124322,0.0217990309503634,0.0402425714679973,-0.337794682445318,0.322708748905896
NK cells,0.118857070442893,-0.0946991197615786,0.0999046262059929,0.164759213272048,0.314363403833754,0.167626712018189,0.43677135328522,0.324235673812689,0.323258763249922,0.228466689337928,0.25200049052414,0.319375866227955,1,0.359441642661064,0.0235545336742615,-0.430012332135338,-0.312632651278585,0.39945539262498,0.15145589894756,-0.0802847130601945,0.164647948705766,-0.077782598262557,-0.519220866055356,0.382739162035776
pDC,0.220987542813676,0.167509490905204,0.113369062505041,0.237647650729375,0.418481407591846,0.139013674818465,0.327614800384715,0.349018752564915,0.307199342155614,0.326760175828621,-0.10455153603293,0.201155854422093,0.359441642661064,1,0.256290656831608,-0.114262208254871,-0.124510626852953,0.318097582992018,0.168588242566388,0.13292959255077,0.273668546013281,0.085002389242951,-0.293285859088533,0.357743345325242
T cells,0.721467079326833,0.550621161009533,0.55584812204195,0.820909772185029,0.578840624449029,0.10386020282745,0.514014658186989,0.48471154909806,0.363645526106294,0.345908140403906,0.0641058161578669,0.158067876355124,0.0235545336742615,0.256290656831608,1,0.271101145716419,0.00634958883264448,0.206026323110307,0.582810779654421,0.237839068295954,0.585739371997777,0.0771917124173876,0.183536311690056,0.582093018367528
T helper cells,0.130909128065567,0.253607625194265,0.187911329588163,0.0799298718850313,-0.00910929924846254,0.0409642248041308,-0.179293272329926,0.236551572082535,-0.0663303787341666,0.0821430549502393,-0.435389764956449,-0.253859875928261,-0.430012332135338,-0.114262208254871,0.271101145716419,1,0.696694803710329,0.0916347904436901,0.170274292609631,0.605528234840456,0.214415042450916,-0.233310720800652,0.623546046366032,-0.156569481683576
Tcm,-0.12767070594064,0.163767310633867,0.0189144092798175,-0.198528448218937,-0.190182958959217,0.206507434002095,-0.353012184637858,0.0905964582571267,-0.104109303474756,0.046146663749535,-0.367689720942103,-0.292186931304441,-0.312632651278585,-0.124510626852953,0.00634958883264448,0.696694803710329,1,0.246377779007251,0.146626176976409,0.474053779624462,0.103387636674868,-0.153488042231262,0.451848320863917,-0.238668984295084
Tem,0.186976763466813,0.203826862760046,0.152190602162115,0.194177802519502,0.358119381907658,0.297876996023946,0.288163236051028,0.406712854001249,0.289277255394161,0.416572225924663,-0.00840537914435992,0.208278498985763,0.39945539262498,0.318097582992018,0.206026323110307,0.0916347904436901,0.246377779007251,1,0.354384468421011,0.226625313170026,0.267529661774306,-0.0379853580716975,-0.15997318674529,0.307193991084934
TFH,0.343942521510415,0.573680198857135,0.366858760618883,0.480917651675771,0.378224758427647,0.21918618558927,0.381490057884899,0.348497282099794,0.318702192488483,0.269432696796456,0.096621301691429,0.160941783224826,0.15145589894756,0.168588242566388,0.582810779654421,0.170274292609631,0.146626176976409,0.354384468421011,1,0.13140939375415,0.332547851571483,0.0963110252642042,0.0383780567296052,0.392801127084178
Tgd,0.185198347953139,0.178948819164212,0.235530851226855,0.120533244334721,0.174367935705344,0.11320371185584,0.0322729161760851,0.46706609504542,0.214633348285788,0.301775735860086,-0.387395145267702,-0.219233172124322,-0.0802847130601945,0.13292959255077,0.237839068295954,0.605528234840456,0.474053779624462,0.226625313170026,0.13140939375415,1,0.354265584077698,-0.298022959952502,0.418987493599541,-0.0291142705094488
Th1 cells,0.584968731793408,0.183685987621066,0.381975835698176,0.620133397710928,0.601712628595116,0.187410431459573,0.432915888235022,0.703469325605019,0.366539872157013,0.605988069072174,0.0282369614591409,0.0217990309503634,0.164647948705766,0.273668546013281,0.585739371997777,0.214415042450916,0.103387636674868,0.267529661774306,0.332547851571483,0.354265584077698,1,-0.101741536582504,0.229521583915609,0.484881517216725
Th17 cells,-0.00153114067472676,0.0352142364243125,-0.0669995991492385,0.0774512418376401,0.0173457600393452,0.0272428488816398,0.0627585363356128,-0.19747679975742,0.00257618901876219,0.019149545791961,0.210022938888625,0.0402425714679973,-0.077782598262557,0.085002389242951,0.0771917124173876,-0.233310720800652,-0.153488042231262,-0.0379853580716975,0.0963110252642042,-0.298022959952502,-0.101741536582504,1,-0.135853280702932,0.0387227310106055
Th2 cells,0.185118663151245,0.0617811154894364,0.0649935985365005,0.1146171181815,-0.0725892554509477,-0.132955558886015,-0.23655218683605,0.129090855925268,-0.132370092370129,0.0658326185378462,-0.207230980042429,-0.337794682445318,-0.519220866055356,-0.293285859088533,0.183536311690056,0.623546046366032,0.451848320863917,-0.15997318674529,0.0383780567296052,0.418987493599541,0.229521583915609,-0.135853280702932,1,-0.191359323259976
TReg,0.581688816273092,0.262890720281181,0.295158918216024,0.563934845634281,0.64116123105952,0.124580526734007,0.590642094195233,0.439858191744356,0.431673144378211,0.356207018770495,0.192366854248344,0.322708748905896,0.382739162035776,0.357743345325242,0.582093018367528,-0.156569481683576,-0.238668984295084,0.307193991084934,0.392801127084178,-0.0291142705094488,0.484881517216725,0.0387227310106055,-0.191359323259976,1
