"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AKR1A1",6.07497985584509e-94,0.287060232281443,0.26,0.109,8.5371691914191e-90,"High.ISGs","AKR1A1"
"TAP1",1.10512765920646e-93,0.308998823084832,0.548,0.308,1.55303589948283e-89,"High.ISGs","TAP1"
"COX6C",4.726331116118e-93,-0.91627483483789,0.277,0.367,6.64191311748062e-89,"High.ISGs","COX6C"
"GPR183",8.18328114249623e-90,-0.960180625858749,0.285,0.392,1.149996498955e-85,"High.ISGs","GPR183"
"NDUFA4",2.6002063043864e-89,-0.778742188109145,0.378,0.449,3.65406991955421e-85,"High.ISGs","NDUFA4"
"ATP5A1",3.65203556023567e-88,-0.967074077882337,0.23,0.328,5.13220557279919e-84,"High.ISGs","ATP5A1"
"ATP5L",4.8360719464386e-87,-0.595459043928485,0.624,0.605,6.79613190633017e-83,"High.ISGs","ATP5L"
"TMA7",1.19857366852755e-86,-0.821432174915715,0.452,0.482,1.68435557638176e-82,"High.ISGs","TMA7"
"OAS2",9.46908412805389e-84,0.272103227739544,0.269,0.121,1.33069039251541e-79,"High.ISGs","OAS2"
"RNPS1",1.63499136338846e-83,-0.975158847660263,0.184,0.286,2.2976533629698e-79,"High.ISGs","RNPS1"
"EPSTI1",3.20069045122137e-83,0.321576432379378,0.53,0.32,4.49793029110139e-79,"High.ISGs","EPSTI1"
"SPG21",6.88336872056099e-83,0.267503177886964,0.288,0.132,9.67319806300435e-79,"High.ISGs","SPG21"
"EIF3M",2.24804327828656e-82,-0.919296521536742,0.195,0.296,3.15917521897611e-78,"High.ISGs","EIF3M"
"C19orf53",5.44245829341769e-81,-0.905091969301386,0.229,0.324,7.64828663973988e-77,"High.ISGs","C19orf53"
"COX7C",6.98474712182617e-80,-0.730658566092498,0.475,0.495,9.81566513030231e-76,"High.ISGs","COX7C"
"LSP1",5.87974579521788e-79,0.287664821791864,0.381,0.198,8.26280676601969e-75,"High.ISGs","LSP1"
"HNRNPDL",1.52724522025519e-78,-0.984773506321664,0.163,0.264,2.14623770802462e-74,"High.ISGs","HNRNPDL"
"NDUFV2",3.33329364946134e-78,-0.905363135784849,0.346,0.408,4.68427756558803e-74,"High.ISGs","NDUFV2"
"ATP6V1G1",1.27174239559532e-76,0.335460464236585,0.761,0.507,1.7871795885301e-72,"High.ISGs","ATP6V1G1"
"PARK7",4.33527191601426e-75,-0.827477380081399,0.34,0.406,6.09235762357484e-71,"High.ISGs","PARK7"
"RPS24",3.2560518159862e-74,-0.397956489392992,0.892,0.821,4.5757296170054e-70,"High.ISGs","RPS24"
"SERP1",3.81826174978962e-74,0.285841493608552,0.682,0.421,5.36580323697935e-70,"High.ISGs","SERP1"
"EIF3G",6.25203542128315e-74,-0.859247491552674,0.218,0.309,8.78598537752922e-70,"High.ISGs","EIF3G"
"NOP10",2.02446366711131e-73,0.267611252992653,0.611,0.358,2.84497879139153e-69,"High.ISGs","NOP10"
"PPA1",4.05046643224594e-73,-0.838619122654378,0.164,0.266,5.69212047723522e-69,"High.ISGs","PPA1"
"CSDE1",2.77026218726057e-72,-0.881686616996174,0.204,0.294,3.89304945175728e-68,"High.ISGs","CSDE1"
"ANKRD12",3.45447534558367e-72,-0.930289294875096,0.279,0.351,4.85457420314873e-68,"High.ISGs","ANKRD12"
"CORO1A",2.39908799658271e-70,-0.882250530153368,0.245,0.333,3.37143836159768e-66,"High.ISGs","CORO1A"
"SSR4",1.02048897457145e-68,-0.790842189931211,0.387,0.424,1.43409315596526e-64,"High.ISGs","SSR4"
"NUDC",1.09944726966223e-68,-0.957941262679122,0.205,0.29,1.54505324805633e-64,"High.ISGs","NUDC"
"PSME1",1.97172273478033e-67,-0.652416949100853,0.619,0.58,2.7708619591868e-63,"High.ISGs","PSME1"
"PTPRC",1.01007025771285e-66,-0.750729220237022,0.543,0.53,1.41945173316386e-62,"High.ISGs","PTPRC"
"IFITM2",2.24564522895515e-66,0.505828104164822,0.552,0.401,3.15580524025067e-62,"High.ISGs","IFITM2"
"ILF2",3.88927633099235e-66,-0.896104337610821,0.199,0.283,5.46560002794354e-62,"High.ISGs","ILF2"
"SON",1.31340614705608e-65,-0.89454103824893,0.208,0.29,1.84572965845791e-61,"High.ISGs","SON"
"VAMP8",2.40348116450657e-65,-0.846757962439015,0.219,0.303,3.37761208048109e-61,"High.ISGs","VAMP8"
"XRCC6",4.45798566074867e-65,-0.865995343448177,0.211,0.292,6.26480724905011e-61,"High.ISGs","XRCC6"
"EIF3K",1.01723479572961e-64,-0.728958996290372,0.434,0.458,1.42952005843882e-60,"High.ISGs","EIF3K"
"LY6E",1.88214096393307e-64,0.659564684775479,0.59,0.556,2.64497269661515e-60,"High.ISGs","LY6E"
"IFIT1",3.37675640737514e-64,0.968157611456875,0.509,0.479,4.74535577928429e-60,"High.ISGs","IFIT1"
"HLA-C",6.6644167937549e-64,-0.324563394939044,0.989,0.969,9.36550492026376e-60,"High.ISGs","HLA-C"
"HNRNPA0",6.14463218555613e-63,-0.822746651970133,0.3,0.361,8.63505161036202e-59,"High.ISGs","HNRNPA0"
"DDX58",1.04621028757344e-62,0.281993096245622,0.359,0.204,1.47023931712695e-58,"High.ISGs","DDX58"
"SEP15",7.47381109808973e-62,-0.853739765200032,0.238,0.31,1.05029467361455e-57,"High.ISGs","SEP15"
"MX2",7.7390268610809e-62,0.253784645520134,0.397,0.231,1.0875654447877e-57,"High.ISGs","MX2"
"ARID5A",8.73490358719789e-62,-0.931594698841915,0.208,0.288,1.22751600110892e-57,"High.ISGs","ARID5A"
"CCT4",1.2478895432786e-61,-0.904061045937218,0.225,0.301,1.75365917516942e-57,"High.ISGs","CCT4"
"PPM1K",1.30498421712542e-61,-0.950427338029779,0.162,0.25,1.83389432032636e-57,"High.ISGs","PPM1K"
"HSPD1",3.01267039765372e-60,-1.08456701925669,0.238,0.312,4.23370570982278e-56,"High.ISGs","HSPD1"
"SRSF2",4.41521501942123e-59,-1.08706526034873,0.174,0.254,6.20470166679265e-55,"High.ISGs","SRSF2"
"C14orf166",5.3335496697581e-59,-0.860471712266122,0.195,0.273,7.49523735091106e-55,"High.ISGs","C14orf166"
"EIF3I",2.27270132658704e-57,-0.834304686361272,0.205,0.281,3.19382717425276e-53,"High.ISGs","EIF3I"
"ATP5D",3.09845829357847e-57,-0.822472929491563,0.185,0.264,4.35426343996582e-53,"High.ISGs","ATP5D"
"DAD1",7.11671792817127e-56,-0.756368256438255,0.342,0.383,1.00011237044591e-51,"High.ISGs","DAD1"
"CCT3",2.123803887309e-55,-0.870008742488385,0.182,0.258,2.98458160283534e-51,"High.ISGs","CCT3"
"FXYD5",4.02890799022294e-55,-0.719860214016797,0.586,0.537,5.6618243986603e-51,"High.ISGs","FXYD5"
"ZFAS1",1.47680278150868e-54,-0.769914440820052,0.294,0.358,2.07535094885415e-50,"High.ISGs","ZFAS1"
"NOL7",3.49083492635217e-54,-0.858396046214364,0.173,0.25,4.90567032200271e-50,"High.ISGs","NOL7"
"CD69",7.02471102668959e-54,-1.23458158998676,0.17,0.252,9.87182640580688e-50,"High.ISGs","CD69"
"SRP14",9.22680565746035e-53,-0.424035931568025,0.788,0.703,1.2966429990429e-48,"High.ISGs","SRP14"
"ATP5O",1.81116817996918e-52,-0.74329196188565,0.346,0.381,2.54523464331069e-48,"High.ISGs","ATP5O"
"KRT10",3.62489845796739e-51,-0.815548654355878,0.217,0.285,5.09406980298158e-47,"High.ISGs","KRT10"
"CYTIP",5.45228187355608e-51,-0.707425581264943,0.478,0.491,7.66209171690836e-47,"High.ISGs","CYTIP"
"UBB",6.59529902154974e-51,-0.630628686972072,0.869,0.776,9.26837371498386e-47,"High.ISGs","UBB"
"SRSF7",8.69214754161577e-51,-0.927174790417715,0.396,0.422,1.22150749402326e-46,"High.ISGs","SRSF7"
"HNRNPK",1.1971273472638e-50,-0.654658572030608,0.48,0.47,1.68232306110982e-46,"High.ISGs","HNRNPK"
"OST4",9.64880801751915e-50,-0.605522582835034,0.505,0.485,1.35594699070197e-45,"High.ISGs","OST4"
"BUB3",1.0388715435638e-49,-0.796233686812839,0.179,0.25,1.45992618017021e-45,"High.ISGs","BUB3"
"IFIT3",2.14250360334971e-49,0.701682899057287,0.539,0.498,3.01086031378735e-45,"High.ISGs","IFIT3"
"SRSF3",2.99491295541547e-48,-0.861152829482114,0.305,0.349,4.20875117624537e-44,"High.ISGs","SRSF3"
"CHCHD2",5.39520084203016e-46,-0.497704481320194,0.681,0.606,7.58187574330498e-42,"High.ISGs","CHCHD2"
"HSPA8",8.29377796725038e-42,-0.591317457938509,0.713,0.68,1.1655246177377e-37,"High.ISGs","HSPA8"
"CYCS",1.24887202576173e-41,-0.872670530176817,0.231,0.283,1.75503985780295e-37,"High.ISGs","CYCS"
"CCT8",4.39410168096673e-41,-0.77109142980052,0.21,0.268,6.17503109226254e-37,"High.ISGs","CCT8"
"KMT2E",2.02339239810868e-40,-0.832082877891676,0.206,0.263,2.84347333706212e-36,"High.ISGs","KMT2E"
"COX7A2L",1.68205006974221e-38,-0.726210742615519,0.234,0.284,2.36378496300873e-34,"High.ISGs","COX7A2L"
"HSPE1",9.75808416256542e-37,-1.01764114892728,0.207,0.261,1.37130356736532e-32,"High.ISGs","HSPE1"
"HNRNPA3",1.64588587202173e-36,-0.781999452255054,0.274,0.309,2.31296341595214e-32,"High.ISGs","HNRNPA3"
"EIF3H",1.49528152217091e-35,-0.675460410201804,0.347,0.364,2.10131912310679e-31,"High.ISGs","EIF3H"
"NAP1L1",6.72576023969656e-35,-0.667584557869428,0.328,0.353,9.45171086484557e-31,"High.ISGs","NAP1L1"
"IFI16",1.27048505764983e-34,-0.697692950564366,0.381,0.397,1.78541265151531e-30,"High.ISGs","IFI16"
"MT2A",2.10237119750506e-33,0.32162121147118,0.463,0.344,2.95446224385386e-29,"High.ISGs","MT2A"
"DGUOK",7.53791191724171e-33,-0.717204654133451,0.204,0.253,1.05930276172998e-28,"High.ISGs","DGUOK"
"XBP1",1.23219893230894e-32,-0.805223320088821,0.23,0.276,1.73160915957375e-28,"High.ISGs","XBP1"
"UBXN1",4.1897224174334e-29,-0.595610833382797,0.397,0.392,5.88781691321915e-25,"High.ISGs","UBXN1"
"NDUFB11",1.12684497926827e-28,-0.649580917493491,0.286,0.311,1.5835552493657e-24,"High.ISGs","NDUFB11"
"ENO1",1.2866495487647e-28,-0.552019813390743,0.586,0.541,1.80812861087904e-24,"High.ISGs","ENO1"
"EVI2A",3.1996372552973e-28,-0.73335522624349,0.236,0.271,4.4964502348693e-24,"High.ISGs","EVI2A"
"SYF2",5.28045219310424e-28,-0.637736812659781,0.363,0.364,7.42061946696939e-24,"High.ISGs","SYF2"
"HNRNPC",4.00294764436053e-27,-0.74132411182374,0.235,0.268,5.62534232461985e-23,"High.ISGs","HNRNPC"
"SMDT1",1.29209479088511e-26,-0.650997811801521,0.221,0.261,1.81578080963085e-22,"High.ISGs","SMDT1"
"CD37",2.42539511544633e-26,-0.66577945168177,0.375,0.377,3.40840775573673e-22,"High.ISGs","CD37"
"CIRBP",5.42859941577969e-26,-0.660484754998981,0.339,0.345,7.6288107589952e-22,"High.ISGs","CIRBP"
"EIF2S2",7.93895306066678e-26,-0.703076635072776,0.251,0.281,1.1156610736155e-21,"High.ISGs","EIF2S2"
"RBM39",1.03230864735897e-25,-0.729166259414972,0.278,0.299,1.45070334213356e-21,"High.ISGs","RBM39"
"UQCRH",3.52314083226367e-25,-0.619628947661083,0.296,0.315,4.95106981158014e-21,"High.ISGs","UQCRH"
"ATP5G3",6.15919656844792e-25,-0.675778754495048,0.232,0.264,8.65551893763986e-21,"High.ISGs","ATP5G3"
"SSBP1",1.00223382407237e-24,-0.640617758301208,0.3,0.315,1.4084391929689e-20,"High.ISGs","SSBP1"
"C11orf58",2.33066431658169e-24,-0.590525357414361,0.454,0.416,3.27528256409224e-20,"High.ISGs","C11orf58"
"TMEM123",5.4240385858057e-24,-0.543856329414792,0.482,0.457,7.62240142463275e-20,"High.ISGs","TMEM123"
"GPBP1",5.85857254721587e-24,-0.685486169153106,0.295,0.311,8.23305200060247e-20,"High.ISGs","GPBP1"
"PCNP",6.54975052202747e-24,-0.651724838091684,0.242,0.269,9.2043644086052e-20,"High.ISGs","PCNP"
"SF3B5",8.64683506952012e-24,-0.673339960003769,0.217,0.252,1.21513973231966e-19,"High.ISGs","SF3B5"
"ATP5H",3.19597388490938e-23,-0.625146219548697,0.249,0.275,4.49130210046315e-19,"High.ISGs","ATP5H"
"CACYBP",8.96921595227384e-23,-0.867475397039958,0.29,0.308,1.26044391777304e-18,"High.ISGs","CACYBP"
"HERPUD1",1.47019647289611e-21,-0.926967909035683,0.356,0.354,2.06606710336091e-17,"High.ISGs","HERPUD1"
"SLC25A5",1.36181718777784e-20,-0.605272616804458,0.338,0.341,1.9137616939842e-16,"High.ISGs","SLC25A5"
"SSR2",2.22982175366193e-20,-0.56157512779584,0.376,0.366,3.13356851042112e-16,"High.ISGs","SSR2"
"PSMA5",1.0381105621728e-19,-0.570939497815425,0.405,0.381,1.45885677302143e-15,"High.ISGs","PSMA5"
"ITM2B",1.25877375194656e-19,-0.319550785797723,0.764,0.663,1.76895475361051e-15,"High.ISGs","ITM2B"
"PAIP2",5.32101974393866e-19,-0.585386013602661,0.367,0.351,7.477629046157e-15,"High.ISGs","PAIP2"
"TMEM59",8.58426257005764e-19,-0.422292404143442,0.577,0.496,1.2063464189702e-14,"High.ISGs","TMEM59"
"PPIA",1.07633062167516e-18,-0.574748914733317,0.345,0.337,1.5125674226401e-14,"High.ISGs","PPIA"
"SP100",1.71583125332871e-17,-0.613941667473801,0.401,0.375,2.41125766030284e-13,"High.ISGs","SP100"
"SNRPB",6.68008772731535e-17,-0.623087360576012,0.274,0.282,9.38752728319627e-13,"High.ISGs","SNRPB"
"UQCRB",5.99819440370813e-16,-0.537535317529553,0.342,0.338,8.42926259553103e-12,"High.ISGs","UQCRB"
"NEDD8",1.67277022838912e-15,-0.523220955406613,0.396,0.368,2.35074400195524e-11,"High.ISGs","NEDD8"
"UQCR11.1",1.91149752601996e-15,-0.516164706798628,0.391,0.362,2.68622747331585e-11,"High.ISGs","UQCR11.1"
"GDI2",3.84751922973427e-15,-0.629954224881389,0.265,0.272,5.40691877354557e-11,"High.ISGs","GDI2"
"H2AFZ",4.15090476838869e-15,-0.49342904066818,0.444,0.414,5.83326647101663e-11,"High.ISGs","H2AFZ"
"HNRNPU",1.43816027012378e-14,-0.578259669031795,0.328,0.317,2.02104662760495e-10,"High.ISGs","HNRNPU"
"PSMD4",1.80784499438875e-14,-0.603869934528876,0.278,0.279,2.54056457061451e-10,"High.ISGs","PSMD4"
"SRP9",7.55497318188811e-14,-0.579459419838676,0.275,0.276,1.06170038125074e-09,"High.ISGs","SRP9"
"GADD45GIP1",1.92882933370583e-13,-0.480310686021179,0.256,0.27,2.71058386265681e-09,"High.ISGs","GADD45GIP1"
"FAM96B",7.58690807106811e-13,-0.516926400943093,0.356,0.334,1.0661881912272e-08,"High.ISGs","FAM96B"
"YBX1",8.57715644140577e-13,-0.294664150040018,0.793,0.709,1.20534779471075e-08,"High.ISGs","YBX1"
"YPEL5",1.02965227036965e-12,-0.737859541128273,0.251,0.257,1.44697033555048e-08,"High.ISGs","YPEL5"
"PPDPF",1.35681966728568e-12,-0.428209446169625,0.52,0.452,1.90673867843657e-08,"High.ISGs","PPDPF"
"ATP5B",5.02441039500687e-12,-0.53618027210099,0.332,0.316,7.06080392810315e-08,"High.ISGs","ATP5B"
"UXT",1.10647121448235e-11,-0.531357152350358,0.26,0.262,1.55492399771204e-07,"High.ISGs","UXT"
"COX5A",3.6889702985827e-11,-0.662176750079847,0.294,0.286,5.18410996059827e-07,"High.ISGs","COX5A"
"EDF1",5.63096027058293e-11,-0.409478474571388,0.495,0.427,7.91318846825019e-07,"High.ISGs","EDF1"
"RABAC1",1.87387377524421e-10,-0.52047432452848,0.365,0.336,2.63335481635069e-06,"High.ISGs","RABAC1"
"NDUFB2",2.95646424442811e-10,-0.474016083691439,0.446,0.39,4.15471920269482e-06,"High.ISGs","NDUFB2"
"H2AFV",4.78759454013694e-10,-0.525203910436709,0.352,0.328,6.72800660725445e-06,"High.ISGs","H2AFV"
"IFI44L",2.32630356164564e-09,-0.54145030363575,0.376,0.36,3.26915439518062e-05,"High.ISGs","IFI44L"
"SELT",2.34062508900579e-09,-0.484308711442208,0.377,0.341,3.28928043757983e-05,"High.ISGs","SELT"
"UBE2I",1.70233588375769e-08,-0.497396481547064,0.335,0.308,0.000239229261744468,"High.ISGs","UBE2I"
"PDCD6",6.68269277712276e-08,-0.463429349613764,0.284,0.275,0.000939118815969061,"High.ISGs","PDCD6"
"SUMO1",5.4564264388811e-07,-0.471572560588586,0.357,0.318,0.0076679160745596,"High.ISGs","SUMO1"
"JAK1",5.7057986827908e-07,-0.517451370248332,0.398,0.346,0.00801835888892591,"High.ISGs","JAK1"
"CD164",9.50799840580545e-07,-0.479552738900861,0.439,0.377,0.0133615901596784,"High.ISGs","CD164"
"TMED9",1.27360560144738e-06,-0.485564887354424,0.312,0.288,0.01789797951714,"High.ISGs","TMED9"
"GBP2",1.40073026773599e-06,-0.444622399728817,0.41,0.369,0.0196844624524939,"High.ISGs","GBP2"
"CIB1",2.13157011965035e-06,-0.422432053320709,0.436,0.381,0.0299549548914464,"High.ISGs","CIB1"
"ATP5J",2.6614498466796e-06,-0.456231767230223,0.369,0.324,0.0374013546953885,"High.ISGs","ATP5J"
"IER2",3.04519991576955e-06,-0.445876081604812,0.455,0.401,0.0427941944163096,"High.ISGs","IER2"
"SPCS2",3.24197996614164e-06,-0.421785865254851,0.415,0.356,0.0455595444641885,"High.ISGs","SPCS2"
"LTB.1",0,2.81235676576523,0.541,0.089,0,"Low.ISGs","LTB"
"CD3D.1",0,2.56397969369069,0.481,0.058,0,"Low.ISGs","CD3D"
"GIMAP7.1",0,2.5555522613604,0.643,0.225,0,"Low.ISGs","GIMAP7"
"LDHB.1",0,2.49948999366004,0.579,0.113,0,"Low.ISGs","LDHB"
"SELL.1",0,2.41766338912143,0.487,0.14,0,"Low.ISGs","SELL"
"CD7.1",0,2.38223892963294,0.403,0.045,0,"Low.ISGs","CD7"
"NPM1.1",0,2.35129496785427,0.741,0.283,0,"Low.ISGs","NPM1"
"CXCR4.1",0,2.23594317871006,0.745,0.346,0,"Low.ISGs","CXCR4"
"CCR7.1",0,2.195757407893,0.683,0.142,0,"Low.ISGs","CCR7"
"OCIAD2.1",0,2.17062739532632,0.423,0.047,0,"Low.ISGs","OCIAD2"
"RPL3.1",0,2.16205724457914,0.981,0.909,0,"Low.ISGs","RPL3"
"PTMA.1",0,2.15441974607509,0.987,0.776,0,"Low.ISGs","PTMA"
"RPSA.1",0,2.14907056964327,0.845,0.482,0,"Low.ISGs","RPSA"
"CD2.1",0,2.10008378626232,0.376,0.054,0,"Low.ISGs","CD2"
"RPL5.1",0,2.03124023345605,0.83,0.453,0,"Low.ISGs","RPL5"
"RPS5.1",0,2.01239748428162,0.939,0.726,0,"Low.ISGs","RPS5"
"RPS6.1",0,1.98952752922162,0.994,0.938,0,"Low.ISGs","RPS6"
"RPL10A.1",0,1.97371827788051,0.892,0.593,0,"Low.ISGs","RPL10A"
"RPS18.1",0,1.96586491526933,0.993,0.966,0,"Low.ISGs","RPS18"
"EIF4A2.1",0,1.94841052146384,0.581,0.225,0,"Low.ISGs","EIF4A2"
"TRAT1.1",0,1.93029964841245,0.294,0.034,0,"Low.ISGs","TRAT1"
"RPL21.1",0,1.91856706995689,0.996,0.952,0,"Low.ISGs","RPL21"
"RPLP0.1",0,1.91731763599008,0.87,0.592,0,"Low.ISGs","RPLP0"
"RPS27.1",0,1.86900913138723,0.977,0.866,0,"Low.ISGs","RPS27"
"RPS15A.1",0,1.86817730135016,0.967,0.82,0,"Low.ISGs","RPS15A"
"GTF3A.1",0,1.86310148725018,0.402,0.103,0,"Low.ISGs","GTF3A"
"ZFP36L2.1",0,1.84389970406161,0.481,0.188,0,"Low.ISGs","ZFP36L2"
"RPL13A.1",0,1.83769304009194,0.994,0.968,0,"Low.ISGs","RPL13A"
"RPL13.1",0,1.83669147906424,0.994,0.985,0,"Low.ISGs","RPL13"
"RPS3.1",0,1.81243027661828,0.99,0.944,0,"Low.ISGs","RPS3"
"RPS27A.1",0,1.79255632930977,0.989,0.941,0,"Low.ISGs","RPS27A"
"CLEC2D.1",0,1.79134238677437,0.369,0.07,0,"Low.ISGs","CLEC2D"
"RPL31.1",0,1.78138975610911,0.953,0.838,0,"Low.ISGs","RPL31"
"GIMAP5.1",0,1.76414979727305,0.366,0.114,0,"Low.ISGs","GIMAP5"
"RPS14.1",0,1.73615570040222,0.991,0.962,0,"Low.ISGs","RPS14"
"RPL34.1",0,1.73134267128437,0.979,0.924,0,"Low.ISGs","RPL34"
"PTPRCAP.1",0,1.72542336432285,0.274,0.029,0,"Low.ISGs","PTPRCAP"
"RPL14.1",0,1.72508547734115,0.949,0.771,0,"Low.ISGs","RPL14"
"RPL7.1",0,1.71796174474286,0.988,0.891,0,"Low.ISGs","RPL7"
"RPL32.1",0,1.70142238686902,0.99,0.973,0,"Low.ISGs","RPL32"
"RPS4X.1",0,1.69801852471242,0.986,0.958,0,"Low.ISGs","RPS4X"
"RPL18.1",0,1.69709407149647,0.954,0.799,0,"Low.ISGs","RPL18"
"RPS3A.1",0,1.69575271088883,0.988,0.917,0,"Low.ISGs","RPS3A"
"RPL35.1",0,1.69029077541878,0.901,0.69,0,"Low.ISGs","RPL35"
"RPL23A.1",0,1.68930497392878,0.97,0.878,0,"Low.ISGs","RPL23A"
"RPL36.1",0,1.68891979083759,0.834,0.591,0,"Low.ISGs","RPL36"
"RPS25.1",0,1.67219169607039,0.895,0.709,0,"Low.ISGs","RPS25"
"SNRPD2.1",0,1.67066017516758,0.518,0.223,0,"Low.ISGs","SNRPD2"
"RPL9.1",0,1.64237184295589,0.962,0.857,0,"Low.ISGs","RPL9"
"EEF1B2.1",0,1.64023171015679,0.688,0.421,0,"Low.ISGs","EEF1B2"
"RPS12.1",0,1.63615027405645,0.97,0.928,0,"Low.ISGs","RPS12"
"RPS8.1",0,1.62492435147242,0.93,0.809,0,"Low.ISGs","RPS8"
"TMEM66.1",0,1.59862351580899,0.826,0.639,0,"Low.ISGs","TMEM66"
"PABPC1.1",0,1.57501020610432,0.888,0.827,0,"Low.ISGs","PABPC1"
"RPL18A.1",0,1.57141578506452,0.987,0.949,0,"Low.ISGs","RPL18A"
"RPL35A.1",0,1.56837789762233,0.954,0.859,0,"Low.ISGs","RPL35A"
"RPS2.1",0,1.54967912906845,0.995,0.985,0,"Low.ISGs","RPS2"
"RPL27A.1",0,1.54736518519386,0.956,0.875,0,"Low.ISGs","RPL27A"
"BTG1.1",0,1.54631617385358,0.879,0.59,0,"Low.ISGs","BTG1"
"EIF3E.1",0,1.543538248268,0.434,0.174,0,"Low.ISGs","EIF3E"
"RPS19.1",0,1.53226150433136,0.994,0.974,0,"Low.ISGs","RPS19"
"RPL7A.1",0,1.52501788085584,0.837,0.632,0,"Low.ISGs","RPL7A"
"GLTSCR2.1",0,1.50887233879533,0.564,0.314,0,"Low.ISGs","GLTSCR2"
"RPS23.1",0,1.48339757850985,0.946,0.859,0,"Low.ISGs","RPS23"
"EEF2.1",0,1.48050540829879,0.624,0.377,0,"Low.ISGs","EEF2"
"RPS15.1",0,1.47972376579043,0.97,0.912,0,"Low.ISGs","RPS15"
"ARHGDIB.1",0,1.47437321514368,0.735,0.466,0,"Low.ISGs","ARHGDIB"
"RPL4.1",0,1.46726369094139,0.767,0.538,0,"Low.ISGs","RPL4"
"RPS7.1",0,1.46725174759368,0.936,0.783,0,"Low.ISGs","RPS7"
"HINT1.1",0,1.46013503817397,0.665,0.419,0,"Low.ISGs","HINT1"
"RPL19.1",0,1.43243052203661,0.984,0.956,0,"Low.ISGs","RPL19"
"RPL10.1",0,1.40810252330479,0.992,0.987,0,"Low.ISGs","RPL10"
"RPS13.1",0,1.4064704975525,0.976,0.926,0,"Low.ISGs","RPS13"
"RPL11.1",0,1.39662436781441,0.985,0.97,0,"Low.ISGs","RPL11"
"RPLP2.1",0,1.39039227647994,0.968,0.95,0,"Low.ISGs","RPLP2"
"RPS29.1",0,1.38748162947469,0.523,0.306,0,"Low.ISGs","RPS29"
"RPS20.1",0,1.38711087127621,0.902,0.798,0,"Low.ISGs","RPS20"
"RPL15.1",0,1.37416894908806,0.994,0.941,0,"Low.ISGs","RPL15"
"RPL30.1",0,1.36271420706993,0.948,0.898,0,"Low.ISGs","RPL30"
"HNRNPA1.1",0,1.34106882678583,0.626,0.421,0,"Low.ISGs","HNRNPA1"
"RPL6.1",0,1.33039481643613,0.927,0.743,0,"Low.ISGs","RPL6"
"RPL12.1",0,1.27896728544675,0.946,0.934,0,"Low.ISGs","RPL12"
"RPL24.1",0,1.278752033881,0.883,0.753,0,"Low.ISGs","RPL24"
"RPL29.1",0,1.2557957444301,0.921,0.845,0,"Low.ISGs","RPL29"
"RPL27.1",0,1.2555338902394,0.852,0.736,0,"Low.ISGs","RPL27"
"RPS10.1",0,1.23552790299664,0.722,0.568,0,"Low.ISGs","RPS10"
"GNB2L1.1",0,1.2273642770889,0.9,0.786,0,"Low.ISGs","GNB2L1"
"RPL26.1",0,1.20041515016209,0.964,0.911,0,"Low.ISGs","RPL26"
"RPS28.1",0,1.19894662172113,0.798,0.723,0,"Low.ISGs","RPS28"
"RPL37A.1",0,1.1899508525553,0.652,0.499,0,"Low.ISGs","RPL37A"
"RPL37.1",0,1.15764447338277,0.674,0.539,0,"Low.ISGs","RPL37"
"RPLP1.1",0,1.15445602858158,0.998,0.994,0,"Low.ISGs","RPLP1"
"RPL8.1",0,1.08343203252174,0.97,0.943,0,"Low.ISGs","RPL8"
"BTF3.1",0,1.07555880217724,0.819,0.699,0,"Low.ISGs","BTF3"
"NACA.1",0,1.04125150611408,0.885,0.779,0,"Low.ISGs","NACA"
"EEF1D.1",0,1.03683350787291,0.851,0.806,0,"Low.ISGs","EEF1D"
"RPS16.1",0,1.00308883415667,0.917,0.907,0,"Low.ISGs","RPS16"
"MALAT1.1",0,0.825300560588488,1,1,0,"Low.ISGs","MALAT1"
"RPS9.1",0,0.792580581251689,0.955,0.979,0,"Low.ISGs","RPS9"
"TMSB4X.1",0,0.632518211563658,0.999,0.998,0,"Low.ISGs","TMSB4X"
"H3F3B.1",0,-0.465180355897824,0.975,0.999,0,"Low.ISGs","H3F3B"
"SERF2.1",0,-0.565456617357206,0.774,0.976,0,"Low.ISGs","SERF2"
"CD74.1",0,-0.693012594010409,0.498,0.946,0,"Low.ISGs","CD74"
"ARPC3.1",0,-0.729900288278983,0.554,0.913,0,"Low.ISGs","ARPC3"
"ARPC2.1",0,-0.753323639308213,0.698,0.96,0,"Low.ISGs","ARPC2"
"LAPTM5.1",0,-0.758141921364314,0.463,0.873,0,"Low.ISGs","LAPTM5"
"VPS29.1",0,-0.759420672838666,0.193,0.56,0,"Low.ISGs","VPS29"
"MGAT1.1",0,-0.815462953893469,0.071,0.349,0,"Low.ISGs","MGAT1"
"GNB2.1",0,-0.825301690345236,0.093,0.41,0,"Low.ISGs","GNB2"
"SFT2D1.1",0,-0.842721594972843,0.125,0.468,0,"Low.ISGs","SFT2D1"
"RIT1.1",0,-0.843197936762638,0.031,0.26,0,"Low.ISGs","RIT1"
"GCH1.1",0,-0.879089272322559,0.039,0.265,0,"Low.ISGs","GCH1"
"BLVRA.1",0,-0.87978537603949,0.053,0.297,0,"Low.ISGs","BLVRA"
"TNFRSF1A.1",0,-0.888124573866599,0.028,0.265,0,"Low.ISGs","TNFRSF1A"
