"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"OLR1",0,1.68497986424137,0.365,0.006,0,"High.ISGs","OLR1"
"TXN",0,1.6798119990448,0.747,0.258,0,"High.ISGs","TXN"
"IER3",0,1.67695053466166,0.331,0.014,0,"High.ISGs","IER3"
"ATP6V1F",0,1.67466516272876,0.869,0.357,0,"High.ISGs","ATP6V1F"
"CEBPB",0,1.66386339879468,0.638,0.157,0,"High.ISGs","CEBPB"
"NFKBIA",0,1.66290693309747,0.861,0.35,0,"High.ISGs","NFKBIA"
"CLEC4E",0,1.65589512010359,0.321,0.004,0,"High.ISGs","CLEC4E"
"SLAMF7",0,1.65463694773113,0.414,0.034,0,"High.ISGs","SLAMF7"
"CLIC1",0,1.65397457875164,0.955,0.39,0,"High.ISGs","CLIC1"
"CAPG",0,1.62986357428272,0.537,0.081,0,"High.ISGs","CAPG"
"DEFB1",0,1.60636740475963,0.265,0.002,0,"High.ISGs","DEFB1"
"DUSP1",0,1.60419139441855,0.494,0.059,0,"High.ISGs","DUSP1"
"EMP3",0,1.60153435669915,0.988,0.603,0,"High.ISGs","EMP3"
"CCR1",0,1.58849338052219,0.38,0.01,0,"High.ISGs","CCR1"
"LIMS1",0,1.58600527373855,0.599,0.108,0,"High.ISGs","LIMS1"
"C5AR1",0,1.58376259700907,0.348,0.004,0,"High.ISGs","C5AR1"
"MNDA",0,1.56082240341185,0.395,0.034,0,"High.ISGs","MNDA"
"LILRB2",0,1.54926610961897,0.378,0.006,0,"High.ISGs","LILRB2"
"FCGRT",0,1.54302837867717,0.414,0.017,0,"High.ISGs","FCGRT"
"SNX10",0,1.50797764474101,0.375,0.03,0,"High.ISGs","SNX10"
"ACTB",0,1.50293602422589,0.995,0.84,0,"High.ISGs","ACTB"
"CLEC5A",0,1.50292944365892,0.256,0.004,0,"High.ISGs","CLEC5A"
"HLA-DPA1",0,1.49566562709646,0.746,0.251,0,"High.ISGs","HLA-DPA1"
"MGST1",0,1.47769537097456,0.31,0.006,0,"High.ISGs","MGST1"
"STX11",0,1.47538224849805,0.486,0.059,0,"High.ISGs","STX11"
"HLA-DPB1",0,1.45846177721773,0.739,0.255,0,"High.ISGs","HLA-DPB1"
"HSPB1",0,1.4489266381432,0.581,0.122,0,"High.ISGs","HSPB1"
"SLC16A3",0,1.44410568587055,0.463,0.056,0,"High.ISGs","SLC16A3"
"GPX4",0,1.43900593101406,0.76,0.281,0,"High.ISGs","GPX4"
"SQRDL",0,1.42924201638038,0.61,0.107,0,"High.ISGs","SQRDL"
"ARPC1B",0,1.42476827027444,0.912,0.415,0,"High.ISGs","ARPC1B"
"STXBP2",0,1.42328237133818,0.493,0.079,0,"High.ISGs","STXBP2"
"SLC7A11",0,1.42249999383137,0.31,0.008,0,"High.ISGs","SLC7A11"
"COTL1",0,1.42124474666015,0.69,0.2,0,"High.ISGs","COTL1"
"DRAM1",0,1.41028295755584,0.329,0.015,0,"High.ISGs","DRAM1"
"NCF1",0,1.40980800293773,0.318,0.019,0,"High.ISGs","NCF1"
"ATP6V1B2",0,1.40747838825492,0.478,0.058,0,"High.ISGs","ATP6V1B2"
"TALDO1",0,1.40200404814959,0.696,0.219,0,"High.ISGs","TALDO1"
"NAGK",0,1.39026062624676,0.484,0.078,0,"High.ISGs","NAGK"
"VAMP5",0,1.37239233714875,0.417,0.126,0,"High.ISGs","VAMP5"
"BRI3",0,1.36868759168847,0.42,0.039,0,"High.ISGs","BRI3"
"IFNGR2",0,1.36479466510911,0.432,0.052,0,"High.ISGs","IFNGR2"
"SMCO4",0,1.33798118270855,0.342,0.017,0,"High.ISGs","SMCO4"
"RAB32",0,1.32832672257307,0.324,0.009,0,"High.ISGs","RAB32"
"CCRL2",0,1.32579396182219,0.302,0.009,0,"High.ISGs","CCRL2"
"CYBA",0,1.3244798429476,0.977,0.544,0,"High.ISGs","CYBA"
"HES4",0,1.32337659897123,0.281,0.037,0,"High.ISGs","HES4"
"DYNLT1",0,1.31890807828963,0.784,0.387,0,"High.ISGs","DYNLT1"
"DUSP6",0,1.31586526271614,0.291,0.005,0,"High.ISGs","DUSP6"
"GAPDH",0,1.31421257936505,0.964,0.579,0,"High.ISGs","GAPDH"
"LYN",0,1.29913872086504,0.401,0.044,0,"High.ISGs","LYN"
"HCK",0,1.29906405956961,0.319,0.007,0,"High.ISGs","HCK"
"CREG1",0,1.29815220623866,0.346,0.027,0,"High.ISGs","CREG1"
"GLRX",0,1.29418024504414,0.596,0.182,0,"High.ISGs","GLRX"
"PPIF",0,1.29070055962243,0.269,0.025,0,"High.ISGs","PPIF"
"GAPT",0,1.28463040106576,0.271,0.012,0,"High.ISGs","GAPT"
"SLC43A2",0,1.27990446424092,0.303,0.011,0,"High.ISGs","SLC43A2"
"TGFBI",0,1.25972902780132,0.256,0.005,0,"High.ISGs","TGFBI"
"GRB2",0,1.25829029643209,0.602,0.136,0,"High.ISGs","GRB2"
"CTSZ",0,1.25377041408508,0.317,0.016,0,"High.ISGs","CTSZ"
"CASP1",0,1.25009966122169,0.64,0.168,0,"High.ISGs","CASP1"
"SH3BGRL3",0,1.24575502618485,0.982,0.71,0,"High.ISGs","SH3BGRL3"
"MXD1",0,1.2411060822619,0.308,0.016,0,"High.ISGs","MXD1"
"PDE4DIP",0,1.23399440622629,0.311,0.016,0,"High.ISGs","PDE4DIP"
"GBP1",0,1.23398174122749,0.635,0.301,0,"High.ISGs","GBP1"
"ASAH1",0,1.21218191309583,0.414,0.066,0,"High.ISGs","ASAH1"
