,Gene1,Gene2,mutex_q,log_odds
228,PTPN11,NRAS,0.0154457778104906,-3.09742226797974
229,PTPN11,PDS5B,0.504620764972555,0
230,PTPN11,PHF6,0.733248810984856,0.381367556529104
231,PTPN11,PML.RARA,0.385018220721057,0
232,RAD21,ASXL1,0.234475859740236,0
233,RAD21,BCOR,0.354502655582111,0
234,RAD21,BCORL1,0.675411609784577,0
235,RAD21,CBFB.MYH11,0.401100206652685,0
236,RAD21,CEBPA,0.992509148750116,1.94386724742551
237,RAD21,DNMT3A,0.620701414443311,0.403628560300863
238,RAD21,EZH2,0.540642044979104,0
239,RAD21,FLT3,0.735045689225447,0.558557026587181
240,RAD21,FLT3_ITD,0.415159094577569,-0.0252559248814514
241,RAD21,GATA2,0.979497571490921,1.65225790961703
242,RAD21,IDH1,0.771815411705906,0.660086318299057
243,RAD21,IDH2,0.107871622602389,0
244,RAD21,JAK2,0.491938986813367,0
245,RAD21,KIT,0.705339698815842,0
246,RAD21,KRAS,0.435916583406668,0
247,RAD21,MLLT3.KMT2A,0.64943345522122,0
248,RAD21,NPM1,0.953100118847188,1.46254679261965
249,RAD21,NRAS,0.306147119819572,-0.660394394088138
250,RAD21,PDS5B,0.675411609784577,0
251,RAD21,PHF6,0.586299585566297,0
252,RAD21,PML.RARA,0.586299585566297,0
253,RAD21,PTPN11,0.75623102573291,0.457505986233208
254,RUNX1,ASXL1,0.943434179091262,1.10235527494694
255,RUNX1,BCOR,0.99999730881483,2.13441820370677
256,RUNX1,BCORL1,0.99999730881483,2.71481737549679
257,RUNX1,CBFB.MYH11,0.019275395519158,-3.09742226797974
258,RUNX1,CEBPA,0.043407210342988,-1.44383235363208
259,RUNX1,DNMT3A,0.0108009766129027,-0.644913368447318
260,RUNX1,EZH2,0.979497571490921,1.42638881832177
261,RUNX1,FLT3,0.0215418824618952,-1.13896358419168
262,RUNX1,FLT3_ITD,0.205738461725215,0.0720198527898599
263,RUNX1,GATA2,0.810396629728103,0.826678573184468
264,RUNX1,IDH1,0.455247113124952,0.24424609935385
265,RUNX1,IDH2,0.392521579750229,0.246495141844957
266,RUNX1,JAK2,0.949143946795095,1.26786176389471
267,RUNX1,KIT,0.234475859740236,0
268,RUNX1,KRAS,0.638003538484973,0.456758402495715
269,RUNX1,MLLT3.KMT2A,0.172380207720688,0
270,RUNX1,NPM1,9.10406812411124e-10,-3.09742226797974
271,RUNX1,NRAS,0.0436773621027477,-0.550235319249987
272,RUNX1,PDS5B,0.485854580059394,-0.265703165733006
273,RUNX1,PHF6,0.988003916014292,1.72059974965601
274,RUNX1,PML.RARA,0.105595615035315,0
275,RUNX1,PTPN11,0.247707814164514,-0.417325884661355
276,RUNX1,RAD21,0.361699282161728,-0.534610528789433
277,SF3B1,ASXL1,0.272344248031246,-0.684526437516038
278,SF3B1,BCOR,0.183448967357946,0
279,SF3B1,BCORL1,0.538286694887175,0
280,SF3B1,CBFB.MYH11,0.234475859740236,0
281,SF3B1,CEBPA,0.426775667857201,-0.357513166955121
282,SF3B1,DNMT3A,0.0442187278922582,-1.07696917778862
283,SF3B1,EZH2,0.886560807717636,1.07451473708905
284,SF3B1,FLT3,0.239128836609552,-0.784118958765672
285,SF3B1,FLT3_ITD,0.982078516728343,1.44403535580941
286,SF3B1,GATA2,0.886560807717636,1.07451473708905
287,SF3B1,IDH1,0.0816461990535851,-3.09742226797974
288,SF3B1,IDH2,0.0240707459068389,-3.09742226797974
289,SF3B1,JAK2,0.64943345522122,0.156881056950116
290,SF3B1,KIT,0.563202431868345,0
291,SF3B1,KRAS,0.253889742695668,0
292,SF3B1,MLLT3.KMT2A,0.499162675904215,0
293,SF3B1,NPM1,0.0218068795152621,-1.26323426836266
294,SF3B1,NRAS,0.594524608362283,0.378796861026003
295,SF3B1,PDS5B,0.836796130516655,0.816972530672291
