gene,immune_cells,cor,p.value
GRAP2,pDC,0.290438963934371,5.52526225637499e-14
GRAP2,T.cells,0.658153197154321,3.45327047641785e-81
GRAP2,T.helper.cells,0.253585947599233,6.5849725312256e-11
GRAP2,Tcm,0.0865791856897868,0.0280210391759558
GRAP2,Tem,0.29101075264871,4.90794871152075e-14
GRAP2,TFH,0.490584257118959,2.64765841113569e-40
GRAP2,Tgd,0.236070233398152,1.31887918629589e-09
GRAP2,Th1.cells,0.425021253251651,1.23441657740324e-29
GRAP2,Th17.cells,0.151387013502159,0.00011499539006969
GRAP2,Th2.cells,0.0685366332281852,0.0822231842232564
GRAP2,TReg,0.520104140632394,6.45124854260993e-46
SYNPO2L,aDC,0.0529645911747088,0.179459273556639
SYNPO2L,B.cells,-0.0233610097283335,0.554007958696373
SYNPO2L,CD8.T.cells,0.0814945577099964,0.0386849762967527
SYNPO2L,Cytotoxic.cells,0.0646875951310658,0.100981038701228
SYNPO2L,DC,0.113663463393928,0.0038743282270376
SYNPO2L,Eosinophils,0.049211129746251,0.212335894217637
SYNPO2L,iDC,0.0936661617967089,0.017426103341188
SYNPO2L,Macrophages,0.28375275880451,2.16477560748e-13
SYNPO2L,Mast.cells,0.17184493454499,1.15919223886692e-05
SYNPO2L,Neutrophils,0.195315885661945,5.87996536276737e-07
SYNPO2L,NK.CD56bright.cells,-0.00536530588493773,0.891906135808553
SYNPO2L,NK.CD56dim.cells,-0.0804783046177427,0.0411857373399416
SYNPO2L,NK.cells,0.228977935347059,4.15788041975275e-09
SYNPO2L,pDC,0.108924846249722,0.00565626380300146
SYNPO2L,T.cells,0.0213241491802202,0.589089204876114
SYNPO2L,T.helper.cells,0.0393295182006376,0.318998583847872
SYNPO2L,Tcm,0.0974226939324497,0.0133836601038604
SYNPO2L,Tem,0.256516894031116,3.89806174599153e-11
SYNPO2L,TFH,0.0510376720152165,0.195832026474147
SYNPO2L,Tgd,0.240476198767931,6.34215293577575e-10
SYNPO2L,Th1.cells,0.19192461667448,9.26098519502792e-07
SYNPO2L,Th17.cells,-0.180673746547737,3.94797219915168e-06
SYNPO2L,Th2.cells,-0.0115848221286258,0.769194619529747
SYNPO2L,TReg,0.10334396583977,0.00867734419292369
SLC39A14,aDC,0.13321400072507,0.000701118940495095
SLC39A14,B.cells,0.00332509670858386,0.932883268321629
SLC39A14,CD8.T.cells,0.189629603038815,1.25370187854145e-06
SLC39A14,Cytotoxic.cells,0.083813032455881,0.0334577422281685
SLC39A14,DC,0.0212172826897998,0.590957681690418
SLC39A14,Eosinophils,0.0914493025135693,0.0202825320033996
SLC39A14,iDC,-0.0598871447136269,0.128970113633203
SLC39A14,Macrophages,0.0499101472903544,0.205905265511703
SLC39A14,Mast.cells,0.0735737177542999,0.062042216535133
SLC39A14,Neutrophils,0.166780997567803,2.09952702033063e-05
SLC39A14,NK.CD56bright.cells,-0.0179372047211089,0.64957876264098
SLC39A14,NK.CD56dim.cells,0.0788109202929598,0.0455843487454699
SLC39A14,NK.cells,-0.0680893838994909,0.0842463352234058
SLC39A14,pDC,-0.0670197516421444,0.0892480788534508
SLC39A14,T.cells,0.0474370145091368,0.229303631732812
SLC39A14,T.helper.cells,0.170584160046677,1.3461170845845e-05
SLC39A14,Tcm,0.23631796758504,1.26617464146294e-09
SLC39A14,Tem,0.0945359616446959,0.016405398499191
SLC39A14,TFH,0.0224889722340128,0.568901909947747
SLC39A14,Tgd,0.229810558155278,3.64054278063577e-09
SLC39A14,Th1.cells,0.0700217077265248,0.0757857482689162
SLC39A14,Th17.cells,0.0306798893415803,0.437017935322511
SLC39A14,Th2.cells,0.174165396312277,8.77882993527773e-06
SLC39A14,TReg,-0.0472161636521732,0.231481408414496
KIAA2026,aDC,-0.122454819629055,0.00185044409636917
KIAA2026,B.cells,0.0693464713854057,0.0786599718222288
KIAA2026,CD8.T.cells,0.0179717714473781,0.648948692013182
KIAA2026,Cytotoxic.cells,-0.248424651578635,1.63150943869599e-10
KIAA2026,DC,-0.212826261300375,4.95199633173263e-08
KIAA2026,Eosinophils,0.136078553230505,0.000534789669226111
