GenePairs,frac.of.var.tissue,frac.of.var.species,frac.of.var.residual
NDUFAF4_Ndufaf4,0.127875771653513,0.699919522000713,0.172204706345774
NSD1_Nsd1,0.0448978444801477,0.627356046647059,0.327746108872793
FUT9_Fut9,0.584865320461525,0.162825959910613,0.252308719627862
CRP_Crp,0.760396872474246,0.057656969057385,0.181946158468369
C1orf43_4933434E20Rik,7.03600814413543e-10,0.630023948964221,0.369976050332179
CLCN2_Clcn2,0.0574065217829172,0.871437140872375,0.0711563373447078
IRF2BP2_Irf2bp2,0.311257973554408,4.43268269523057e-09,0.688742022012909
GSTM3_Gstm5,0.531311475898823,0.141362759114276,0.327325764986901
SQSTM1_Sqstm1,0.0151630807712224,0.889220662076493,0.0956162571522845
EPS8L3_Eps8l3,0.707588116557211,0.130100765316279,0.16231111812651
UBC_Ubc,0,0.908770613847874,0.0912293861521254
SIPA1L2_Sipa1l2,0.552765536546314,0,0.447234463453686
OLFM3_Olfm3,0.777089736648569,3.05663559660316e-09,0.222910260294796
ZSCAN18_Zscan18,0.478511513423824,0.218789471831625,0.302699014744551
GSTM4_Gstm4,0,0.771702969923624,0.228297030076376
CEP41_Cep41,0.550622576429699,0.304023166683904,0.145354256886397
TCL1A_Tcl1,0.0756568174857675,4.62548208563895e-08,0.924343136259412
GCDH_Gcdh,0.0931008504637247,0.799327720548374,0.107571428987901
KLHL20_Klhl20,0.236433489583465,0.156950743784457,0.606615766632078
TENT5B_Tent5b,0.699116588171927,1.46131637438751e-09,0.300883410366757
NCOR2_Ncor2,0.245674375736486,0.671293926599067,0.0830316976644476
MAML1_Maml1,0.661067475795781,0.0276662750512465,0.311266249152972
FAM89A_Fam89a,0,0.515081284128137,0.484918715871863
EBPL_Ebpl,0.203620832615731,0.668199159282655,0.128180008101614
TGFB1_Tgfb1,0.778561185242456,3.26889605635988e-09,0.221438811488648
DNASE2_Dnase2a,0.446105729136597,0.040993146371378,0.512901124492025
KCNN4_Kcnn4,0.253198174157378,0.464275854127044,0.282525971715578
METTL18_Mettl18,2.7013786604159e-08,0.80291876923761,0.197081203748604
SALL2_Sall2,0.434766861020663,0.0426585026066204,0.522574636372717
CDHR2_Cdhr2,0.414490373329871,0,0.585509626670129
GADD45A_Gadd45a,0,1.62877885508914e-09,0.999999998371221
STAMBP_Stambp,0.259164614683092,0.286490265998677,0.454345119318232
GLE1_Gle1,0.266667802299542,0.156561458903074,0.576770738797384
KLHL8_Klhl8,0.214691934706293,2.69347971645911e-09,0.785308062600228
FAIM2_Faim2,0.679849728152741,3.99932885015452e-08,0.32015023185397
FAM71D_Fam71d,0.614188327980383,0,0.385811672019617
NPR1_Npr1,0.287972662150721,0.343889881181164,0.368137456668114
USP34_Usp34,0.44228954311909,0,0.55771045688091
MRPL24_Mrpl24,0,0,1
ALG11_Alg11,4.49985686055404e-11,0.775271438567637,0.224728561387364
GCFC2_Gcfc2,0.11252154145476,0.60958731465889,0.27789114388635
DPT_Dpt,0.654006288532052,0,0.345993711467948
OXGR1_Oxgr1,0.374640920458816,0.228550520520563,0.396808559020622
INIP_Inip,0.522759109337301,0.114608831145868,0.362632059516832
MCL1_Mcl1,0.375478139761911,0.22841170515014,0.396110155087949
KMT5A_Kmt5a,0.0141131394507284,0.941462350437328,0.044424510111944
RNF44_Rnf44,0.0666356810980191,0.901429863657742,0.0319344552442391
EGFL7_Egfl7,0.0905119989281444,0.788010256766968,0.121477744304887
PREX2_Prex2,0.314332666126245,0,0.685667333873755
LMBRD2_Lmbrd2,0.170690907743179,0.223499086838776,0.605810005418045
VWC2_Vwc2,0.812379190990689,7.88920812073571e-08,0.187620730117229
ADAMTSL4_Adamtsl4,0.422230233463972,0.212449696090486,0.365320070445542
RILPL2_Rilpl2,0.313345015222166,0.561496990593946,0.125157994183888
RPH3A_Rph3a,0.576354861129294,0.121776873082439,0.301868265788267
ZPBP_Zpbp,0.723293873762874,0.0709582873457801,0.205747838891346
COMMD10_Commd10,0,0,1
DYNC1I1_Dync1i1,0.589074812404938,2.88795335758978e-08,0.410925158715529
CCDC181_Ccdc181,0.571084682335462,0.22952302464093,0.199392293023608
CCT2_Cct2,0.40808607400804,0.0836422103501843,0.508271715641776
SLC2A5_Slc2a5,0.31091180709117,0.390510358198303,0.298577834710527
SNRNP35_Snrnp35,0.0722505281935841,7.2003049339577e-05,0.927677468757076
FBRS_Fbrs,0.377901842699171,0.549595173349597,0.0725029839512328
RILPL1_Rilpl1,0.260247557933291,0.539231443884912,0.200520998181797
MBNL2_Mbnl2,0.228826028879735,4.35799092943277e-07,0.771173535321172
NME7_Nme7,0.42666480977447,0.286504912741372,0.286830277484158
MRPL19_Mrpl19,0.00735346526406102,0.8144704716993,0.178176063036639
EIF2S1_Eif2s1,0.0855957930152229,0.621244357838975,0.293159849145802
ZC3HAV1L_Zc3hav1l,0.800574791754947,6.91887969543742e-10,0.199425207553165
THEGL_Thegl,0.551883019994087,0.0748311718994275,0.373285808106486
STAMBPL1_Stambpl1,0.421950001264906,0.359198076863271,0.218851921871823
PAICS_Paics,0.0570911620517836,0.821361375988474,0.121547461959742
GOLGB1_Golgb1,0.125531750679488,0.5507985468492,0.323669702471312
MPP5_Mpp5,0.228137636439928,0.606454547438484,0.165407816121587
INPP5B_Inpp5b,0.0408373095552675,0.835543008183998,0.123619682260735
HDGF_Hdgf,0,0,1
PPP1R3B_Ppp1r3b,0.262504611007205,0.197418950470246,0.540076438522549
FAM81A_Fam81a,0.690174252013443,0.0835457818304283,0.226279966156129
CSF1_Csf1,0.535373891309071,9.16828540448171e-06,0.464616940405525
MGAT4B_Mgat4b,0.0172909539505421,0.700971070367799,0.281737975681659
RTL3_Rtl3,0.106423413703717,0.331948772381634,0.561627813914649
MINAR1_Minar1,0.166848949518475,0.15484183932353,0.678309211157995
MAST2_Mast2,0.131230498066029,0.825131668550339,0.0436378333836317
TENT4A_Tent4a,0.239546317811758,0.465280341123396,0.295173341064846
SETDB1_Setdb1,0.211584365542043,0.43696493501686,0.351450699441097
FAM131A_Fam131a,0.374734195918015,0.515325636405742,0.109940167676243
GPN2_Gpn2,0.0371047748784402,0.771006437129317,0.191888787992243
CUL9_Cul9,0.0822213394700314,0.880303861896819,0.0374747986331493
GPBP1L1_Gpbp1l1,0.389059555380736,0.206264044443359,0.404676400175905
GNPAT_Gnpat,0.170707096605641,0.557268024698668,0.272024878695691
PINK1_Pink1,0.00246253484519408,0.957877471217215,0.0396599939375912
PGBD5_Pgbd5,0.0534096188973975,0.144051240985336,0.802539140117266
TULP4_Tulp4,0.09811742621766,0.856305271667615,0.0455773021147248
LEKR1_Lekr1,0.188542825987159,0.065677250586033,0.745779923426807
KLF1_Klf1,4.75561180453042e-09,0.474865656168344,0.525134339076044
GPD2_Gpd2,0.119917393959192,0.0496667095330157,0.830415896507793
TBX19_Tbx19,0.125575534035483,0.489395735452861,0.385028730511656
PAPLN_Papln,1.81511650423472e-08,0.0696791045968911,0.930320877251944
KLHL42_Klhl42,0.346929679167984,1.10362888152733e-06,0.653069217203135
TRIO_Trio,0.130923622644542,0.803686017671139,0.0653903596843192
FAS_Fas,2.94676505861616e-06,0.452001180771019,0.547995872463922
LYRM2_Lyrm2,0.0814898410702344,0.441529230138381,0.476980928791385
NXPE4_Nxpe4,0.128542095493825,0.573036120189787,0.298421784316388
PPAT_Ppat,0.0487069334606766,0.332551741724885,0.618741324814439
COL17A1_Col17a1,0.411353198692855,0.190539529405558,0.398107271901587
CTDSPL_Ctdspl,0.248445506429781,6.46861986431133e-09,0.751554487101599
HSPA12B_Hspa12b,0.714604178367002,0.0389138117318842,0.246482009901114
SKOR1_Skor1,0.529514450749916,0,0.470485549250084
LINGO4_Lingo4,0,0.0257138860590616,0.974286113940938
ATP7B_Atp7b,0.472885221856511,1.08225768246263e-08,0.527114767320912
CELSR2_Celsr2,0.218043116152802,0.473547563120822,0.308409320726376
SLC35A3_Slc35a3,0.114733368718098,0.467218458353051,0.418048172928851
APC2_Apc2,0.279132768927802,0.480169909598162,0.240697321474036
WDR82_Wdr82,0.633898132991853,1.2805801236737e-08,0.366101854202345
CXorf56_C330007P06Rik,0.145627805769447,0.132168408621376,0.722203785609178
EHMT1_Ehmt1,0.00118614410741863,0.929594447517104,0.0692194083754771
MGAM_Mgam,0.112942511146406,0.175629395707517,0.711428093146076
LRIT3_Lrit3,0.171442973090859,0.0476811908385027,0.780875836070639
