nes size p.value p.adj
ZNF677 -3.34477909124678 240 0.000823481316885486 0.00809360509271866
TGIF2 3.34345810218653 484 0.00082741187258943 0.00809360509271866
ZNF91 -3.34166271667119 221 0.00083278188391699 0.00809360509271866
RORA -3.34120474207609 455 0.000834156855089785 0.00809360509271866
HAND2 -3.34038327988636 281 0.000836628397792511 0.00809360509271866
ZNF436 -3.33588439411096 378 0.000850285142046334 0.00813744108767654
E2F1 3.33195677548486 405 0.000862376494086208 0.00813744108767654
SOX8 -3.33162795823605 220 0.000863395971979198 0.00813744108767654
ZNF596 -3.33076304103103 241 0.000866082933527595 0.00813744108767654
ZNF676 -3.32462591547399 438 0.00088537243431182 0.00825925999436598
ZNF236 -3.31968584229269 302 0.000901187996998509 0.00826283204368487
TBPL1 3.3185044427495 352 0.000905008828293795 0.00826283204368487
ZNF441 -3.31654546288672 227 0.000911377579959779 0.00826283204368487
STAT1 3.31530546599023 636 0.000915430317548626 0.00826283204368487
EHF -3.3147078567101 430 0.000917389468862409 0.00826283204368487
IKZF2 -3.31074275415429 648 0.000930487051813572 0.00828760202940682
PAX9 -3.30760595936539 444 0.000940971070364144 0.00828760202940682
ZNF433 -3.30650361766081 268 0.000944681306346653 0.00828760202940682
ZNF469 3.30511630203166 283 0.000949369960850568 0.00828760202940682
ZNF595 -3.30437959510606 243 0.000951868533239681 0.00828760202940682
ZNF71 -3.28943059963637 363 0.00100390310385022 0.00855878397844526
ZNF354A 3.2859826940018 588 0.00101627253589685 0.00855878397844526
ZNF829 -3.28595064229803 252 0.00101638818097118 0.00855878397844526
ZNF425 -3.28535675734817 390 0.00101853316967743 0.00855878397844526
MEIS1 -3.28501152004081 406 0.00101978201990668 0.00855878397844526
NCOA2 -3.28430681275955 512 0.00102233560538856 0.00855878397844526
ZNF658 -3.28119299093505 368 0.00103368989113136 0.00859871973132202
ZFP3 -3.27462260555949 450 0.00105803215698985 0.00869210219411639
ZFP91 3.27276520145515 395 0.00106500908918308 0.00869210219411639
STAT2 3.27265883119098 414 0.00106540993146011 0.00869210219411639
ATF5 3.27103727284238 445 0.00107153786619658 0.00869210219411639
ZNF135 -3.26738652528973 397 0.0010854537101159 0.00875063299636642
TSHZ3 3.26362574751809 424 0.00109996359666227 0.00877978754371967
ZNF273 -3.26065336076336 363 0.00111155838239811 0.00877978754371967
MBD4 3.25990003486405 478 0.00111451487826196 0.00877978754371967
ZNF599 -3.25953229543278 277 0.00111596074445441 0.00877978754371967
ZNF319 3.25441153565792 353 0.00113627543336447 0.00883890111615031
PBX4 3.25422789947735 216 0.00113701025077584 0.00883890111615031
ZNF701 -3.25243126261439 173 0.00114422267439487 0.00884233617017572
ZNF823 -3.24862615300862 480 0.00115963775135368 0.00887605717532739
ELF2 -3.24577618414663 276 0.00117130887247576 0.00887605717532739
ZNF350 -3.24538572987553 266 0.00117291627846465 0.00887605717532739
ZNF287 -3.24469332897252 385 0.00117577173915133 0.00887605717532739
PURB 3.24124808104192 349 0.00119007567890336 0.00890629877264458
TEAD2 3.23728748522996 449 0.00120671779700255 0.00890629877264458
FOXL2 3.23680623444505 282 0.00120875455854849 0.00890629877264458
ZBTB7C -3.23558450651638 450 0.00121393945810312 0.00890629877264458
ZNF14 -3.23371235229121 174 0.00122192457832313 0.00890629877264458
ZNF347 -3.23173726295327 204 0.00123040130400868 0.00890629877264458
RFX7 3.22980153240857 487 0.00123876177485681 0.00890629877264458
ZNF880 -3.22972843284234 238 0.00123907851935194 0.00890629877264458
SP5 -3.22925000348445 430 0.00124115342773454 0.00890629877264458
ZNF502 -3.22228246831102 317 0.00127173692553087 0.00904914753608152
ZNF799 -3.22071977978726 305 0.00127869107053302 0.00904914753608152
GLI3 3.21705353523111 344 0.00129514429326287 0.00904914753608152
E2F7 3.21553825716949 557 0.00130200138999668 0.00904914753608152
NFKB2 3.21506490190505 759 0.00130415032593032 0.00904914753608152
TP63 3.21191809824145 387 0.00131851958577277 0.00904914753608152
ZNF415 -3.20635133797318 237 0.00134429745542376 0.00904914753608152
ZNF563 -3.2034885054953 195 0.00135773459860697 0.00904914753608152
DEAF1 -3.20302205395551 327 0.00135993566215015 0.00904914753608152
HOXD8 3.2021166727523 267 0.00136421731782192 0.00904914753608152
ZBTB47 -3.19976634902199 541 0.00137539038149805 0.00904914753608152
SIM2 -3.19938298257259 735 0.00137722082996659 0.00904914753608152
ZNF432 -3.19909090288325 387 0.00137861692188466 0.00904914753608152
ZNF423 -3.19872531220528 479 0.00138036622327004 0.00904914753608152
ZNF175 -3.19723986295281 312 0.00138749497191114 0.00904914753608152
DMBX1 3.19687723346489 342 0.0013892403978835 0.00904914753608152
TFAP2B -3.19639622892402 204 0.0013915587166449 0.00904914753608152
ZNF879 -3.19626516280489 212 0.00139219103999694 0.00904914753608152
MYT1 3.19409965185168 284 0.00140267689029214 0.00904914753608152
THAP10 3.19389205454009 249 0.00140368593506109 0.00904914753608152
DLX6 3.19285579212839 668 0.00140873279489928 0.00904914753608152
NR2F1 -3.19138851917361 295 0.0014159074046318 0.00904914753608152
PBX2 3.19046811244022 441 0.00142042514923179 0.00904914753608152
CLOCK -3.18715306075714 476 0.00143680717690221 0.0090913123965772
ZNF17 -3.18588033682973 330 0.00144314274595581 0.0090913123965772
ZNF526 3.18374640803837 276 0.00145382316785237 0.0090913123965772
CEBPE 3.18353436352038 295 0.00145488843099895 0.0090913123965772
NFIB -3.17953345438588 523 0.00147512340761157 0.00917386271590817
ESRRA -3.17559948927687 371 0.00149527238025685 0.00921905746334758
GLIS3 3.17535972548251 362 0.00149650856219731 0.00921905746334758
ZNF181 -3.17277513918129 399 0.00150989416720808 0.00925784874353872
MYBL1 3.17039253119349 261 0.00152233133930673 0.00928732618260067
ZNF613 -3.16913677088923 337 0.00152892429499169 0.00928732618260067
ZNF268 -3.16596845663169 273 0.00154567554010526 0.00934561229341423
ZNF44 -3.16367186882312 175 0.0015579233487692 0.00936986425746291
NFIX -3.16207552515939 483 0.00156648930418846 0.00936986425746291
KLF4 -3.16054700625236 340 0.00157473193506811 0.00936986425746291
ZNF573 -3.15987202922674 157 0.00157838448441182 0.00936986425746291
LMX1B 3.15745395263414 364 0.00159153370644631 0.00940517203899946
GLIS2 3.1537064104975 435 0.00161211178212947 0.00946672762285028
FOXK2 3.15195664754983 338 0.0016218035035755 0.00946672762285028
ZNF429 -3.15161609431693 207 0.00162369600881965 0.00946672762285028
JDP2 -3.14968309491491 319 0.00163447653928909 0.00948722826805135
MXI1 -3.1472831642601 294 0.00164795284350291 0.00952312572395929
SMAD9 -3.14309117740947 474 0.00167173758062625 0.00960579176107826
ZNF8 3.13999305440171 271 0.00168951840309651 0.00960579176107826
ZNF248 -3.13915119967662 203 0.00169437996517837 0.00960579176107826
ZNF420 -3.13844118314584 249 0.00169849018421324 0.00960579176107826
FOXP3 3.13834742752143 263 0.00169903361164554 0.00960579176107826
PRDM10 -3.13214563706994 277 0.00173533771229759 0.00975371220979978
ZFP62 -3.13057336904058 271 0.00174465412681482 0.00975371220979978
SNAPC4 3.12790994036758 192 0.00176054117385915 0.00975371220979978
